record_id,dataset,role,pair_id,mechanism_family,ton_groundtruth_label,cross_dataset_mapping,conn_relative_path,groundtruth_relative_path,conn_line_index,groundtruth_line_index,exact_join_rule,key_sha256,ts,source_local_orig_node_id,source_local_resp_node_id,orig_p,resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,completed_record_lower_bound_epoch,explicit_log_emission_time_available,allowed_for_static_completed_connection_supervision,allowed_for_temporal_replay,allowed_for_Gotham_C1_fit,allowed_for_Gotham_threshold_selection,report_or_sealed,selection_allowed_within_aux_role_only
ckbt_005c16939b020459f2cf,ToN-IoT_raw_network_Bro,aux_process_fit,scanning_fit_capture_1,reconnaissance_scan,scanning,mechanism_family_only_not_exact_Gotham_label_equivalence,Network_dataset_Bro/normal_attack_Bro/normal_scanning/normal_scanning_1/conn.log,SecurityEvents_Network_datasets/GroundTruth_Network_1.csv,16302,10307,floor(conn.ts)==gt.ts_and_direct_5tuple_proto_unique_both_sides,91393fa592d83150af0058c4d958cea7982d3e3b76d96db85a4b5016724dfb68,1556021867.275429,9,13,49722,113,tcp,-,-,-,-,S0,S,1,44,0,0,,False,True,False,False,False,False,True
ckbt_00667c142129818e47fc,ToN-IoT_raw_network_Bro,aux_process_fit,scanning_fit_capture_1,reconnaissance_scan,scanning,mechanism_family_only_not_exact_Gotham_label_equivalence,Network_dataset_Bro/normal_attack_Bro/normal_scanning/normal_scanning_1/conn.log,SecurityEvents_Network_datasets/GroundTruth_Network_1.csv,24268,17182,floor(conn.ts)==gt.ts_and_direct_5tuple_proto_unique_both_sides,a8edfcac13e7327c1f21866df8b468e420fbf58843f8ca22a34b72f9f18cf589,1556022302.078860,11,2,53923,3809,tcp,-,-,-,-,S0,S,1,44,0,0,,False,True,False,False,False,False,True
ckbt_0078c33fb559f5e1b548,ToN-IoT_raw_network_Bro,aux_process_fit,scanning_fit_capture_1,reconnaissance_scan,scanning,mechanism_family_only_not_exact_Gotham_label_equivalence,Network_dataset_Bro/normal_attack_Bro/normal_scanning/normal_scanning_1/conn.log,SecurityEvents_Network_datasets/GroundTruth_Network_1.csv,11668,5890,floor(conn.ts)==gt.ts_and_direct_5tuple_proto_unique_both_sides,82a76ff54b34b4a84196e9c199fce23361c0ed93ece8b0010118540b19a480ae,1556021701.135753,11,2,61171,6156,tcp,-,0.108739,0,0,REJ,Sr,1,44,1,40,1556021701.244492,False,True,False,False,False,False,True
ckbt_0085289267e77f37d7a5,ToN-IoT_raw_network_Bro,aux_process_fit,scanning_fit_capture_1,reconnaissance_scan,scanning,mechanism_family_only_not_exact_Gotham_label_equivalence,Network_dataset_Bro/normal_attack_Bro/normal_scanning/normal_scanning_1/conn.log,SecurityEvents_Network_datasets/GroundTruth_Network_1.csv,33081,25497,floor(conn.ts)==gt.ts_and_direct_5tuple_proto_unique_both_sides,e24ada7d3bd7517c5531c3c44f088101fe5483fa36cd2af459c4fe1ed813859e,1556022764.156186,11,5,53921,1984,tcp,-,-,-,-,S0,S,1,44,0,0,,False,True,False,False,False,False,True
ckbt_0086ec923949cd664a90,ToN-IoT_raw_network_Bro,aux_process_fit,scanning_fit_capture_1,reconnaissance_scan,scanning,mechanism_family_only_not_exact_Gotham_label_equivalence,Network_dataset_Bro/normal_attack_Bro/normal_scanning/normal_scanning_1/conn.log,SecurityEvents_Network_datasets/GroundTruth_Network_1.csv,47562,44881,floor(conn.ts)==gt.ts_and_direct_5tuple_proto_unique_both_sides,9a460ed24bb7499026ceffa5627bc323a61d873f47a9eae338f5c0b9b1918660,1556023433.057020,10,13,50953,5003,tcp,-,-,-,-,S0,S,1,44,0,0,,False,True,False,False,False,False,True
ckbt_0094d3b0d7e747f1a470,ToN-IoT_raw_network_Bro,aux_process_fit,scanning_fit_capture_1,reconnaissance_scan,scanning,mechanism_family_only_not_exact_Gotham_label_equivalence,Network_dataset_Bro/normal_attack_Bro/normal_scanning/normal_scanning_1/conn.log,SecurityEvents_Network_datasets/GroundTruth_Network_1.csv,29263,21820,floor(conn.ts)==gt.ts_and_direct_5tuple_proto_unique_both_sides,07eea21e071daea4685535b36ad4f583e7ca8b1f5825950ecbb8f45bcfd41f21,1556022546.373486,9,12,44919,8290,tcp,-,-,-,-,S0,S,1,44,0,0,,False,True,False,False,False,False,True
ckbt_00a4f30cb73cefef87ff,ToN-IoT_raw_network_Bro,aux_process_fit,scanning_fit_capture_1,reconnaissance_scan,scanning,mechanism_family_only_not_exact_Gotham_label_equivalence,Network_dataset_Bro/normal_attack_Bro/normal_scanning/normal_scanning_1/conn.log,SecurityEvents_Network_datasets/GroundTruth_Network_1.csv,15486,9583,floor(conn.ts)==gt.ts_and_direct_5tuple_proto_unique_both_sides,562ef518ab23aad0cb09643970bd663905d25251c92f3c3e17657a49285ab430,1556021834.096736,11,13,53922,2035,tcp,-,-,-,-,S0,S,1,44,0,0,,False,True,False,False,False,False,True
ckbt_00a555f55ac13d43705b,ToN-IoT_raw_network_Bro,aux_process_fit,scanning_fit_capture_1,reconnaissance_scan,scanning,mechanism_family_only_not_exact_Gotham_label_equivalence,Network_dataset_Bro/normal_attack_Bro/normal_scanning/normal_scanning_1/conn.log,SecurityEvents_Network_datasets/GroundTruth_Network_1.csv,29745,22290,floor(conn.ts)==gt.ts_and_direct_5tuple_proto_unique_both_sides,0166b3dacaf212ac332c0ab076d0189fbb7d60ae9261ba7a16940fbe85b91194,1556022581.490094,10,13,38136,4001,tcp,-,-,-,-,S0,S,1,44,0,0,,False,True,False,False,False,False,True
ckbt_00a8bb220e6f516c071f,ToN-IoT_raw_network_Bro,aux_process_fit,scanning_fit_capture_1,reconnaissance_scan,scanning,mechanism_family_only_not_exact_Gotham_label_equivalence,Network_dataset_Bro/normal_attack_Bro/normal_scanning/normal_scanning_1/conn.log,SecurityEvents_Network_datasets/GroundTruth_Network_1.csv,1965,29444,floor(conn.ts)==gt.ts_and_direct_5tuple_proto_unique_both_sides,462eff3ddc1e1b20f77aae25c1ba4cda5f27e6d57e9600b4257e4259756624ae,1556021456.146970,9,3,42908,1166,tcp,-,0.004896,0,0,REJ,Sr,1,44,1,40,1556021456.151866,False,True,False,False,False,False,True
ckbt_00aa197d542fc88741fa,ToN-IoT_raw_network_Bro,aux_process_fit,scanning_fit_capture_1,reconnaissance_scan,scanning,mechanism_family_only_not_exact_Gotham_label_equivalence,Network_dataset_Bro/normal_attack_Bro/normal_scanning/normal_scanning_1/conn.log,SecurityEvents_Network_datasets/GroundTruth_Network_1.csv,57922,54641,floor(conn.ts)==gt.ts_and_direct_5tuple_proto_unique_both_sides,ec6ecdd000aadb2cc5cd63939860fc2d9b710fc68bac12b254ece60de5dd6c1e,1556023991.197560,9,2,50567,5633,tcp,-,0.105517,0,0,REJ,Sr,1,44,1,40,1556023991.303077,False,True,False,False,False,False,True
ckbt_00b6f2e345f71e718c49,ToN-IoT_raw_network_Bro,aux_process_fit,scanning_fit_capture_1,reconnaissance_scan,scanning,mechanism_family_only_not_exact_Gotham_label_equivalence,Network_dataset_Bro/normal_attack_Bro/normal_scanning/normal_scanning_1/conn.log,SecurityEvents_Network_datasets/GroundTruth_Network_1.csv,29811,22353,floor(conn.ts)==gt.ts_and_direct_5tuple_proto_unique_both_sides,869696b5eecc0f042fc25cf4a213b5acce8444f568831fb31756d6b3a42ebaa2,1556022585.100039,10,13,50949,2251,tcp,-,-,-,-,S0,S,1,44,0,0,,False,True,False,False,False,False,True
ckbt_00bfe7f7c2b1101a4eb8,ToN-IoT_raw_network_Bro,aux_process_fit,scanning_fit_capture_1,reconnaissance_scan,scanning,mechanism_family_only_not_exact_Gotham_label_equivalence,Network_dataset_Bro/normal_attack_Bro/normal_scanning/normal_scanning_1/conn.log,SecurityEvents_Network_datasets/GroundTruth_Network_1.csv,68463,64132,floor(conn.ts)==gt.ts_and_direct_5tuple_proto_unique_both_sides,dfb937d0bc1bf518ddf377fcc797370b2b18ff0fd26ce2060f5851cd04f5d864,1556024643.290971,10,5,58548,3128,tcp,-,-,-,-,S0,S,1,44,0,0,,False,True,False,False,False,False,True
ckbt_00cba59b724d2bf9c7d6,ToN-IoT_raw_network_Bro,aux_process_fit,scanning_fit_capture_1,reconnaissance_scan,scanning,mechanism_family_only_not_exact_Gotham_label_equivalence,Network_dataset_Bro/normal_attack_Bro/normal_scanning/normal_scanning_1/conn.log,SecurityEvents_Network_datasets/GroundTruth_Network_1.csv,19323,12891,floor(conn.ts)==gt.ts_and_direct_5tuple_proto_unique_both_sides,f66b39923928e9c002522b9a82b06ba21aeb97a3aa34725eb6067ab5ebe4dd92,1556021997.155290,9,5,42909,5269,tcp,-,-,-,-,S0,S,1,44,0,0,,False,True,False,False,False,False,True
ckbt_00cfdb1fcc1c62940d45,ToN-IoT_raw_network_Bro,aux_process_fit,scanning_fit_capture_1,reconnaissance_scan,scanning,mechanism_family_only_not_exact_Gotham_label_equivalence,Network_dataset_Bro/normal_attack_Bro/normal_scanning/normal_scanning_1/conn.log,SecurityEvents_Network_datasets/GroundTruth_Network_1.csv,11170,5390,floor(conn.ts)==gt.ts_and_direct_5tuple_proto_unique_both_sides,a029b91ee6fb4e5c60a56f5138b635aba7466c34b2f11549edf7cad4b4814c65,1556021683.326244,10,13,38140,89,tcp,-,-,-,-,S0,S,1,44,0,0,,False,True,False,False,False,False,True
ckbt_00d12d2567d567c6b4dd,ToN-IoT_raw_network_Bro,aux_process_fit,scanning_fit_capture_1,reconnaissance_scan,scanning,mechanism_family_only_not_exact_Gotham_label_equivalence,Network_dataset_Bro/normal_attack_Bro/normal_scanning/normal_scanning_1/conn.log,SecurityEvents_Network_datasets/GroundTruth_Network_1.csv,17534,11292,floor(conn.ts)==gt.ts_and_direct_5tuple_proto_unique_both_sides,a0ca0a53be842250fa9ed08d2a6d8ba2bca3883003bf719d1255db7353a46535,1556021905.043758,9,13,62954,3659,tcp,-,-,-,-,S0,S,1,44,0,0,,False,True,False,False,False,False,True
ckbt_00d1f474a05da8e5c3ff,ToN-IoT_raw_network_Bro,aux_process_fit,scanning_fit_capture_1,reconnaissance_scan,scanning,mechanism_family_only_not_exact_Gotham_label_equivalence,Network_dataset_Bro/normal_attack_Bro/normal_scanning/normal_scanning_1/conn.log,SecurityEvents_Network_datasets/GroundTruth_Network_1.csv,450,28063,floor(conn.ts)==gt.ts_and_direct_5tuple_proto_unique_both_sides,b3cbc0ed3cfdf810ba0c991ef83bb912d3add491eeb0e487a335305b02844308,1556021423.025089,9,12,50568,6969,tcp,-,-,-,-,S0,S,1,44,0,0,,False,True,False,False,False,False,True
ckbt_00d2f824e87b6a266c77,ToN-IoT_raw_network_Bro,aux_process_fit,scanning_fit_capture_1,reconnaissance_scan,scanning,mechanism_family_only_not_exact_Gotham_label_equivalence,Network_dataset_Bro/normal_attack_Bro/normal_scanning/normal_scanning_1/conn.log,SecurityEvents_Network_datasets/GroundTruth_Network_1.csv,48898,46164,floor(conn.ts)==gt.ts_and_direct_5tuple_proto_unique_both_sides,e6eff7e1cb7c1de4e532f58d511f79d1479a22f68ec4e34aaa667e1ae0ee18b9,1556023496.117053,9,13,45839,1322,tcp,-,-,-,-,S0,S,1,44,0,0,,False,True,False,False,False,False,True
ckbt_00d73639e46acfee18e4,ToN-IoT_raw_network_Bro,aux_process_fit,scanning_fit_capture_1,reconnaissance_scan,scanning,mechanism_family_only_not_exact_Gotham_label_equivalence,Network_dataset_Bro/normal_attack_Bro/normal_scanning/normal_scanning_1/conn.log,SecurityEvents_Network_datasets/GroundTruth_Network_1.csv,386,27999,floor(conn.ts)==gt.ts_and_direct_5tuple_proto_unique_both_sides,92f4d42bc45fce94a10825cb14bf78ff91966f9e79912f8eab8b169ae91cdc62,1556021422.080292,9,8,42908,49157,tcp,-,0.084092,0,0,REJ,Sr,1,44,1,40,1556021422.164384,False,True,False,False,False,False,True
ckbt_00d76ff88bd086879897,ToN-IoT_raw_network_Bro,aux_process_fit,scanning_fit_capture_1,reconnaissance_scan,scanning,mechanism_family_only_not_exact_Gotham_label_equivalence,Network_dataset_Bro/normal_attack_Bro/normal_scanning/normal_scanning_1/conn.log,SecurityEvents_Network_datasets/GroundTruth_Network_1.csv,3706,31301,floor(conn.ts)==gt.ts_and_direct_5tuple_proto_unique_both_sides,642420259d4e8b50971c678b0c7375c45328728ef182350986fdb36d6c401b09,1556021495.375404,11,5,61171,1000,tcp,-,-,-,-,S0,S,1,44,0,0,,False,True,False,False,False,False,True
ckbt_00eba5c7ae2b3c0c1075,ToN-IoT_raw_network_Bro,aux_process_fit,scanning_fit_capture_1,reconnaissance_scan,scanning,mechanism_family_only_not_exact_Gotham_label_equivalence,Network_dataset_Bro/normal_attack_Bro/normal_scanning/normal_scanning_1/conn.log,SecurityEvents_Network_datasets/GroundTruth_Network_1.csv,2395,30012,floor(conn.ts)==gt.ts_and_direct_5tuple_proto_unique_both_sides,23ac8fd849e6c26c0bf727237c754106c73df7ac9266c53218aa69e5b31ff67c,1556021459.077226,11,2,35745,25,tcp,-,-,-,-,S0,S,1,44,0,0,,False,True,False,False,False,False,True
ckbt_00f6316ba24c7598b946,ToN-IoT_raw_network_Bro,aux_process_fit,scanning_fit_capture_1,reconnaissance_scan,scanning,mechanism_family_only_not_exact_Gotham_label_equivalence,Network_dataset_Bro/normal_attack_Bro/normal_scanning/normal_scanning_1/conn.log,SecurityEvents_Network_datasets/GroundTruth_Network_1.csv,54703,51517,floor(conn.ts)==gt.ts_and_direct_5tuple_proto_unique_both_sides,8dfd6886e0ae64743bcdc79197ea9b52623de37747e42ded63a2ad36bd79e7c1,1556023807.385952,9,13,62951,280,tcp,-,-,-,-,S0,S,1,44,0,0,,False,True,False,False,False,False,True
ckbt_010a2802e1302e67f1b2,ToN-IoT_raw_network_Bro,aux_process_fit,scanning_fit_capture_1,reconnaissance_scan,scanning,mechanism_family_only_not_exact_Gotham_label_equivalence,Network_dataset_Bro/normal_attack_Bro/normal_scanning/normal_scanning_1/conn.log,SecurityEvents_Network_datasets/GroundTruth_Network_1.csv,1555,29156,floor(conn.ts)==gt.ts_and_direct_5tuple_proto_unique_both_sides,810fc723f92a32bcd61ce28b23ab105e62c69e8596b0215b733469a9e1e8e050,1556021450.224112,9,4,62947,9594,tcp,-,-,-,-,S0,S,1,44,0,0,,False,True,False,False,False,False,True
ckbt_010bbbe05249026f725e,ToN-IoT_raw_network_Bro,aux_process_fit,scanning_fit_capture_1,reconnaissance_scan,scanning,mechanism_family_only_not_exact_Gotham_label_equivalence,Network_dataset_Bro/normal_attack_Bro/normal_scanning/normal_scanning_1/conn.log,SecurityEvents_Network_datasets/GroundTruth_Network_1.csv,8695,2940,floor(conn.ts)==gt.ts_and_direct_5tuple_proto_unique_both_sides,a25fa714be7d36d47e85b0fc5685195e89dd135f1f0a7a759d37c319a7810bb9,1556021604.307830,10,7,58657,554,tcp,-,0.076787,0,0,REJ,Sr,2,88,1,40,1556021604.384617,False,True,False,False,False,False,True
ckbt_011a1a5942a467dd1288,ToN-IoT_raw_network_Bro,aux_process_fit,scanning_fit_capture_1,reconnaissance_scan,scanning,mechanism_family_only_not_exact_Gotham_label_equivalence,Network_dataset_Bro/normal_attack_Bro/normal_scanning/normal_scanning_1/conn.log,SecurityEvents_Network_datasets/GroundTruth_Network_1.csv,78363,73537,floor(conn.ts)==gt.ts_and_direct_5tuple_proto_unique_both_sides,8bc3f2d2d5fc6208c6d2e7ca277dd1bb93a428c9153836c7c593c80ab4eca60f,1556025189.480963,9,13,45848,1010,tcp,-,-,-,-,S0,S,1,44,0,0,,False,True,False,False,False,False,True
ckbt_011a701300daeb4e5497,ToN-IoT_raw_network_Bro,aux_process_fit,scanning_fit_capture_1,reconnaissance_scan,scanning,mechanism_family_only_not_exact_Gotham_label_equivalence,Network_dataset_Bro/normal_attack_Bro/normal_scanning/normal_scanning_1/conn.log,SecurityEvents_Network_datasets/GroundTruth_Network_1.csv,62432,58351,floor(conn.ts)==gt.ts_and_direct_5tuple_proto_unique_both_sides,3c56cc1d4df0f444f26cd616a18fe1cee8357e7de6d7709fa8ba55da54a1c6b6,1556024251.349710,9,13,42910,1658,tcp,-,-,-,-,S0,S,1,44,0,0,,False,True,False,False,False,False,True
ckbt_01306933195b90a03d3d,ToN-IoT_raw_network_Bro,aux_process_fit,scanning_fit_capture_1,reconnaissance_scan,scanning,mechanism_family_only_not_exact_Gotham_label_equivalence,Network_dataset_Bro/normal_attack_Bro/normal_scanning/normal_scanning_1/conn.log,SecurityEvents_Network_datasets/GroundTruth_Network_1.csv,36773,34789,floor(conn.ts)==gt.ts_and_direct_5tuple_proto_unique_both_sides,3b3269c1667731606024da9a29f29584e2dacc555d4ee8aa5670c8509db49560,1556022949.081932,10,13,38141,3828,tcp,-,-,-,-,S0,S,1,44,0,0,,False,True,False,False,False,False,True
ckbt_013c8a7a981ac6a82dc4,ToN-IoT_raw_network_Bro,aux_process_fit,scanning_fit_capture_1,reconnaissance_scan,scanning,mechanism_family_only_not_exact_Gotham_label_equivalence,Network_dataset_Bro/normal_attack_Bro/normal_scanning/normal_scanning_1/conn.log,SecurityEvents_Network_datasets/GroundTruth_Network_1.csv,31717,24136,floor(conn.ts)==gt.ts_and_direct_5tuple_proto_unique_both_sides,c276760416e8aaf0af9cadb18859472a78bac3e03ff313154224caf0118bd108,1556022706.057463,9,2,50568,83,tcp,-,-,-,-,S0,S,1,44,0,0,,False,True,False,False,False,False,True
ckbt_014eae6d3650079a0357,ToN-IoT_raw_network_Bro,aux_process_fit,scanning_fit_capture_1,reconnaissance_scan,scanning,mechanism_family_only_not_exact_Gotham_label_equivalence,Network_dataset_Bro/normal_attack_Bro/normal_scanning/normal_scanning_1/conn.log,SecurityEvents_Network_datasets/GroundTruth_Network_1.csv,76383,71829,floor(conn.ts)==gt.ts_and_direct_5tuple_proto_unique_both_sides,eac87b9846dc4650078f5dc9351705167dc5be09a9096a79b00c0e2dc747ea86,1556025038.195365,9,13,49028,2638,tcp,-,-,-,-,S0,S,1,44,0,0,,False,True,False,False,False,False,True
ckbt_0152db7fc3bb1361d875,ToN-IoT_raw_network_Bro,aux_process_fit,scanning_fit_capture_1,reconnaissance_scan,scanning,mechanism_family_only_not_exact_Gotham_label_equivalence,Network_dataset_Bro/normal_attack_Bro/normal_scanning/normal_scanning_1/conn.log,SecurityEvents_Network_datasets/GroundTruth_Network_1.csv,8998,3238,floor(conn.ts)==gt.ts_and_direct_5tuple_proto_unique_both_sides,5f73c4627077d1a0b044996e14969039a3bc41d0a38cece8803abeca686c31de,1556021616.258906,11,2,35487,8011,tcp,-,-,-,-,S0,S,1,44,0,0,,False,True,False,False,False,False,True
ckbt_0159df42b79213362b28,ToN-IoT_raw_network_Bro,aux_process_fit,scanning_fit_capture_1,reconnaissance_scan,scanning,mechanism_family_only_not_exact_Gotham_label_equivalence,Network_dataset_Bro/normal_attack_Bro/normal_scanning/normal_scanning_1/conn.log,SecurityEvents_Network_datasets/GroundTruth_Network_1.csv,74064,69625,floor(conn.ts)==gt.ts_and_direct_5tuple_proto_unique_both_sides,8d096cc13e04c4bc4c3f8e0460ecb6c516b9a0f5b1989c02b62ef672451dbe53,1556024886.010642,11,2,53032,1022,tcp,-,0.006731,0,0,REJ,Sr,1,44,1,40,1556024886.017373,False,True,False,False,False,False,True
ckbt_015f8a926e62a09d7461,ToN-IoT_raw_network_Bro,aux_process_fit,scanning_fit_capture_1,reconnaissance_scan,scanning,mechanism_family_only_not_exact_Gotham_label_equivalence,Network_dataset_Bro/normal_attack_Bro/normal_scanning/normal_scanning_1/conn.log,SecurityEvents_Network_datasets/GroundTruth_Network_1.csv,68815,64481,floor(conn.ts)==gt.ts_and_direct_5tuple_proto_unique_both_sides,6ea538d545904bc801697ad29f822a485f6d4dde62f953064f3e4dce5526c9e4,1556024667.467522,11,13,54769,1091,tcp,-,-,-,-,S0,S,1,44,0,0,,False,True,False,False,False,False,True
ckbt_0166a023ee26e9e0f948,ToN-IoT_raw_network_Bro,aux_process_fit,scanning_fit_capture_1,reconnaissance_scan,scanning,mechanism_family_only_not_exact_Gotham_label_equivalence,Network_dataset_Bro/normal_attack_Bro/normal_scanning/normal_scanning_1/conn.log,SecurityEvents_Network_datasets/GroundTruth_Network_1.csv,28989,21660,floor(conn.ts)==gt.ts_and_direct_5tuple_proto_unique_both_sides,ff9dbdbd8a38622864300136dd84dd5b066b1f9804fa7dd5add2693caad525c2,1556022532.036862,11,8,53999,30,tcp,-,-,-,-,S0,S,1,44,0,0,,False,True,False,False,False,False,True
