csv_file_id,csv_archive_path,file_name,file_size,inferred_device,inferred_protocol_from_filename,observed_protocol_from_frame_protocols,pcap_counterpart_candidate,pcap_pairing_confidence,pcap_pairing_candidate_count,total_rows_estimated_or_exact,row_count_status,columns_count,has_label,has_frame_time,has_frame_number,has_frame_protocols,has_ip_src,has_ip_dst,label_values,benign_rows,attack_rows,unknown_label_rows,attack_type_values,attack_type_counts,first_timestamp,last_timestamp,duration_seconds,timestamp_parse_status,timestamp_parse_successes,timestamp_parse_failures,timestamp_monotonic_violations,label_transition_count,benign_prefix_then_attack_suffix_flag,mixed_label_flag,all_benign_flag,all_attack_flag,unknown_label_flag,sampled_rows_kept,parse_status,partial_reason,notes
11,processed/iotsim-hydraulic-system-12.csv,iotsim-hydraulic-system-12.csv,521602,hydraulic-system,,tls,raw/benign/iotsim-hydraulic-system-12_0-0_to_OpenvSwitch-16_2-0.pcap,medium_filename_path_match,1,2496,exact,23,True,True,False,True,True,True,Benign,2496,0,0,,{},,,,missing_or_unparsed,0,2496,0,0,False,False,True,False,False,101,ok,,streamed_from_zip_no_full_extract
12,processed/iotsim-predictive-maintenance-8.csv,iotsim-predictive-maintenance-8.csv,2840764,predictive-maintenance,,mqtt,raw/benign/iotsim-predictive-maintenance-8_0-0_to_OpenvSwitch-19_8-0.pcap,medium_filename_path_match,1,13721,exact,23,True,True,False,True,True,True,Benign,13721,0,0,,{},,,,missing_or_unparsed,0,13721,0,0,False,False,True,False,False,103,ok,,streamed_from_zip_no_full_extract
13,processed/iotsim-ip-camera-museum-1.csv,iotsim-ip-camera-museum-1.csv,2039489365,ip-camera-museum,,tls,raw/benign/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,medium_filename_path_match,5,10447197,exact,23,True,True,False,True,True,True,Benign|Ingress Tool Transfer|Merlin C&C Communication|Merlin ICMP Flooding|Merlin TCP Flooding|Merlin UDP Flooding|Mirai C&C Communication|Mirai GRE Flooding|Mirai TCP Flooding|Mirai UDP Flooding|TCP Scan|Telnet Brute Force|Unknown,4523684,5922657,856,Ingress Tool Transfer|Merlin C&C Communication|Merlin ICMP Flooding|Merlin TCP Flooding|Merlin UDP Flooding|Mirai C&C Communication|Mirai GRE Flooding|Mirai TCP Flooding|Mirai UDP Flooding|TCP Scan|Telnet Brute Force,"{""Ingress Tool Transfer"": 108, ""Merlin C&C Communication"": 9766, ""Merlin ICMP Flooding"": 10011, ""Merlin TCP Flooding"": 20000, ""Merlin UDP Flooding"": 5000, ""Mirai C&C Communication"": 358, ""Mirai GRE Flooding"": 1632012, ""Mirai TCP Flooding"": 1717202, ""Mirai UDP Flooding"": 2483127, ""TCP Scan"": 21135, ""Telnet Brute Force"": 23938}",,,,missing_or_unparsed,0,10447197,0,25736,True,True,False,False,True,800,ok,,streamed_from_zip_no_full_extract
14,processed/iotsim-building-monitor-3.csv,iotsim-building-monitor-3.csv,310279,building-monitor,,mqtt,raw/benign/iotsim-building-monitor-3_0-0_to_OpenvSwitch-28_3-0.pcap,medium_filename_path_match,1,1740,exact,23,True,True,False,True,True,True,Benign,1740,0,0,,{},,,,missing_or_unparsed,0,1740,0,0,False,False,True,False,False,101,ok,,streamed_from_zip_no_full_extract
15,processed/iotsim-building-monitor-2.csv,iotsim-building-monitor-2.csv,310279,building-monitor,,mqtt,raw/benign/iotsim-building-monitor-2_0-0_to_OpenvSwitch-28_2-0.pcap,medium_filename_path_match,1,1740,exact,23,True,True,False,True,True,True,Benign,1740,0,0,,{},,,,missing_or_unparsed,0,1740,0,0,False,False,True,False,False,101,ok,,streamed_from_zip_no_full_extract
16,processed/iotsim-predictive-maintenance-9.csv,iotsim-predictive-maintenance-9.csv,2838765,predictive-maintenance,,mqtt,raw/benign/iotsim-predictive-maintenance-9_0-0_to_OpenvSwitch-19_9-0.pcap,medium_filename_path_match,1,13711,exact,23,True,True,False,True,True,True,Benign,13711,0,0,,{},,,,missing_or_unparsed,0,13711,0,0,False,False,True,False,False,103,ok,,streamed_from_zip_no_full_extract
17,processed/iotsim-hydraulic-system-13.csv,iotsim-hydraulic-system-13.csv,518375,hydraulic-system,,tls,raw/benign/iotsim-hydraulic-system-13_0-0_to_OpenvSwitch-16_3-0.pcap,medium_filename_path_match,1,2481,exact,23,True,True,False,True,True,True,Benign,2481,0,0,,{},,,,missing_or_unparsed,0,2481,0,0,False,False,True,False,False,101,ok,,streamed_from_zip_no_full_extract
18,processed/iotsim-hydraulic-system-11.csv,iotsim-hydraulic-system-11.csv,515108,hydraulic-system,,tls,raw/benign/iotsim-hydraulic-system-11_0-0_to_OpenvSwitch-16_1-0.pcap,medium_filename_path_match,1,2466,exact,23,True,True,False,True,True,True,Benign,2466,0,0,,{},,,,missing_or_unparsed,0,2466,0,0,False,False,True,False,False,101,ok,,streamed_from_zip_no_full_extract
19,processed/iotsim-ip-camera-museum-2.csv,iotsim-ip-camera-museum-2.csv,221773679,ip-camera-museum,,rtcp,raw/benign/iotsim-ip-camera-museum-2_0-0_to_OpenvSwitch-29_2-0.pcap,medium_filename_path_match,1,1232612,exact,23,True,True,False,True,True,True,Benign,1232612,0,0,,{},,,,missing_or_unparsed,0,1232612,0,0,False,False,True,False,False,107,ok,,streamed_from_zip_no_full_extract
20,processed/iotsim-building-monitor-1.csv,iotsim-building-monitor-1.csv,1143874019,building-monitor,,tls,raw/benign/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap,medium_filename_path_match,5,5550987,exact,23,True,True,False,True,True,True,Benign|C&C Communication|File Download|Ingress Tool Transfer|Merlin C&C Communication|Merlin ICMP Flooding|Merlin TCP Flooding|Merlin UDP Flooding|Mirai C&C Communication|Mirai GRE Flooding|Mirai TCP Flooding|Mirai UDP Flooding|Reporting|TCP Scan|Telnet Brute Force|Unknown,6406,5543719,862,C&C Communication|File Download|Ingress Tool Transfer|Merlin C&C Communication|Merlin ICMP Flooding|Merlin TCP Flooding|Merlin UDP Flooding|Mirai C&C Communication|Mirai GRE Flooding|Mirai TCP Flooding|Mirai UDP Flooding|Reporting|TCP Scan|Telnet Brute Force,"{""C&C Communication"": 84, ""File Download"": 1191, ""Ingress Tool Transfer"": 3754, ""Merlin C&C Communication"": 9657, ""Merlin ICMP Flooding"": 9150, ""Merlin TCP Flooding"": 20000, ""Merlin UDP Flooding"": 5000, ""Mirai C&C Communication"": 358, ""Mirai GRE Flooding"": 1502312, ""Mirai TCP Flooding"": 1468568, ""Mirai UDP Flooding"": 2381586, ""Reporting"": 88, ""TCP Scan"": 118226, ""Telnet Brute Force"": 23745}",,,,missing_or_unparsed,0,5550987,0,574,True,True,False,False,True,800,ok,,streamed_from_zip_no_full_extract
21,processed/iotsim-hydraulic-system-10.csv,iotsim-hydraulic-system-10.csv,526150,hydraulic-system,,mqtt,raw/benign/iotsim-hydraulic-system-10_0-0_to_OpenvSwitch-15_10-0.pcap,medium_filename_path_match,1,2506,exact,23,True,True,False,True,True,True,Benign,2506,0,0,,{},,,,missing_or_unparsed,0,2506,0,0,False,False,True,False,False,101,ok,,streamed_from_zip_no_full_extract
22,processed/iotsim-combined-cycle-9.csv,iotsim-combined-cycle-9.csv,47039,combined-cycle,,coap,raw/benign/iotsim-combined-cycle-9_0-0_to_OpenvSwitch-13_9-0.pcap,medium_filename_path_match,1,258,exact,23,True,True,False,True,True,True,Benign,258,0,0,,{},,,,missing_or_unparsed,0,258,0,0,False,False,True,False,False,100,ok,,streamed_from_zip_no_full_extract
23,processed/iotsim-hydraulic-system-14.csv,iotsim-hydraulic-system-14.csv,518353,hydraulic-system,,tls,raw/benign/iotsim-hydraulic-system-14_0-0_to_OpenvSwitch-16_4-0.pcap,medium_filename_path_match,1,2481,exact,23,True,True,False,True,True,True,Benign,2481,0,0,,{},,,,missing_or_unparsed,0,2481,0,0,False,False,True,False,False,101,ok,,streamed_from_zip_no_full_extract
24,processed/iotsim-ip-camera-street-2.csv,iotsim-ip-camera-street-2.csv,140934396,ip-camera-street,,rtcp,raw/benign/iotsim-ip-camera-street-2_0-0_to_OpenvSwitch-24_2-0.pcap,medium_filename_path_match,1,783243,exact,23,True,True,False,True,True,True,Benign,783243,0,0,,{},,,,missing_or_unparsed,0,783243,0,0,False,False,True,False,False,106,ok,,streamed_from_zip_no_full_extract
25,processed/iotsim-building-monitor-5.csv,iotsim-building-monitor-5.csv,310279,building-monitor,,mqtt,raw/benign/iotsim-building-monitor-5_0-0_to_OpenvSwitch-28_5-0.pcap,medium_filename_path_match,1,1740,exact,23,True,True,False,True,True,True,Benign,1740,0,0,,{},,,,missing_or_unparsed,0,1740,0,0,False,False,True,False,False,101,ok,,streamed_from_zip_no_full_extract
26,processed/iotsim-combined-cycle-10.csv,iotsim-combined-cycle-10.csv,29397370,combined-cycle,,coap,raw/benign/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,medium_filename_path_match,5,138509,exact,23,True,True,False,True,True,True,Benign|C&C Communication|File Download|Ingress Tool Transfer|Reporting|TCP Scan|Telnet Brute Force|Unknown,974,136692,843,C&C Communication|File Download|Ingress Tool Transfer|Reporting|TCP Scan|Telnet Brute Force,"{""C&C Communication"": 90, ""File Download"": 1210, ""Ingress Tool Transfer"": 3206, ""Reporting"": 64, ""TCP Scan"": 106000, ""Telnet Brute Force"": 26122}",,,,missing_or_unparsed,0,138509,0,72,True,True,False,False,True,669,ok,,streamed_from_zip_no_full_extract
27,processed/iotsim-building-monitor-4.csv,iotsim-building-monitor-4.csv,310279,building-monitor,,mqtt,raw/benign/iotsim-building-monitor-4_0-0_to_OpenvSwitch-28_4-0.pcap,medium_filename_path_match,1,1740,exact,23,True,True,False,True,True,True,Benign,1740,0,0,,{},,,,missing_or_unparsed,0,1740,0,0,False,False,True,False,False,101,ok,,streamed_from_zip_no_full_extract
28,processed/iotsim-hydraulic-system-15.csv,iotsim-hydraulic-system-15.csv,521667,hydraulic-system,,tls,raw/benign/iotsim-hydraulic-system-15_0-0_to_OpenvSwitch-16_5-0.pcap,medium_filename_path_match,1,2496,exact,23,True,True,False,True,True,True,Benign,2496,0,0,,{},,,,missing_or_unparsed,0,2496,0,0,False,False,True,False,False,101,ok,,streamed_from_zip_no_full_extract
29,processed/iotsim-combined-cycle-8.csv,iotsim-combined-cycle-8.csv,46311,combined-cycle,,coap,raw/benign/iotsim-combined-cycle-8_0-0_to_OpenvSwitch-13_8-0.pcap,medium_filename_path_match,1,254,exact,23,True,True,False,True,True,True,Benign,254,0,0,,{},,,,missing_or_unparsed,0,254,0,0,False,False,True,False,False,100,ok,,streamed_from_zip_no_full_extract
30,processed/iotsim-ip-camera-street-1.csv,iotsim-ip-camera-street-1.csv,1026726456,ip-camera-street,,telnet,raw/benign/iotsim-ip-camera-street-1_0-0_to_OpenvSwitch-24_1-0.pcap,medium_filename_path_match,5,5469337,exact,23,True,True,False,True,True,True,Benign|C&C Communication|File Download|Ingress Tool Transfer|Merlin ICMP Flooding|Merlin TCP Flooding|Merlin UDP Flooding|Mirai GRE Flooding|Mirai TCP Flooding|Mirai UDP Flooding|Reporting|TCP Scan|Telnet Brute Force|Unknown,3838991,1629489,857,C&C Communication|File Download|Ingress Tool Transfer|Merlin ICMP Flooding|Merlin TCP Flooding|Merlin UDP Flooding|Mirai GRE Flooding|Mirai TCP Flooding|Mirai UDP Flooding|Reporting|TCP Scan|Telnet Brute Force,"{""C&C Communication"": 90, ""File Download"": 1231, ""Ingress Tool Transfer"": 3702, ""Merlin ICMP Flooding"": 10011, ""Merlin TCP Flooding"": 20000, ""Merlin UDP Flooding"": 4996, ""Mirai GRE Flooding"": 365587, ""Mirai TCP Flooding"": 572700, ""Mirai UDP Flooding"": 513996, ""Reporting"": 74, ""TCP Scan"": 111856, ""Telnet Brute Force"": 25246}",,,,missing_or_unparsed,0,5469337,0,18346,True,True,False,False,True,800,ok,,streamed_from_zip_no_full_extract
31,processed/iotsim-combined-cycle-6.csv,iotsim-combined-cycle-6.csv,46311,combined-cycle,,coap,raw/benign/iotsim-combined-cycle-6_0-0_to_OpenvSwitch-13_6-0.pcap,medium_filename_path_match,1,254,exact,23,True,True,False,True,True,True,Benign,254,0,0,,{},,,,missing_or_unparsed,0,254,0,0,False,False,True,False,False,100,ok,,streamed_from_zip_no_full_extract
32,processed/iotsim-stream-consumer-1.csv,iotsim-stream-consumer-1.csv,83191930,stream-consumer,,icmp,raw/benign/iotsim-stream-consumer-1_0-0_to_OpenvSwitch-30_1-0.pcap,medium_filename_path_match,1,465094,exact,23,True,True,False,True,True,True,Benign,465094,0,0,,{},,,,missing_or_unparsed,0,465094,0,0,False,False,True,False,False,105,ok,,streamed_from_zip_no_full_extract
33,processed/iotsim-predictive-maintenance-1.csv,iotsim-predictive-maintenance-1.csv,28806150,predictive-maintenance,,mqtt,raw/benign/iotsim-predictive-maintenance-10_0-0_to_OpenvSwitch-19_10-0.pcap,medium_filename_path_match,7,137502,exact,23,True,True,False,True,True,True,Benign,137502,0,0,,{},,,,missing_or_unparsed,0,137502,0,0,False,False,True,False,False,105,ok,,streamed_from_zip_no_full_extract
34,processed/iotsim-combined-cycle-7.csv,iotsim-combined-cycle-7.csv,46311,combined-cycle,,coap,raw/benign/iotsim-combined-cycle-7_0-0_to_OpenvSwitch-13_7-0.pcap,medium_filename_path_match,1,254,exact,23,True,True,False,True,True,True,Benign,254,0,0,,{},,,,missing_or_unparsed,0,254,0,0,False,False,True,False,False,100,ok,,streamed_from_zip_no_full_extract
35,processed/iotsim-combined-cycle-5.csv,iotsim-combined-cycle-5.csv,46311,combined-cycle,,coap,raw/benign/iotsim-combined-cycle-5_0-0_to_OpenvSwitch-13_5-0.pcap,medium_filename_path_match,1,254,exact,23,True,True,False,True,True,True,Benign,254,0,0,,{},,,,missing_or_unparsed,0,254,0,0,False,False,True,False,False,100,ok,,streamed_from_zip_no_full_extract
36,processed/iotsim-stream-consumer-2.csv,iotsim-stream-consumer-2.csv,83235352,stream-consumer,,dns,raw/benign/iotsim-stream-consumer-2_0-0_to_OpenvSwitch-30_2-0.pcap,medium_filename_path_match,1,465335,exact,23,True,True,False,True,True,True,Benign,465335,0,0,,{},,,,missing_or_unparsed,0,465335,0,0,False,False,True,False,False,105,ok,,streamed_from_zip_no_full_extract
37,processed/iotsim-domotic-monitor-5.csv,iotsim-domotic-monitor-5.csv,294977,domotic-monitor,,mqtt,raw/benign/iotsim-domotic-monitor-5_0-0_to_OpenvSwitch-23_5-0.pcap,medium_filename_path_match,1,1668,exact,23,True,True,False,True,True,True,Benign,1668,0,0,,{},,,,missing_or_unparsed,0,1668,0,0,False,False,True,False,False,101,ok,,streamed_from_zip_no_full_extract
38,processed/iotsim-predictive-maintenance-2.csv,iotsim-predictive-maintenance-2.csv,2840982,predictive-maintenance,,mqtt,raw/benign/iotsim-predictive-maintenance-2_0-0_to_OpenvSwitch-19_2-0.pcap,medium_filename_path_match,1,13722,exact,23,True,True,False,True,True,True,Benign,13722,0,0,,{},,,,missing_or_unparsed,0,13722,0,0,False,False,True,False,False,103,ok,,streamed_from_zip_no_full_extract
39,processed/iotsim-predictive-maintenance-3.csv,iotsim-predictive-maintenance-3.csv,2841902,predictive-maintenance,,mqtt,raw/benign/iotsim-predictive-maintenance-3_0-0_to_OpenvSwitch-19_3-0.pcap,medium_filename_path_match,1,13726,exact,23,True,True,False,True,True,True,Benign,13726,0,0,,{},,,,missing_or_unparsed,0,13726,0,0,False,False,True,False,False,103,ok,,streamed_from_zip_no_full_extract
40,processed/iotsim-domotic-monitor-4.csv,iotsim-domotic-monitor-4.csv,294056,domotic-monitor,,mqtt,raw/benign/iotsim-domotic-monitor-4_0-0_to_OpenvSwitch-23_4-0.pcap,medium_filename_path_match,1,1662,exact,23,True,True,False,True,True,True,Benign,1662,0,0,,{},,,,missing_or_unparsed,0,1662,0,0,False,False,True,False,False,101,ok,,streamed_from_zip_no_full_extract
41,processed/iotsim-combined-cycle-4.csv,iotsim-combined-cycle-4.csv,46311,combined-cycle,,coap,raw/benign/iotsim-combined-cycle-4_0-0_to_OpenvSwitch-13_4-0.pcap,medium_filename_path_match,1,254,exact,23,True,True,False,True,True,True,Benign,254,0,0,,{},,,,missing_or_unparsed,0,254,0,0,False,False,True,False,False,100,ok,,streamed_from_zip_no_full_extract
42,processed/iotsim-predictive-maintenance-7.csv,iotsim-predictive-maintenance-7.csv,2841442,predictive-maintenance,,mqtt,raw/benign/iotsim-predictive-maintenance-7_0-0_to_OpenvSwitch-19_7-0.pcap,medium_filename_path_match,1,13724,exact,23,True,True,False,True,True,True,Benign,13724,0,0,,{},,,,missing_or_unparsed,0,13724,0,0,False,False,True,False,False,103,ok,,streamed_from_zip_no_full_extract
43,processed/iotsim-domotic-monitor-1.csv,iotsim-domotic-monitor-1.csv,436779632,domotic-monitor,,telnet,raw/benign/iotsim-domotic-monitor-1_0-0_to_OpenvSwitch-23_1-0.pcap,medium_filename_path_match,5,2114866,exact,23,True,True,False,True,True,True,Benign|C&C Communication|File Download|Ingress Tool Transfer|Merlin ICMP Flooding|Merlin TCP Flooding|Merlin UDP Flooding|Mirai GRE Flooding|Mirai TCP Flooding|Mirai UDP Flooding|Reporting|TCP Scan|Telnet Brute Force|Unknown,8168,2105832,866,C&C Communication|File Download|Ingress Tool Transfer|Merlin ICMP Flooding|Merlin TCP Flooding|Merlin UDP Flooding|Mirai GRE Flooding|Mirai TCP Flooding|Mirai UDP Flooding|Reporting|TCP Scan|Telnet Brute Force,"{""C&C Communication"": 82, ""File Download"": 1187, ""Ingress Tool Transfer"": 3678, ""Merlin ICMP Flooding"": 9793, ""Merlin TCP Flooding"": 20000, ""Merlin UDP Flooding"": 5000, ""Mirai GRE Flooding"": 526672, ""Mirai TCP Flooding"": 715348, ""Mirai UDP Flooding"": 683888, ""Reporting"": 72, ""TCP Scan"": 114292, ""Telnet Brute Force"": 25820}",,,,missing_or_unparsed,0,2114866,0,254,True,True,False,False,True,800,ok,,streamed_from_zip_no_full_extract
44,processed/iotsim-predictive-maintenance-6.csv,iotsim-predictive-maintenance-6.csv,2841902,predictive-maintenance,,mqtt,raw/benign/iotsim-predictive-maintenance-6_0-0_to_OpenvSwitch-19_6-0.pcap,medium_filename_path_match,1,13726,exact,23,True,True,False,True,True,True,Benign,13726,0,0,,{},,,,missing_or_unparsed,0,13726,0,0,False,False,True,False,False,103,ok,,streamed_from_zip_no_full_extract
45,processed/iotsim-combined-cycle-1.csv,iotsim-combined-cycle-1.csv,1230589804,combined-cycle,,coap,raw/benign/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,medium_filename_path_match,11,5974887,exact,23,True,True,False,True,True,True,Benign|C&C Communication|CoAP Amplification|File Download|Ingress Tool Transfer|Merlin C&C Communication|Merlin ICMP Flooding|Merlin TCP Flooding|Merlin UDP Flooding|Mirai C&C Communication|Mirai GRE Flooding|Mirai TCP Flooding|Mirai UDP Flooding|Reporting|TCP Scan|Telnet Brute Force|UDP Scan|Unknown,2092,5971118,1677,C&C Communication|CoAP Amplification|File Download|Ingress Tool Transfer|Merlin C&C Communication|Merlin ICMP Flooding|Merlin TCP Flooding|Merlin UDP Flooding|Mirai C&C Communication|Mirai GRE Flooding|Mirai TCP Flooding|Mirai UDP Flooding|Reporting|TCP Scan|Telnet Brute Force|UDP Scan,"{""C&C Communication"": 182, ""CoAP Amplification"": 274837, ""File Download"": 2377, ""Ingress Tool Transfer"": 6925, ""Merlin C&C Communication"": 9933, ""Merlin ICMP Flooding"": 9042, ""Merlin TCP Flooding"": 20000, ""Merlin UDP Flooding"": 5000, ""Mirai C&C Communication"": 358, ""Mirai GRE Flooding"": 1509515, ""Mirai TCP Flooding"": 1484982, ""Mirai UDP Flooding"": 2368995, ""Reporting"": 152, ""TCP Scan"": 219568, ""Telnet Brute Force"": 55010, ""UDP Scan"": 4242}",,,,missing_or_unparsed,0,5974887,0,297,True,True,False,False,True,800,ok,,streamed_from_zip_no_full_extract
46,processed/iotsim-combined-cycle-3.csv,iotsim-combined-cycle-3.csv,46311,combined-cycle,,coap,raw/benign/iotsim-combined-cycle-3_0-0_to_OpenvSwitch-13_3-0.pcap,medium_filename_path_match,1,254,exact,23,True,True,False,True,True,True,Benign,254,0,0,,{},,,,missing_or_unparsed,0,254,0,0,False,False,True,False,False,100,ok,,streamed_from_zip_no_full_extract
47,processed/iotsim-air-quality-1.csv,iotsim-air-quality-1.csv,12198548,air-quality,,mqtt,raw/benign/iotsim-air-quality-1_0-0_to_OpenvSwitch-25_1-0.pcap,medium_filename_path_match,4,55052,exact,23,True,True,False,True,True,True,Benign|Ingress Tool Transfer|TCP Scan|Telnet Brute Force|Unknown,7233,46962,857,Ingress Tool Transfer|TCP Scan|Telnet Brute Force,"{""Ingress Tool Transfer"": 109, ""TCP Scan"": 24689, ""Telnet Brute Force"": 22164}",,,,missing_or_unparsed,0,55052,0,154,True,True,False,False,True,800,ok,,streamed_from_zip_no_full_extract
48,processed/iotsim-predictive-maintenance-4.csv,iotsim-predictive-maintenance-4.csv,2841902,predictive-maintenance,,mqtt,raw/benign/iotsim-predictive-maintenance-4_0-0_to_OpenvSwitch-19_4-0.pcap,medium_filename_path_match,1,13726,exact,23,True,True,False,True,True,True,Benign,13726,0,0,,{},,,,missing_or_unparsed,0,13726,0,0,False,False,True,False,False,103,ok,,streamed_from_zip_no_full_extract
49,processed/iotsim-domotic-monitor-3.csv,iotsim-domotic-monitor-3.csv,294977,domotic-monitor,,mqtt,raw/benign/iotsim-domotic-monitor-3_0-0_to_OpenvSwitch-23_3-0.pcap,medium_filename_path_match,1,1668,exact,23,True,True,False,True,True,True,Benign,1668,0,0,,{},,,,missing_or_unparsed,0,1668,0,0,False,False,True,False,False,101,ok,,streamed_from_zip_no_full_extract
50,processed/iotsim-domotic-monitor-2.csv,iotsim-domotic-monitor-2.csv,293596,domotic-monitor,,mqtt,raw/benign/iotsim-domotic-monitor-2_0-0_to_OpenvSwitch-23_2-0.pcap,medium_filename_path_match,1,1660,exact,23,True,True,False,True,True,True,Benign,1660,0,0,,{},,,,missing_or_unparsed,0,1660,0,0,False,False,True,False,False,101,ok,,streamed_from_zip_no_full_extract
51,processed/iotsim-predictive-maintenance-5.csv,iotsim-predictive-maintenance-5.csv,2838523,predictive-maintenance,,mqtt,raw/benign/iotsim-predictive-maintenance-5_0-0_to_OpenvSwitch-19_5-0.pcap,medium_filename_path_match,1,13710,exact,23,True,True,False,True,True,True,Benign,13710,0,0,,{},,,,missing_or_unparsed,0,13710,0,0,False,False,True,False,False,103,ok,,streamed_from_zip_no_full_extract
52,processed/iotsim-combined-cycle-2.csv,iotsim-combined-cycle-2.csv,46311,combined-cycle,,coap,raw/benign/iotsim-combined-cycle-2_0-0_to_OpenvSwitch-13_2-0.pcap,medium_filename_path_match,1,254,exact,23,True,True,False,True,True,True,Benign,254,0,0,,{},,,,missing_or_unparsed,0,254,0,0,False,False,True,False,False,100,ok,,streamed_from_zip_no_full_extract
