global_manifest_row_id,csv_file_id,csv_archive_path,row_index_within_file,frame.time,parsed_timestamp,label,binary_label,attack_type,inferred_device,inferred_protocol,frame.protocols,ip.src,ip.dst,time_bucket,row_order_bucket,is_transition_nearby,pcap_counterpart_candidate,split_eligibility_hint
11,1,processed/iotsim-cooler-motor-15.csv,11,"Jan 14, 2025 18:40:15.101673000 GMT",,Benign,benign,,cooler-motor,tls,eth:ethertype:ip:tcp:tls,192.168.19.34,192.168.0.4,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
12,1,processed/iotsim-cooler-motor-15.csv,12,"Jan 14, 2025 18:40:15.106786000 GMT",,Benign,benign,,cooler-motor,,eth:ethertype:ip:tcp,192.168.0.4,192.168.19.34,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
13,1,processed/iotsim-cooler-motor-15.csv,13,"Jan 14, 2025 18:40:15.607124000 GMT",,Benign,benign,,cooler-motor,tls,eth:ethertype:ip:tcp:tls,192.168.19.34,192.168.0.4,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
14,1,processed/iotsim-cooler-motor-15.csv,14,"Jan 14, 2025 18:40:15.611929000 GMT",,Benign,benign,,cooler-motor,,eth:ethertype:ip:tcp,192.168.0.4,192.168.19.34,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
15,1,processed/iotsim-cooler-motor-15.csv,15,"Jan 14, 2025 18:40:16.086584000 GMT",,Benign,benign,,cooler-motor,tls,eth:ethertype:ip:tcp:tls,192.168.19.34,192.168.0.4,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
16,1,processed/iotsim-cooler-motor-15.csv,16,"Jan 14, 2025 18:40:16.091381000 GMT",,Benign,benign,,cooler-motor,,eth:ethertype:ip:tcp,192.168.0.4,192.168.19.34,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
17,1,processed/iotsim-cooler-motor-15.csv,17,"Jan 14, 2025 18:40:16.605494000 GMT",,Benign,benign,,cooler-motor,tls,eth:ethertype:ip:tcp:tls,192.168.19.34,192.168.0.4,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
18,1,processed/iotsim-cooler-motor-15.csv,18,"Jan 14, 2025 18:40:16.610922000 GMT",,Benign,benign,,cooler-motor,,eth:ethertype:ip:tcp,192.168.0.4,192.168.19.34,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
19,1,processed/iotsim-cooler-motor-15.csv,19,"Jan 14, 2025 18:40:17.088622000 GMT",,Benign,benign,,cooler-motor,tls,eth:ethertype:ip:tcp:tls,192.168.19.34,192.168.0.4,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
20,1,processed/iotsim-cooler-motor-15.csv,20,"Jan 14, 2025 18:40:17.093813000 GMT",,Benign,benign,,cooler-motor,,eth:ethertype:ip:tcp,192.168.0.4,192.168.19.34,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
21,1,processed/iotsim-cooler-motor-15.csv,21,"Jan 14, 2025 18:40:17.592726000 GMT",,Benign,benign,,cooler-motor,tls,eth:ethertype:ip:tcp:tls,192.168.19.34,192.168.0.4,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
22,1,processed/iotsim-cooler-motor-15.csv,22,"Jan 14, 2025 18:40:17.596946000 GMT",,Benign,benign,,cooler-motor,,eth:ethertype:ip:tcp,192.168.0.4,192.168.19.34,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
23,1,processed/iotsim-cooler-motor-15.csv,23,"Jan 14, 2025 18:40:18.098101000 GMT",,Benign,benign,,cooler-motor,tls,eth:ethertype:ip:tcp:tls,192.168.19.34,192.168.0.4,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
24,1,processed/iotsim-cooler-motor-15.csv,24,"Jan 14, 2025 18:40:18.103120000 GMT",,Benign,benign,,cooler-motor,,eth:ethertype:ip:tcp,192.168.0.4,192.168.19.34,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
25,1,processed/iotsim-cooler-motor-15.csv,25,"Jan 14, 2025 18:40:18.592105000 GMT",,Benign,benign,,cooler-motor,tls,eth:ethertype:ip:tcp:tls,192.168.19.34,192.168.0.4,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
26,1,processed/iotsim-cooler-motor-15.csv,26,"Jan 14, 2025 18:40:18.597249000 GMT",,Benign,benign,,cooler-motor,,eth:ethertype:ip:tcp,192.168.0.4,192.168.19.34,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
27,1,processed/iotsim-cooler-motor-15.csv,27,"Jan 14, 2025 18:40:19.090021000 GMT",,Benign,benign,,cooler-motor,tls,eth:ethertype:ip:tcp:tls,192.168.19.34,192.168.0.4,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
28,1,processed/iotsim-cooler-motor-15.csv,28,"Jan 14, 2025 18:40:19.101777000 GMT",,Benign,benign,,cooler-motor,,eth:ethertype:ip:tcp,192.168.0.4,192.168.19.34,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
29,1,processed/iotsim-cooler-motor-15.csv,29,"Jan 14, 2025 18:40:19.585573000 GMT",,Benign,benign,,cooler-motor,tls,eth:ethertype:ip:tcp:tls,192.168.19.34,192.168.0.4,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
30,1,processed/iotsim-cooler-motor-15.csv,30,"Jan 14, 2025 18:40:19.592508000 GMT",,Benign,benign,,cooler-motor,,eth:ethertype:ip:tcp,192.168.0.4,192.168.19.34,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
31,1,processed/iotsim-cooler-motor-15.csv,31,"Jan 14, 2025 18:40:20.087492000 GMT",,Benign,benign,,cooler-motor,tls,eth:ethertype:ip:tcp:tls,192.168.19.34,192.168.0.4,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
32,1,processed/iotsim-cooler-motor-15.csv,32,"Jan 14, 2025 18:40:20.092447000 GMT",,Benign,benign,,cooler-motor,,eth:ethertype:ip:tcp,192.168.0.4,192.168.19.34,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
33,1,processed/iotsim-cooler-motor-15.csv,33,"Jan 14, 2025 18:40:20.590543000 GMT",,Benign,benign,,cooler-motor,tls,eth:ethertype:ip:tcp:tls,192.168.19.34,192.168.0.4,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
34,1,processed/iotsim-cooler-motor-15.csv,34,"Jan 14, 2025 18:40:20.598138000 GMT",,Benign,benign,,cooler-motor,,eth:ethertype:ip:tcp,192.168.0.4,192.168.19.34,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
35,1,processed/iotsim-cooler-motor-15.csv,35,"Jan 14, 2025 18:40:21.069547000 GMT",,Benign,benign,,cooler-motor,tls,eth:ethertype:ip:tcp:tls,192.168.19.34,192.168.0.4,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
36,1,processed/iotsim-cooler-motor-15.csv,36,"Jan 14, 2025 18:40:21.073958000 GMT",,Benign,benign,,cooler-motor,,eth:ethertype:ip:tcp,192.168.0.4,192.168.19.34,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
37,1,processed/iotsim-cooler-motor-15.csv,37,"Jan 14, 2025 18:40:21.587400000 GMT",,Benign,benign,,cooler-motor,tls,eth:ethertype:ip:tcp:tls,192.168.19.34,192.168.0.4,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
38,1,processed/iotsim-cooler-motor-15.csv,38,"Jan 14, 2025 18:40:21.592195000 GMT",,Benign,benign,,cooler-motor,,eth:ethertype:ip:tcp,192.168.0.4,192.168.19.34,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
39,1,processed/iotsim-cooler-motor-15.csv,39,"Jan 14, 2025 18:40:22.074632000 GMT",,Benign,benign,,cooler-motor,tls,eth:ethertype:ip:tcp:tls,192.168.19.34,192.168.0.4,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
40,1,processed/iotsim-cooler-motor-15.csv,40,"Jan 14, 2025 18:40:22.080502000 GMT",,Benign,benign,,cooler-motor,,eth:ethertype:ip:tcp,192.168.0.4,192.168.19.34,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
41,1,processed/iotsim-cooler-motor-15.csv,41,"Jan 14, 2025 18:40:22.596284000 GMT",,Benign,benign,,cooler-motor,tls,eth:ethertype:ip:tcp:tls,192.168.19.34,192.168.0.4,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
42,1,processed/iotsim-cooler-motor-15.csv,42,"Jan 14, 2025 18:40:22.601036000 GMT",,Benign,benign,,cooler-motor,,eth:ethertype:ip:tcp,192.168.0.4,192.168.19.34,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
43,1,processed/iotsim-cooler-motor-15.csv,43,"Jan 14, 2025 18:40:23.114310000 GMT",,Benign,benign,,cooler-motor,tls,eth:ethertype:ip:tcp:tls,192.168.19.34,192.168.0.4,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
44,1,processed/iotsim-cooler-motor-15.csv,44,"Jan 14, 2025 18:40:23.118221000 GMT",,Benign,benign,,cooler-motor,,eth:ethertype:ip:tcp,192.168.0.4,192.168.19.34,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
45,1,processed/iotsim-cooler-motor-15.csv,45,"Jan 14, 2025 18:40:23.619587000 GMT",,Benign,benign,,cooler-motor,tls,eth:ethertype:ip:tcp:tls,192.168.19.34,192.168.0.4,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
46,1,processed/iotsim-cooler-motor-15.csv,46,"Jan 14, 2025 18:40:23.623712000 GMT",,Benign,benign,,cooler-motor,,eth:ethertype:ip:tcp,192.168.0.4,192.168.19.34,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
47,1,processed/iotsim-cooler-motor-15.csv,47,"Jan 14, 2025 18:40:24.124897000 GMT",,Benign,benign,,cooler-motor,tls,eth:ethertype:ip:tcp:tls,192.168.19.34,192.168.0.4,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
48,1,processed/iotsim-cooler-motor-15.csv,48,"Jan 14, 2025 18:40:24.132451000 GMT",,Benign,benign,,cooler-motor,,eth:ethertype:ip:tcp,192.168.0.4,192.168.19.34,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
49,1,processed/iotsim-cooler-motor-15.csv,49,"Jan 14, 2025 18:40:24.636936000 GMT",,Benign,benign,,cooler-motor,tls,eth:ethertype:ip:tcp:tls,192.168.19.34,192.168.0.4,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
50,1,processed/iotsim-cooler-motor-15.csv,50,"Jan 14, 2025 18:40:24.641806000 GMT",,Benign,benign,,cooler-motor,,eth:ethertype:ip:tcp,192.168.0.4,192.168.19.34,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
51,1,processed/iotsim-cooler-motor-15.csv,51,"Jan 14, 2025 18:40:25.145268000 GMT",,Benign,benign,,cooler-motor,tls,eth:ethertype:ip:tcp:tls,192.168.19.34,192.168.0.4,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
52,1,processed/iotsim-cooler-motor-15.csv,52,"Jan 14, 2025 18:40:25.150020000 GMT",,Benign,benign,,cooler-motor,,eth:ethertype:ip:tcp,192.168.0.4,192.168.19.34,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
53,1,processed/iotsim-cooler-motor-15.csv,53,"Jan 14, 2025 18:40:25.639556000 GMT",,Benign,benign,,cooler-motor,tls,eth:ethertype:ip:tcp:tls,192.168.19.34,192.168.0.4,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
54,1,processed/iotsim-cooler-motor-15.csv,54,"Jan 14, 2025 18:40:25.644202000 GMT",,Benign,benign,,cooler-motor,,eth:ethertype:ip:tcp,192.168.0.4,192.168.19.34,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
55,1,processed/iotsim-cooler-motor-15.csv,55,"Jan 14, 2025 18:40:26.138697000 GMT",,Benign,benign,,cooler-motor,tls,eth:ethertype:ip:tcp:tls,192.168.19.34,192.168.0.4,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
56,1,processed/iotsim-cooler-motor-15.csv,56,"Jan 14, 2025 18:40:26.144144000 GMT",,Benign,benign,,cooler-motor,,eth:ethertype:ip:tcp,192.168.0.4,192.168.19.34,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
57,1,processed/iotsim-cooler-motor-15.csv,57,"Jan 14, 2025 18:40:26.635991000 GMT",,Benign,benign,,cooler-motor,tls,eth:ethertype:ip:tcp:tls,192.168.19.34,192.168.0.4,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
58,1,processed/iotsim-cooler-motor-15.csv,58,"Jan 14, 2025 18:40:26.640832000 GMT",,Benign,benign,,cooler-motor,,eth:ethertype:ip:tcp,192.168.0.4,192.168.19.34,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
59,1,processed/iotsim-cooler-motor-15.csv,59,"Jan 14, 2025 18:40:27.141569000 GMT",,Benign,benign,,cooler-motor,tls,eth:ethertype:ip:tcp:tls,192.168.19.34,192.168.0.4,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
60,1,processed/iotsim-cooler-motor-15.csv,60,"Jan 14, 2025 18:40:27.145994000 GMT",,Benign,benign,,cooler-motor,,eth:ethertype:ip:tcp,192.168.0.4,192.168.19.34,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
61,1,processed/iotsim-cooler-motor-15.csv,61,"Jan 14, 2025 18:40:27.638968000 GMT",,Benign,benign,,cooler-motor,tls,eth:ethertype:ip:tcp:tls,192.168.19.34,192.168.0.4,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
62,1,processed/iotsim-cooler-motor-15.csv,62,"Jan 14, 2025 18:40:27.643463000 GMT",,Benign,benign,,cooler-motor,,eth:ethertype:ip:tcp,192.168.0.4,192.168.19.34,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
63,1,processed/iotsim-cooler-motor-15.csv,63,"Jan 14, 2025 18:40:28.146628000 GMT",,Benign,benign,,cooler-motor,tls,eth:ethertype:ip:tcp:tls,192.168.19.34,192.168.0.4,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
64,1,processed/iotsim-cooler-motor-15.csv,64,"Jan 14, 2025 18:40:28.153570000 GMT",,Benign,benign,,cooler-motor,,eth:ethertype:ip:tcp,192.168.0.4,192.168.19.34,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
65,1,processed/iotsim-cooler-motor-15.csv,65,"Jan 14, 2025 18:40:28.640544000 GMT",,Benign,benign,,cooler-motor,tls,eth:ethertype:ip:tcp:tls,192.168.19.34,192.168.0.4,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
66,1,processed/iotsim-cooler-motor-15.csv,66,"Jan 14, 2025 18:40:28.645517000 GMT",,Benign,benign,,cooler-motor,,eth:ethertype:ip:tcp,192.168.0.4,192.168.19.34,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
67,1,processed/iotsim-cooler-motor-15.csv,67,"Jan 14, 2025 18:40:29.140615000 GMT",,Benign,benign,,cooler-motor,tls,eth:ethertype:ip:tcp:tls,192.168.19.34,192.168.0.4,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
68,1,processed/iotsim-cooler-motor-15.csv,68,"Jan 14, 2025 18:40:29.145451000 GMT",,Benign,benign,,cooler-motor,,eth:ethertype:ip:tcp,192.168.0.4,192.168.19.34,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
69,1,processed/iotsim-cooler-motor-15.csv,69,"Jan 14, 2025 18:40:29.187372000 GMT",,Benign,benign,,cooler-motor,dns,eth:ethertype:ip:udp:dns,192.168.19.34,192.168.0.2,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
70,1,processed/iotsim-cooler-motor-15.csv,70,"Jan 14, 2025 18:40:29.191111000 GMT",,Benign,benign,,cooler-motor,dns,eth:ethertype:ip:udp:dns,192.168.0.2,192.168.19.34,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
71,1,processed/iotsim-cooler-motor-15.csv,71,"Jan 14, 2025 18:40:29.191188000 GMT",,Benign,benign,,cooler-motor,ntp,eth:ethertype:ip:udp:ntp,192.168.19.34,192.168.0.3,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
72,1,processed/iotsim-cooler-motor-15.csv,72,"Jan 14, 2025 18:40:29.194947000 GMT",,Benign,benign,,cooler-motor,ntp,eth:ethertype:ip:udp:ntp,192.168.0.3,192.168.19.34,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
73,1,processed/iotsim-cooler-motor-15.csv,73,"Jan 14, 2025 18:40:29.647106000 GMT",,Benign,benign,,cooler-motor,tls,eth:ethertype:ip:tcp:tls,192.168.19.34,192.168.0.4,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
74,1,processed/iotsim-cooler-motor-15.csv,74,"Jan 14, 2025 18:40:29.651447000 GMT",,Benign,benign,,cooler-motor,,eth:ethertype:ip:tcp,192.168.0.4,192.168.19.34,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
75,1,processed/iotsim-cooler-motor-15.csv,75,"Jan 14, 2025 18:40:29.651478000 GMT",,Benign,benign,,cooler-motor,tls,eth:ethertype:ip:tcp:tls,192.168.19.34,192.168.0.4,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
76,1,processed/iotsim-cooler-motor-15.csv,76,"Jan 14, 2025 18:40:29.655529000 GMT",,Benign,benign,,cooler-motor,,eth:ethertype:ip:tcp,192.168.0.4,192.168.19.34,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
77,1,processed/iotsim-cooler-motor-15.csv,77,"Jan 14, 2025 18:40:29.655545000 GMT",,Benign,benign,,cooler-motor,tls,eth:ethertype:ip:tcp:tls,192.168.0.4,192.168.19.34,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
78,1,processed/iotsim-cooler-motor-15.csv,78,"Jan 14, 2025 18:40:29.655561000 GMT",,Benign,benign,,cooler-motor,,eth:ethertype:ip:tcp,192.168.19.34,192.168.0.4,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
79,1,processed/iotsim-cooler-motor-15.csv,79,"Jan 14, 2025 18:40:30.150575000 GMT",,Benign,benign,,cooler-motor,tls,eth:ethertype:ip:tcp:tls,192.168.19.34,192.168.0.4,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
80,1,processed/iotsim-cooler-motor-15.csv,80,"Jan 14, 2025 18:40:30.196765000 GMT",,Benign,benign,,cooler-motor,,eth:ethertype:ip:tcp,192.168.0.4,192.168.19.34,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
81,1,processed/iotsim-cooler-motor-15.csv,81,"Jan 14, 2025 18:40:30.642189000 GMT",,Benign,benign,,cooler-motor,tls,eth:ethertype:ip:tcp:tls,192.168.19.34,192.168.0.4,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
82,1,processed/iotsim-cooler-motor-15.csv,82,"Jan 14, 2025 18:40:30.646928000 GMT",,Benign,benign,,cooler-motor,,eth:ethertype:ip:tcp,192.168.0.4,192.168.19.34,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
83,1,processed/iotsim-cooler-motor-15.csv,83,"Jan 14, 2025 18:40:31.140586000 GMT",,Benign,benign,,cooler-motor,tls,eth:ethertype:ip:tcp:tls,192.168.19.34,192.168.0.4,,row_first_1k,false,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,eligible_benign
