region_id,exact_attack_label,rank,feature_index,feature_name,mean_squared_distance_fraction,median_sample_top1_fraction,median_sample_top5_fraction
attack_region_1e35a23f930c,Merlin TCP Flooding,9,5,MI_dir_3_std,1.615453566940095e-05,0.7636835481688315,0.9999999820901959
attack_region_1e35a23f930c,Merlin TCP Flooding,10,20,H_3_std,1.584851593996258e-05,0.7636835481688315,0.9999999820901959
attack_region_5199177e241f,Merlin UDP Flooding,1,67,HH_jit_5_std,0.737048999458147,0.7633777542018796,0.9999999915933784
attack_region_5199177e241f,Merlin UDP Flooding,2,70,HH_jit_3_std,0.22810145813561153,0.7633777542018796,0.9999999915933784
attack_region_5199177e241f,Merlin UDP Flooding,3,73,HH_jit_1_std,0.0014812074319165138,0.7633777542018796,0.9999999915933784
attack_region_5199177e241f,Merlin UDP Flooding,4,76,HH_jit_0.1_std,3.48480429326575e-05,0.7633777542018796,0.9999999915933784
attack_region_5199177e241f,Merlin UDP Flooding,5,32,HH_5_std_0,2.2812729347493086e-08,0.7633777542018796,0.9999999915933784
attack_region_5199177e241f,Merlin UDP Flooding,6,2,MI_dir_5_std,2.2812729347493083e-08,0.7633777542018796,0.9999999915933784
attack_region_5199177e241f,Merlin UDP Flooding,7,17,H_5_std,2.2793387996777482e-08,0.7633777542018796,0.9999999915933784
attack_region_5199177e241f,Merlin UDP Flooding,8,39,HH_3_std_0,2.200448700187349e-08,0.7633777542018796,0.9999999915933784
attack_region_5199177e241f,Merlin UDP Flooding,9,5,MI_dir_3_std,2.2004487001871747e-08,0.7633777542018796,0.9999999915933784
attack_region_5199177e241f,Merlin UDP Flooding,10,20,H_3_std,2.1918423047319503e-08,0.7633777542018796,0.9999999915933784
attack_region_704820898382,Mirai C&C Communication,1,35,HH_5_covariance_0_1,0.3119000772900449,0.8069111125379602,0.9999121375244484
attack_region_704820898382,Mirai C&C Communication,2,36,HH_5_pcc_0_1,0.11109019834870937,0.8069111125379602,0.9999121375244484
attack_region_704820898382,Mirai C&C Communication,3,43,HH_3_pcc_0_1,0.11106648441607657,0.8069111125379602,0.9999121375244484
attack_region_704820898382,Mirai C&C Communication,4,32,HH_5_std_0,0.05619816231343481,0.8069111125379602,0.9999121375244484
attack_region_704820898382,Mirai C&C Communication,5,2,MI_dir_5_std,0.05619816231343481,0.8069111125379602,0.9999121375244484
attack_region_704820898382,Mirai C&C Communication,6,17,H_5_std,0.04779807499944615,0.8069111125379602,0.9999121375244484
attack_region_704820898382,Mirai C&C Communication,7,39,HH_3_std_0,0.031556812202135985,0.8069111125379602,0.9999121375244484
attack_region_704820898382,Mirai C&C Communication,8,5,MI_dir_3_std,0.031556812202133494,0.8069111125379602,0.9999121375244484
attack_region_704820898382,Mirai C&C Communication,9,20,H_3_std,0.02706864954159438,0.8069111125379602,0.9999121375244484
attack_region_704820898382,Mirai C&C Communication,10,46,HH_1_std_0,0.01829978410268391,0.8069111125379602,0.9999121375244484
attack_region_a9be197bc385,Mirai GRE Flooding,1,67,HH_jit_5_std,0.7176274419419142,0.76289137125893,0.9999644333244875
attack_region_a9be197bc385,Mirai GRE Flooding,2,70,HH_jit_3_std,0.22129181602003586,0.76289137125893,0.9999644333244875
attack_region_a9be197bc385,Mirai GRE Flooding,3,65,HH_jit_5_weight,0.016170275005453084,0.76289137125893,0.9999644333244875
attack_region_a9be197bc385,Mirai GRE Flooding,4,68,HH_jit_3_weight,0.006648033420844277,0.76289137125893,0.9999644333244875
attack_region_a9be197bc385,Mirai GRE Flooding,5,77,HH_jit_0.01_weight,0.002780192353333938,0.76289137125893,0.9999644333244875
attack_region_a9be197bc385,Mirai GRE Flooding,6,20,H_3_std,0.002494562688660837,0.76289137125893,0.9999644333244875
attack_region_a9be197bc385,Mirai GRE Flooding,7,5,MI_dir_3_std,0.002493618245664057,0.76289137125893,0.9999644333244875
attack_region_a9be197bc385,Mirai GRE Flooding,8,39,HH_3_std_0,0.0024936182456276297,0.76289137125893,0.9999644333244875
attack_region_a9be197bc385,Mirai GRE Flooding,9,74,HH_jit_0.1_weight,0.002286792546472917,0.76289137125893,0.9999644333244875
attack_region_a9be197bc385,Mirai GRE Flooding,10,17,H_5_std,0.002169588183305256,0.76289137125893,0.9999644333244875
attack_region_a1eb14dc651b,Mirai TCP Flooding,1,67,HH_jit_5_std,0.7323209016586965,0.76217886828691,0.9999462740231235
attack_region_a1eb14dc651b,Mirai TCP Flooding,2,70,HH_jit_3_std,0.22612778580159354,0.76217886828691,0.9999462740231235
attack_region_a1eb14dc651b,Mirai TCP Flooding,3,76,HH_jit_0.1_std,0.011032524206140164,0.76217886828691,0.9999462740231235
attack_region_a1eb14dc651b,Mirai TCP Flooding,4,65,HH_jit_5_weight,0.004557294065249073,0.76217886828691,0.9999462740231235
attack_region_a1eb14dc651b,Mirai TCP Flooding,5,74,HH_jit_0.1_weight,0.0034711187160620864,0.76217886828691,0.9999462740231235
attack_region_a1eb14dc651b,Mirai TCP Flooding,6,77,HH_jit_0.01_weight,0.002205639696059356,0.76217886828691,0.9999462740231235
attack_region_a1eb14dc651b,Mirai TCP Flooding,7,68,HH_jit_3_weight,0.0019147986901252114,0.76217886828691,0.9999462740231235
attack_region_a1eb14dc651b,Mirai TCP Flooding,8,73,HH_jit_1_std,0.0014689712943572737,0.76217886828691,0.9999462740231235
attack_region_a1eb14dc651b,Mirai TCP Flooding,9,71,HH_jit_1_weight,0.00014181562386160994,0.76217886828691,0.9999462740231235
attack_region_a1eb14dc651b,Mirai TCP Flooding,10,5,MI_dir_3_std,1.5151308526093306e-05,0.76217886828691,0.9999462740231235
attack_region_8f8a32f3c5de,Mirai UDP Flooding,1,65,HH_jit_5_weight,0.5444113377131782,0.7285565214025788,0.9990741783781125
attack_region_8f8a32f3c5de,Mirai UDP Flooding,2,68,HH_jit_3_weight,0.19053225340545088,0.7285565214025788,0.9990741783781125
attack_region_8f8a32f3c5de,Mirai UDP Flooding,3,32,HH_5_std_0,0.04048904987862312,0.7285565214025788,0.9990741783781125
attack_region_8f8a32f3c5de,Mirai UDP Flooding,4,2,MI_dir_5_std,0.04048904987862312,0.7285565214025788,0.9990741783781125
attack_region_8f8a32f3c5de,Mirai UDP Flooding,5,17,H_5_std,0.03941537440337695,0.7285565214025788,0.9990741783781125
attack_region_8f8a32f3c5de,Mirai UDP Flooding,6,39,HH_3_std_0,0.03540494702032002,0.7285565214025788,0.9990741783781125
attack_region_8f8a32f3c5de,Mirai UDP Flooding,7,5,MI_dir_3_std,0.03540494702031718,0.7285565214025788,0.9990741783781125
attack_region_8f8a32f3c5de,Mirai UDP Flooding,8,20,H_3_std,0.0347323201925103,0.7285565214025788,0.9990741783781125
attack_region_8f8a32f3c5de,Mirai UDP Flooding,9,71,HH_jit_1_weight,0.011539371274142288,0.7285565214025788,0.9990741783781125
attack_region_8f8a32f3c5de,Mirai UDP Flooding,10,33,HH_5_radius_0_1,0.003628434378451836,0.7285565214025788,0.9990741783781125
