region_id,exact_attack_label,metric,prototype_type,sample_id,global_candidate_id,chunk_id,row_index_within_chunk,device_or_source_group,source_file,pcap_path,phase,provenance_hash
attack_region_5199177e241f,Merlin UDP Flooding,primary_euclidean,medoid,support_000244,cand_00007417,3,24,city-power,processed/iotsim-city-power-1.csv,raw/malicious/merlin/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,tail_gt_10000,01c11e987e3c8d4183ca18a7bbc2ad42fbb450b04b15db20d0060e82949c3350
attack_region_5199177e241f,Merlin UDP Flooding,challenger_shrinkage_mahalanobis,medoid,support_000244,cand_00007417,3,24,city-power,processed/iotsim-city-power-1.csv,raw/malicious/merlin/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,tail_gt_10000,01c11e987e3c8d4183ca18a7bbc2ad42fbb450b04b15db20d0060e82949c3350
attack_region_704820898382,Mirai C&C Communication,primary_euclidean,medoid,support_000260,cand_00045491,13,249,ip-camera-museum,processed/iotsim-ip-camera-museum-1.csv,raw/malicious/mirai-dos/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,tail_gt_10000,42f531aeff09bc468ca1fbf74f82ae16e01fbdf9043a053a5b2c795d82d06097
attack_region_704820898382,Mirai C&C Communication,challenger_shrinkage_mahalanobis,medoid,support_000260,cand_00045491,13,249,ip-camera-museum,processed/iotsim-ip-camera-museum-1.csv,raw/malicious/mirai-dos/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,tail_gt_10000,42f531aeff09bc468ca1fbf74f82ae16e01fbdf9043a053a5b2c795d82d06097
attack_region_a9be197bc385,Mirai GRE Flooding,primary_euclidean,medoid,support_000314,cand_00008693,4,50,city-power,processed/iotsim-city-power-1.csv,raw/malicious/mirai-dos/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,tail_gt_10000,0c7dfd95b501aa002c3b5ecc625635f5573d53220820f6b44572e876246a3226
attack_region_a9be197bc385,Mirai GRE Flooding,challenger_shrinkage_mahalanobis,medoid,support_000281,cand_00008673,4,30,city-power,processed/iotsim-city-power-1.csv,raw/malicious/mirai-dos/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,tail_gt_10000,6a063d35b81f423751561adb76a7c5201df2e5853dfc75d167362b012c8be04d
attack_region_a1eb14dc651b,Mirai TCP Flooding,primary_euclidean,medoid,support_000384,cand_00016743,5,100,city-power,processed/iotsim-city-power-1.csv,raw/malicious/mirai-dos/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,tail_gt_10000,ddac1e6c9c360b500951a2cfe111ec5812fdfe66d1e2020bfa6e34137f8eec2a
attack_region_a1eb14dc651b,Mirai TCP Flooding,challenger_shrinkage_mahalanobis,medoid,support_000386,cand_00016693,5,50,city-power,processed/iotsim-city-power-1.csv,raw/malicious/mirai-dos/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,tail_gt_10000,f4676fc7079c0590bad51c3bc10b207b84e7bc1eebc6d0646485b4864d475b4f
attack_region_8f8a32f3c5de,Mirai UDP Flooding,primary_euclidean,medoid,support_000444,cand_00024699,6,56,city-power,processed/iotsim-city-power-1.csv,raw/malicious/mirai-dos/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,tail_gt_10000,6ee913d8b90db0965fe3163b2f647572cfc72545f0e9278b55d60458cb1b09f7
attack_region_8f8a32f3c5de,Mirai UDP Flooding,challenger_shrinkage_mahalanobis,medoid,support_000444,cand_00024699,6,56,city-power,processed/iotsim-city-power-1.csv,raw/malicious/mirai-dos/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,tail_gt_10000,6ee913d8b90db0965fe3163b2f647572cfc72545f0e9278b55d60458cb1b09f7
