region_id,exact_attack_label,metric,shell_scheme,core_radius,near_radius,uncertain_radius,is_preregistered_primary
attack_region_5199177e241f,Merlin UDP Flooding,primary_euclidean,tight,171213396.24999446,455904089.3765376,794782652.7367268,False
attack_region_5199177e241f,Merlin UDP Flooding,challenger_shrinkage_mahalanobis,tight,0.18706346968884838,0.3842034730641906,0.6729714799389044,False
attack_region_5199177e241f,Merlin UDP Flooding,primary_euclidean,medium,389544338.8958877,794782652.7367268,993176850.8486254,True
attack_region_5199177e241f,Merlin UDP Flooding,challenger_shrinkage_mahalanobis,medium,0.32711448682414923,0.6729714799389044,0.8512488372455167,False
attack_region_5199177e241f,Merlin UDP Flooding,primary_euclidean,wide,868320540.4794259,993176850.8486254,1088059168.2632382,False
attack_region_5199177e241f,Merlin UDP Flooding,challenger_shrinkage_mahalanobis,wide,0.7326444926472648,0.8512488372455167,0.9294065857193378,False
attack_region_704820898382,Mirai C&C Communication,primary_euclidean,tight,143319.57893111784,10134484.63160047,15140409.874056332,False
attack_region_704820898382,Mirai C&C Communication,challenger_shrinkage_mahalanobis,tight,0.01924795457430257,1.3599111626752112,2.0316388113926633,False
attack_region_704820898382,Mirai C&C Communication,primary_euclidean,medium,13671022.019065345,15140409.874056332,89945879.2369293,True
attack_region_704820898382,Mirai C&C Communication,challenger_shrinkage_mahalanobis,medium,1.8344667825969838,2.0316388113926633,12.079348747847842,False
attack_region_704820898382,Mirai C&C Communication,primary_euclidean,wide,35894628.03145737,89945879.2369293,112595927.36112714,False
attack_region_704820898382,Mirai C&C Communication,challenger_shrinkage_mahalanobis,wide,4.819285278938576,12.079348747847842,15.12166105862888,False
attack_region_a9be197bc385,Mirai GRE Flooding,primary_euclidean,tight,630801.7393276314,2375529.111077513,5513314.586892098,False
attack_region_a9be197bc385,Mirai GRE Flooding,challenger_shrinkage_mahalanobis,tight,0.0037894648968487977,0.006787557107965965,0.014893073971515087,False
attack_region_a9be197bc385,Mirai GRE Flooding,primary_euclidean,medium,2172920.125855517,5513314.586892098,9225994.103246478,True
attack_region_a9be197bc385,Mirai GRE Flooding,challenger_shrinkage_mahalanobis,medium,0.006934290886698327,0.014893073971515087,0.04259457396781344,False
attack_region_a9be197bc385,Mirai GRE Flooding,primary_euclidean,wide,5603621.75762224,9225994.103246478,10420548.282371819,False
attack_region_a9be197bc385,Mirai GRE Flooding,challenger_shrinkage_mahalanobis,wide,0.022990664362637893,0.04259457396781344,0.06123747828876325,False
attack_region_a1eb14dc651b,Mirai TCP Flooding,primary_euclidean,tight,844584.4947423761,4667855.656973416,7496317.990735764,False
attack_region_a1eb14dc651b,Mirai TCP Flooding,challenger_shrinkage_mahalanobis,tight,0.004990595713158689,0.009668203068029454,0.01768175655548543,False
attack_region_a1eb14dc651b,Mirai TCP Flooding,primary_euclidean,medium,4667855.656973416,7496317.990735764,9986267.82150267,True
attack_region_a1eb14dc651b,Mirai TCP Flooding,challenger_shrinkage_mahalanobis,medium,0.008582151595263455,0.01768175655548543,0.039573508696899524,False
attack_region_a1eb14dc651b,Mirai TCP Flooding,primary_euclidean,wide,7286738.192797725,9986267.82150267,10085325.75677938,False
attack_region_a1eb14dc651b,Mirai TCP Flooding,challenger_shrinkage_mahalanobis,wide,0.016927148918125447,0.039573508696899524,0.05631607070779828,False
attack_region_8f8a32f3c5de,Mirai UDP Flooding,primary_euclidean,tight,23361.76711260723,122798.8816672652,278870.8600264718,False
attack_region_8f8a32f3c5de,Mirai UDP Flooding,challenger_shrinkage_mahalanobis,tight,0.003137497096670173,0.016490796615274923,0.037449934484715536,False
attack_region_8f8a32f3c5de,Mirai UDP Flooding,primary_euclidean,medium,122828.58589574814,278870.8600264718,457828.90814807004,True
attack_region_8f8a32f3c5de,Mirai UDP Flooding,challenger_shrinkage_mahalanobis,medium,0.01649478476520626,0.037449934484715536,0.06148233810835901,False
attack_region_8f8a32f3c5de,Mirai UDP Flooding,primary_euclidean,wide,265146.12966580194,457828.90814807004,512897.17113200383,False
attack_region_8f8a32f3c5de,Mirai UDP Flooding,challenger_shrinkage_mahalanobis,wide,0.03560680338777385,0.06148233810835901,0.06887751501567463,False
