seed,bank_name,field,value,count,fraction
45,base128_retained_plus_active128_bank256,file_id,processed/iotsim-air-quality-1.csv,28,0.109375
45,base128_retained_plus_active128_bank256,file_id,processed/iotsim-city-power-1.csv,66,0.2578125
45,base128_retained_plus_active128_bank256,file_id,processed/iotsim-combined-cycle-10.csv,34,0.1328125
45,base128_retained_plus_active128_bank256,file_id,processed/iotsim-ip-camera-museum-1.csv,61,0.23828125
45,base128_retained_plus_active128_bank256,file_id,processed/iotsim-ip-camera-street-1.csv,67,0.26171875
45,base128_retained_plus_active128_bank256,phase,phase_unknown,256,1.0
46,base_kcenter128_only,source,medium_base_train_retained,96,0.75
46,base_kcenter128_only,source,medium_support_val_heldout,32,0.25
46,base_kcenter128_only,attack_type,mirai-infection,128,1.0
46,base_kcenter128_only,file_id,processed/iotsim-air-quality-1.csv,28,0.21875
46,base_kcenter128_only,file_id,processed/iotsim-city-power-1.csv,66,0.515625
46,base_kcenter128_only,file_id,processed/iotsim-combined-cycle-10.csv,34,0.265625
46,base_kcenter128_only,phase,phase_unknown,128,1.0
46,base128_retained_plus_active64_bank192,source,active_heavy_confirmed_attack,64,0.3333333333333333
46,base128_retained_plus_active64_bank192,source,medium_base_train_retained,96,0.5
46,base128_retained_plus_active64_bank192,source,medium_support_val_heldout,32,0.16666666666666666
46,base128_retained_plus_active64_bank192,attack_type,mirai-infection,192,1.0
46,base128_retained_plus_active64_bank192,file_id,processed/iotsim-air-quality-1.csv,28,0.14583333333333334
46,base128_retained_plus_active64_bank192,file_id,processed/iotsim-city-power-1.csv,66,0.34375
46,base128_retained_plus_active64_bank192,file_id,processed/iotsim-combined-cycle-10.csv,34,0.17708333333333334
46,base128_retained_plus_active64_bank192,file_id,processed/iotsim-ip-camera-museum-1.csv,31,0.16145833333333334
46,base128_retained_plus_active64_bank192,file_id,processed/iotsim-ip-camera-street-1.csv,33,0.171875
46,base128_retained_plus_active64_bank192,phase,phase_unknown,192,1.0
46,base128_retained_plus_active128_bank256,source,active_heavy_confirmed_attack,128,0.5
46,base128_retained_plus_active128_bank256,source,medium_base_train_retained,96,0.375
46,base128_retained_plus_active128_bank256,source,medium_support_val_heldout,32,0.125
46,base128_retained_plus_active128_bank256,attack_type,mirai-infection,256,1.0
46,base128_retained_plus_active128_bank256,file_id,processed/iotsim-air-quality-1.csv,28,0.109375
46,base128_retained_plus_active128_bank256,file_id,processed/iotsim-city-power-1.csv,66,0.2578125
46,base128_retained_plus_active128_bank256,file_id,processed/iotsim-combined-cycle-10.csv,34,0.1328125
46,base128_retained_plus_active128_bank256,file_id,processed/iotsim-ip-camera-museum-1.csv,64,0.25
46,base128_retained_plus_active128_bank256,file_id,processed/iotsim-ip-camera-street-1.csv,64,0.25
46,base128_retained_plus_active128_bank256,phase,phase_unknown,256,1.0
