member,packets,target_hits,compressed_size,zip_crc32,parse_status,exact_home_hits,foreign_hits
raw/benign/iotsim-predictive-maintenance-10_0-0_to_OpenvSwitch-19_10-0.pcap,14406,0,1817317,bb6c9688,ok,0,0
raw/benign/iotsim-predictive-maintenance-11_0-0_to_OpenvSwitch-21_1-0.pcap,22699,0,5205993,36697b76,ok,0,0
raw/benign/iotsim-predictive-maintenance-12_0-0_to_OpenvSwitch-21_2-0.pcap,22709,0,5208658,eb29054e,ok,0,0
raw/benign/iotsim-predictive-maintenance-13_0-0_to_OpenvSwitch-21_3-0.pcap,22703,0,5203154,4baa5123,ok,0,0
raw/benign/iotsim-predictive-maintenance-14_0-0_to_OpenvSwitch-21_4-0.pcap,22691,0,5202643,0b829a71,ok,0,0
raw/benign/iotsim-predictive-maintenance-15_0-0_to_OpenvSwitch-21_5-0.pcap,22714,0,5208509,a94407b6,ok,0,0
raw/benign/iotsim-predictive-maintenance-1_0-0_to_OpenvSwitch-19_1-0.pcap,14424,0,1818095,6882e51b,ok,0,0
raw/benign/iotsim-predictive-maintenance-2_0-0_to_OpenvSwitch-19_2-0.pcap,14412,0,1816965,9b4f8199,ok,0,0
raw/benign/iotsim-predictive-maintenance-3_0-0_to_OpenvSwitch-19_3-0.pcap,14414,0,1817205,ff3eeebe,ok,0,0
raw/benign/iotsim-predictive-maintenance-4_0-0_to_OpenvSwitch-19_4-0.pcap,14418,0,1817493,66ebf06a,ok,0,0
raw/benign/iotsim-predictive-maintenance-5_0-0_to_OpenvSwitch-19_5-0.pcap,14403,0,1815411,ddda68db,ok,0,0
raw/benign/iotsim-predictive-maintenance-6_0-0_to_OpenvSwitch-19_6-0.pcap,14414,0,1817205,daa15e67,ok,0,0
raw/benign/iotsim-predictive-maintenance-7_0-0_to_OpenvSwitch-19_7-0.pcap,14411,0,1816997,98fbc68e,ok,0,0
raw/benign/iotsim-predictive-maintenance-8_0-0_to_OpenvSwitch-19_8-0.pcap,14414,0,1817083,4cd0ef9b,ok,0,0
raw/benign/iotsim-predictive-maintenance-9_0-0_to_OpenvSwitch-19_9-0.pcap,14399,0,1815189,a1a8fe85,ok,0,0
raw/benign/iotsim-stream-consumer-1_0-0_to_OpenvSwitch-30_1-0.pcap,465585,4000,655530559,2873923b,ok,4000,0
raw/benign/iotsim-stream-consumer-2_0-0_to_OpenvSwitch-30_2-0.pcap,465835,3000,655901614,e8bc2fa7,ok,3000,0
raw/malicious/coap-amplificator/iotsim-combined-cycle-1_0-0_to_OpenvSwitch-13_1-0.pcap,279939,380,70606631,73032de5,ok,380,0
raw/malicious/merlin/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap,45491,35797,15117869,ffa5b53a,ok,35796,1
raw/malicious/merlin/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,35114,59,7415619,ea40d956,ok,59,0
raw/malicious/merlin/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,788,0,61837,67facc99,ok,0,0
raw/malicious/merlin/iotsim-combined-cycle-1_0-0_to_OpenvSwitch-13_1-0.pcap,45012,956,15021622,a9843e3d,ok,956,0
raw/malicious/merlin/iotsim-domotic-monitor-1_0-0_to_OpenvSwitch-23_1-0.pcap,36466,923,7546472,f9658da8,ok,875,48
raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,926251,201,1263630969,b996361e,ok,134,67
raw/malicious/merlin/iotsim-ip-camera-street-1_0-0_to_OpenvSwitch-24_1-0.pcap,595108,29996,801030525,8a802c5a,ok,29996,0
raw/malicious/mirai-dos/iotsim-air-quality-1_0-0_to_OpenvSwitch-25_1-0.pcap,4262,0,416577,c77ee9aa,ok,0,0
raw/malicious/mirai-dos/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap,5354325,24513,2207104353,10f9d5df,ok,24358,155
raw/malicious/mirai-dos/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,1432237,81,525233778,815bd935,ok,61,20
raw/malicious/mirai-dos/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,610,0,45930,2c0da9fc,ok,0,0
raw/malicious/mirai-dos/iotsim-combined-cycle-1_0-0_to_OpenvSwitch-13_1-0.pcap,5364694,656,2247589293,04521c65,ok,647,9
raw/malicious/mirai-dos/iotsim-domotic-monitor-1_0-0_to_OpenvSwitch-23_1-0.pcap,1930103,784,707685074,472b77bf,ok,784,0
raw/malicious/mirai-dos/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,6579467,6521,3538515003,9a4102ac,ok,85,6436
raw/malicious/mirai-dos/iotsim-ip-camera-street-1_0-0_to_OpenvSwitch-24_1-0.pcap,2893707,29994,2596576670,fe0a4d37,ok,29994,0
raw/malicious/mirai-infection/iotsim-air-quality-1_0-0_to_OpenvSwitch-25_1-0.pcap,128370,24109,9018345,c8acbb42,ok,24109,0
raw/malicious/mirai-infection/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap,227001,28860,17946913,6a6f7719,ok,28860,0
raw/malicious/mirai-infection/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,127121,0,8879858,25165d8e,ok,0,0
raw/malicious/mirai-infection/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,211826,3164,16646102,b2cb6c99,ok,3164,0
raw/malicious/mirai-infection/iotsim-combined-cycle-1_0-0_to_OpenvSwitch-13_1-0.pcap,222638,0,17566934,c1ed46cc,ok,0,0
raw/malicious/mirai-infection/iotsim-domotic-monitor-1_0-0_to_OpenvSwitch-23_1-0.pcap,226590,947,17860303,e765e91a,ok,947,0
raw/malicious/mirai-infection/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,1630583,0,2144964254,014eda50,ok,0,0
raw/malicious/mirai-infection/iotsim-ip-camera-street-1_0-0_to_OpenvSwitch-24_1-0.pcap,1178704,34774,1374688719,889da966,ok,34774,0
raw/malicious/network-scanning/iotsim-air-quality-1_0-0_to_OpenvSwitch-25_1-0.pcap,58857,0,3436775,67bddeb1,ok,0,0
raw/malicious/network-scanning/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap,58615,0,3423983,5959dc54,ok,0,0
raw/malicious/network-scanning/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,58673,0,3417145,1dae47a6,ok,0,0
raw/malicious/network-scanning/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,54848,0,3194987,6cc7104c,ok,0,0
raw/malicious/network-scanning/iotsim-combined-cycle-1_0-0_to_OpenvSwitch-13_1-0.pcap,54815,0,3192709,5e90374f,ok,0,0
raw/malicious/network-scanning/iotsim-domotic-monitor-1_0-0_to_OpenvSwitch-23_1-0.pcap,58863,0,3437831,2c28a184,ok,0,0
raw/malicious/network-scanning/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,214762,0,224976926,d658218f,ok,0,0
raw/malicious/network-scanning/iotsim-ip-camera-street-1_0-0_to_OpenvSwitch-24_1-0.pcap,158627,0,145251358,5d56dd51,ok,0,0
