held_value,bucket,role,phase,rows_before_exclude,rows_after_exclude,held_rows_removed,held_rows_remaining_after_exclude,pass_no_held_leakage,nonheld_rows_in_eval_include,pass_eval_only_held
domotic-monitor,eval_include_only,same_file_query,select,,0,,,,0,True
domotic-monitor,eval_include_only,future_query,select,,4000,,,,0,True
domotic-monitor,eval_include_only,sealed_final_ood,all,,0,,,,0,True
domotic-monitor,eval_include_only,sealed_final_attack,all,,0,,,,0,True
combined-cycle,fit,support_train,fit,58,25,33,0,True,,
combined-cycle,fit,id_calib,fit,3000,3000,0,0,True,,
combined-cycle,fit,ood_val,fit,3000,3000,0,0,True,,
combined-cycle,fit,ood_stress,fit,3000,3000,0,0,True,,
combined-cycle,threshold,id_calib,select,4000,4000,0,0,True,,
combined-cycle,threshold,ood_val,select,4000,4000,0,0,True,,
combined-cycle,threshold,ood_stress,select,4000,4000,0,0,True,,
combined-cycle,support_select_not_threshold_benign,support_val,select,11,5,6,0,True,,
combined-cycle,eval_include_only,id_calib,select,,0,,,,0,True
combined-cycle,eval_include_only,ood_val,select,,0,,,,0,True
combined-cycle,eval_include_only,ood_stress,select,,0,,,,0,True
combined-cycle,eval_include_only,support_val,select,,6,,,,0,True
combined-cycle,eval_include_only,same_file_query,select,,2486,,,,0,True
combined-cycle,eval_include_only,future_query,select,,4000,,,,0,True
combined-cycle,eval_include_only,sealed_final_ood,all,,0,,,,0,True
combined-cycle,eval_include_only,sealed_final_attack,all,,0,,,,0,True
iotsim-ip-camera-street,fit,support_train,fit,58,58,0,0,True,,
iotsim-ip-camera-street,fit,id_calib,fit,3000,3000,0,0,True,,
iotsim-ip-camera-street,fit,ood_val,fit,3000,3000,0,0,True,,
iotsim-ip-camera-street,fit,ood_stress,fit,3000,3000,0,0,True,,
iotsim-ip-camera-street,threshold,id_calib,select,4000,4000,0,0,True,,
iotsim-ip-camera-street,threshold,ood_val,select,4000,4000,0,0,True,,
iotsim-ip-camera-street,threshold,ood_stress,select,4000,4000,0,0,True,,
iotsim-ip-camera-street,support_select_not_threshold_benign,support_val,select,11,11,0,0,True,,
iotsim-ip-camera-street,eval_include_only,id_calib,select,,0,,,,0,True
iotsim-ip-camera-street,eval_include_only,ood_val,select,,0,,,,0,True
iotsim-ip-camera-street,eval_include_only,ood_stress,select,,0,,,,0,True
iotsim-ip-camera-street,eval_include_only,support_val,select,,0,,,,0,True
iotsim-ip-camera-street,eval_include_only,same_file_query,select,,0,,,,0,True
iotsim-ip-camera-street,eval_include_only,future_query,select,,0,,,,0,True
iotsim-ip-camera-street,eval_include_only,sealed_final_ood,all,,4000,,,,0,True
iotsim-ip-camera-street,eval_include_only,sealed_final_attack,all,,0,,,,0,True
