dataset_kind,container_path,container_bytes,container_sha256,published_identity_if_archive,raw_source_path,member_uncompressed_bytes_if_archive,member_crc32_if_archive,source_group,role_set,target_count,maximum_target_event_position_inclusive,is_report,is_final
gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,23824968355,4c96a8915466baf14c8608c127bc4ef4f42aff4ba351292a2085371846175b4f,zenodo-md5:7ca78c0517ccb3d2854e823678e0f206,raw/benign/iotsim-combined-cycle-4_0-0_to_OpenvSwitch-13_4-0.pcap,89102,257ba48e,iotsim-combined-cycle-4_0-0_to_OpenvSwitch-13_4-0,aux_select,600,1099,false,false
gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,23824968355,4c96a8915466baf14c8608c127bc4ef4f42aff4ba351292a2085371846175b4f,zenodo-md5:7ca78c0517ccb3d2854e823678e0f206,raw/benign/iotsim-combined-cycle-5_0-0_to_OpenvSwitch-13_5-0.pcap,88847,717e1048,iotsim-combined-cycle-5_0-0_to_OpenvSwitch-13_5-0,aux_fit,600,1099,false,false
gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,23824968355,4c96a8915466baf14c8608c127bc4ef4f42aff4ba351292a2085371846175b4f,zenodo-md5:7ca78c0517ccb3d2854e823678e0f206,raw/benign/iotsim-combined-cycle-6_0-0_to_OpenvSwitch-13_6-0.pcap,89157,a567ea79,iotsim-combined-cycle-6_0-0_to_OpenvSwitch-13_6-0,aux_fit,600,1099,false,false
gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,23824968355,4c96a8915466baf14c8608c127bc4ef4f42aff4ba351292a2085371846175b4f,zenodo-md5:7ca78c0517ccb3d2854e823678e0f206,raw/benign/iotsim-combined-cycle-7_0-0_to_OpenvSwitch-13_7-0.pcap,88982,15e976da,iotsim-combined-cycle-7_0-0_to_OpenvSwitch-13_7-0,aux_fit,600,1099,false,false
gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,23824968355,4c96a8915466baf14c8608c127bc4ef4f42aff4ba351292a2085371846175b4f,zenodo-md5:7ca78c0517ccb3d2854e823678e0f206,raw/benign/iotsim-combined-cycle-8_0-0_to_OpenvSwitch-13_8-0.pcap,89472,ba574abd,iotsim-combined-cycle-8_0-0_to_OpenvSwitch-13_8-0,aux_fit,600,1099,false,false
gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,23824968355,4c96a8915466baf14c8608c127bc4ef4f42aff4ba351292a2085371846175b4f,zenodo-md5:7ca78c0517ccb3d2854e823678e0f206,raw/benign/iotsim-combined-cycle-9_0-0_to_OpenvSwitch-13_9-0.pcap,89568,4e76cb87,iotsim-combined-cycle-9_0-0_to_OpenvSwitch-13_9-0,aux_fit,600,1099,false,false
gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,23824968355,4c96a8915466baf14c8608c127bc4ef4f42aff4ba351292a2085371846175b4f,zenodo-md5:7ca78c0517ccb3d2854e823678e0f206,raw/benign/iotsim-combined-cycle-tls-1_0-0_to_OpenvSwitch-14_1-0.pcap,270551,8864099a,iotsim-combined-cycle-tls-1_0-0_to_OpenvSwitch-14_1-0,aux_fit,600,1099,false,false
gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,23824968355,4c96a8915466baf14c8608c127bc4ef4f42aff4ba351292a2085371846175b4f,zenodo-md5:7ca78c0517ccb3d2854e823678e0f206,raw/benign/iotsim-combined-cycle-tls-2_0-0_to_OpenvSwitch-14_2-0.pcap,270738,30933f63,iotsim-combined-cycle-tls-2_0-0_to_OpenvSwitch-14_2-0,aux_select,600,1099,false,false
gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,23824968355,4c96a8915466baf14c8608c127bc4ef4f42aff4ba351292a2085371846175b4f,zenodo-md5:7ca78c0517ccb3d2854e823678e0f206,raw/benign/iotsim-combined-cycle-tls-3_0-0_to_OpenvSwitch-14_3-0.pcap,270607,1a46b097,processed/iotsim-combined-cycle-tls-3.csv,id_calib,270,2802,false,false
gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,23824968355,4c96a8915466baf14c8608c127bc4ef4f42aff4ba351292a2085371846175b4f,zenodo-md5:7ca78c0517ccb3d2854e823678e0f206,raw/benign/iotsim-combined-cycle-tls-4_0-0_to_OpenvSwitch-14_4-0.pcap,270637,0dc01bf7,processed/iotsim-combined-cycle-tls-4.csv,id_calib,270,2808,false,false
gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,23824968355,4c96a8915466baf14c8608c127bc4ef4f42aff4ba351292a2085371846175b4f,zenodo-md5:7ca78c0517ccb3d2854e823678e0f206,raw/benign/iotsim-combined-cycle-tls-5_0-0_to_OpenvSwitch-14_5-0.pcap,270534,4aece4f4,processed/iotsim-combined-cycle-tls-5.csv,id_calib,269,2806,false,false
gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,23824968355,4c96a8915466baf14c8608c127bc4ef4f42aff4ba351292a2085371846175b4f,zenodo-md5:7ca78c0517ccb3d2854e823678e0f206,raw/benign/iotsim-domotic-monitor-2_0-0_to_OpenvSwitch-23_2-0.pcap,225803,c04c6023,iotsim-domotic-monitor-2_0-0_to_OpenvSwitch-23_2-0,aux_fit,600,1099,false,false
gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,23824968355,4c96a8915466baf14c8608c127bc4ef4f42aff4ba351292a2085371846175b4f,zenodo-md5:7ca78c0517ccb3d2854e823678e0f206,raw/benign/iotsim-domotic-monitor-3_0-0_to_OpenvSwitch-23_3-0.pcap,226151,997ac621,iotsim-domotic-monitor-3_0-0_to_OpenvSwitch-23_3-0,aux_fit,600,1099,false,false
gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,23824968355,4c96a8915466baf14c8608c127bc4ef4f42aff4ba351292a2085371846175b4f,zenodo-md5:7ca78c0517ccb3d2854e823678e0f206,raw/benign/iotsim-domotic-monitor-4_0-0_to_OpenvSwitch-23_4-0.pcap,225285,3c69eb3b,iotsim-domotic-monitor-4_0-0_to_OpenvSwitch-23_4-0,aux_select,600,1099,false,false
gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,23824968355,4c96a8915466baf14c8608c127bc4ef4f42aff4ba351292a2085371846175b4f,zenodo-md5:7ca78c0517ccb3d2854e823678e0f206,raw/benign/iotsim-domotic-monitor-5_0-0_to_OpenvSwitch-23_5-0.pcap,226499,33246150,iotsim-domotic-monitor-5_0-0_to_OpenvSwitch-23_5-0,aux_fit,600,1099,false,false
gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,23824968355,4c96a8915466baf14c8608c127bc4ef4f42aff4ba351292a2085371846175b4f,zenodo-md5:7ca78c0517ccb3d2854e823678e0f206,raw/malicious/merlin/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,7415619,ea40d956,processed/iotsim-city-power-1.csv,support_train|support_val,59,20005,false,false
gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,23824968355,4c96a8915466baf14c8608c127bc4ef4f42aff4ba351292a2085371846175b4f,zenodo-md5:7ca78c0517ccb3d2854e823678e0f206,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,1263630969,b996361e,processed/iotsim-ip-camera-museum-1.csv,support_train|support_val,134,678451,false,false
gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,23824968355,4c96a8915466baf14c8608c127bc4ef4f42aff4ba351292a2085371846175b4f,zenodo-md5:7ca78c0517ccb3d2854e823678e0f206,raw/malicious/mirai-dos/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,525233778,815bd935,processed/iotsim-city-power-1.csv,support_train|support_val,101,1064302,false,false
gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,23824968355,4c96a8915466baf14c8608c127bc4ef4f42aff4ba351292a2085371846175b4f,zenodo-md5:7ca78c0517ccb3d2854e823678e0f206,raw/malicious/mirai-dos/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,3538515003,9a4102ac,processed/iotsim-ip-camera-museum-1.csv,support_train|support_val,121,6270153,false,false
gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,23824968355,4c96a8915466baf14c8608c127bc4ef4f42aff4ba351292a2085371846175b4f,zenodo-md5:7ca78c0517ccb3d2854e823678e0f206,raw/malicious/mirai-infection/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,16646102,b2cb6c99,processed/iotsim-combined-cycle-10.csv,support_train|support_val,39,70062,false,false
