member_index,dataset_kind,container_path,raw_source_path,targets,maximum_target_ordinal,status,checkpoint_identity,checkpoint_sha256,discovery_packets,replay_packets,peak_active_contexts,terminal_active_contexts
13,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/benign/iotsim-combined-cycle-6_0-0_to_OpenvSwitch-13_6-0.pcap,600,1099,COMPUTED_EXACT_TWOPASS,a5f84cf29400302daca309aba1f41345fd973c61dcf0a0cdf4f26e0817eafc63,c4201833cb578f39641e6a59c2cf63370534fbdf00e6863fee538bcaced5af24,1100,1100,57,0
14,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/benign/iotsim-combined-cycle-7_0-0_to_OpenvSwitch-13_7-0.pcap,600,1099,COMPUTED_EXACT_TWOPASS,e0bebf62bafe75dc51e8dd15528f86f3af4580e06e50f49b65acf53a19752d89,fd5c19f3039fe6b48e57ee33a79a2fe03f24cc805e9d47b1b24a90742f7dd76e,1100,1100,57,0
15,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/benign/iotsim-combined-cycle-8_0-0_to_OpenvSwitch-13_8-0.pcap,600,1099,COMPUTED_EXACT_TWOPASS,f7f049d0761961fdc37fe0a57ec4c3a6ca5835a98d74594c223111505b17361c,d16ccad2bea3577414fcf4284c128bcf05525e9b94f5bbd3ac77aafdb460c359,1100,1100,57,0
16,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/benign/iotsim-combined-cycle-9_0-0_to_OpenvSwitch-13_9-0.pcap,600,1099,COMPUTED_EXACT_TWOPASS,867637f7c20e581c3cf4c926a52d919c131cc59a073277ec6687690a31d5b944,606fa1ce77845d7f1d0813161faa8e0b61cd67c1429cf10704900165f8c1d9c6,1100,1100,58,0
17,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/benign/iotsim-combined-cycle-tls-1_0-0_to_OpenvSwitch-14_1-0.pcap,600,1099,COMPUTED_EXACT_TWOPASS,644dbb7dcf35d2c705f6d9d72e18263f1555f823bc7ea6e244bb608ba102acb2,41467a2a89bf687b6768a15f1e5bb20e8b436b84679dfaf31a067877646ed1cf,1100,1100,58,0
18,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/benign/iotsim-combined-cycle-tls-2_0-0_to_OpenvSwitch-14_2-0.pcap,600,1099,COMPUTED_EXACT_TWOPASS,9929599297c664a92a530b7568cdb4fe07c339520487e9399cd4a06ebb626140,92b1f88eeeeae42524e993e71f608e53d7adb8d1ed873e523fd368faf1c13ed1,1100,1100,58,0
19,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/benign/iotsim-combined-cycle-tls-3_0-0_to_OpenvSwitch-14_3-0.pcap,270,2802,COMPUTED_EXACT_TWOPASS,27990e57f79280c74c40b35f16db925ab8e429636ff63922300aeb64412d8eb0,154edb3fdacd9e70905b273612efbfa07813e0f4aa4d6ddbbcd31b2fabfcc751,2803,2803,2,0
20,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/benign/iotsim-combined-cycle-tls-4_0-0_to_OpenvSwitch-14_4-0.pcap,270,2808,COMPUTED_EXACT_TWOPASS,678e744d26064b1fd2a33e0e619c6f6a5cdc303b8d499f08bb1434e632a1f664,18f411a45a2a3ce238d980cdd3c0706e9d477dfe58436482eff5f7c21748f513,2809,2809,2,0
21,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/benign/iotsim-combined-cycle-tls-5_0-0_to_OpenvSwitch-14_5-0.pcap,269,2806,COMPUTED_EXACT_TWOPASS,122e9aaa542bdc6ef206038a2d199b0a1373b08cb9e3fa9fb6601bc9b803067b,cc670c82bbd369760d2814a5cbc177c1900dd565f27c588f847932daa17c4f85,2807,2807,3,0
22,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/benign/iotsim-domotic-monitor-2_0-0_to_OpenvSwitch-23_2-0.pcap,600,1099,COMPUTED_EXACT_TWOPASS,b0d2ba25df010e2989e3d93fb6f4ec71dc856b3cc56b65bd8c5bab13b148ca8d,c7ca54e309954a27fb575d89b2f851e74fa49822b3947aa5c944abeddb4d24f0,1100,1100,24,0
23,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/benign/iotsim-domotic-monitor-3_0-0_to_OpenvSwitch-23_3-0.pcap,600,1099,COMPUTED_EXACT_TWOPASS,39da9cccaa5e56060ed8eea51e56df10537769a93980996415153f6b93a43399,2290006118ccddee9bfef6031b5f3bec7e030e4643eb27d5d79006a24d0da165,1100,1100,23,0
24,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/benign/iotsim-domotic-monitor-4_0-0_to_OpenvSwitch-23_4-0.pcap,600,1099,COMPUTED_EXACT_TWOPASS,5f8083fefdeaacda2800d595111c418066ac9ca07ea23c2159afa4adf08c8d27,df1d4a728d8a2911a8aa763f91654294549095c70cb1e28d5b92887e4f48d3f1,1100,1100,23,0
25,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/benign/iotsim-domotic-monitor-5_0-0_to_OpenvSwitch-23_5-0.pcap,600,1099,COMPUTED_EXACT_TWOPASS,009f915aef3bec9832da08a05a256e7aca5d9a5c2eaba7cdc503a7fea149558a,7a188f0a239d9fec4a13ea94eda479eb2e819dcf1603b66c7587912f93a4e563,1100,1100,23,0
26,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/malicious/merlin/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,59,20005,COMPUTED_EXACT_TWOPASS,4aed7df06461e745bffac8c0168c02293e4e6952eb52c9f8e0b44285d1c4faac,57f9ac1e1a3ed2b1adfeea867fcaa81a7fcf2167f08a8e5e4361334fe52c76b2,20006,20006,2,0
27,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,134,678451,COMPUTED_EXACT_TWOPASS,31a45d099d31d1d98b1d2e1362ed528bc06f6e879662dc757493d31e99076fe4,7a969a4aed321a33439b431141f07ed5f09e6aace0eebae63eccb135e729d687,678452,678452,6,0
28,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/malicious/mirai-dos/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,101,1064302,COMPUTED_EXACT_TWOPASS,babcde6daf413d79efebcea5384728048372a1a25db4c5e73216b4523cd621da,2f9839ced02a50958880f9650cad137b5967e3f6f01a5d9c5eca2b9c906be16b,1064303,1064303,9,0
29,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/malicious/mirai-dos/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,121,6270153,COMPUTED_EXACT_TWOPASS,dd96eea36c473ffce7463264ddd684a827c37516f01da616499e0ab6a504d5cc,b873c9df2f7a031d96541d67fd94dfbd11fbcc304b88c0c3b7572601bf49ebd8,6270154,6270154,12,0
30,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/malicious/mirai-infection/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,39,70062,COMPUTED_EXACT_TWOPASS,8e8736a6556cec3c97d16498edfdd92be34fd788d3825ff2023b760d39c2b77f,0e432c59a4ba6cde41ec5cdea76cc5df4cb1aeaf1cefef0b6cee4dcee0055cfd,70063,70063,2,0
