role,csv_member,pcap_member,target_rows,emitted_rows,packets_scanned,pre_record_packets,parse_errors,first_timestamp_epoch,last_timestamp_epoch,state_hash_before,state_hash_after,max_scan_packets,completed_target,report_only,selection_allowed,elapsed_seconds,cache_key,cache_status
id_benign_calib,processed/iotsim-cooler-motor-7.csv,raw/benign/iotsim-cooler-motor-7_0-0_to_OpenvSwitch-18_7-0.pcap,22475,22475,22476,0,0,1736880006.754106,1736887461.564934,87ba179153a99fd552b99af6a5d6d4fc8f426c8b8f9806abdc9ace274505f905,a1e3b037513425249cf56119dd6fc6472e6417be380eae3825cf1c1685a96a79,27525,True,False,False,21.968,3fee5af8174fd1ca491c2062251d0022782492fd2a4f4a28b79ef3c31ae61652,miss_written
id_benign_calib,processed/iotsim-cooler-motor-9.csv,raw/benign/iotsim-cooler-motor-9_0-0_to_OpenvSwitch-18_9-0.pcap,1693,1693,1694,0,0,1736880005.179641,1736880371.173823,cef53138b2b75dfc6f346cbdbed9d238cbe7e1e2d0066f8cc87495c54930b76a,97ef5c69bb28bb1fc6a68d1d58da9f592cad076ac6b19a799fafa5dbba27cd7d,6743,True,False,False,1.954,fc3c4faf6b531220b359a35311642a940c9f54194eb401b55c5681e9163ddf66,miss_written
ood_benign_val,processed/iotsim-hydraulic-system-1.csv,raw/benign/iotsim-hydraulic-system-15_0-0_to_OpenvSwitch-16_5-0.pcap,3869,3869,3869,0,0,1736880003.684146,1736887617.645456,1c8cfdec3ef131fa96245527485bade6912057730cfc1c887d36ab5c4942e543,e409546741455ed5b8305f675679f2dee03e8d4ee5bc681fb31246a52b8342df,8919,True,False,False,7.864,e7fec2e379f6a4700f645a315698825ad36aa2103d266a9eb25244671fd03025,miss_written
ood_benign_val,processed/iotsim-hydraulic-system-10.csv,raw/benign/iotsim-hydraulic-system-10_0-0_to_OpenvSwitch-15_10-0.pcap,2506,2506,2507,0,0,1736880003.680717,1736884728.808917,412852bb5ea4ffa2451144cc8c27dc9947fa9f796953c0669946c32aea048a43,47382d509cf2af7b86d5d9528b9c8188b7b5207c33ff84cfce911a7dcfe47488,7556,True,False,False,5.113,cd9f437147a4f13ff148209f282d44a605f50e39e545092720bfff43a8ea8ee2,miss_written
ood_benign_val,processed/iotsim-hydraulic-system-2.csv,raw/benign/iotsim-hydraulic-system-2_0-0_to_OpenvSwitch-15_2-0.pcap,2501,2501,2502,0,0,1736880003.680754,1736884798.963253,a2a8dbf5727efba7c4162139e1bfe07fb44ef5883461fa183463ede5f8b479ce,b1f43ff223ed21508e500910d6fdc745f4f13405c439855a2288b1f54ea49875,7551,True,False,False,5.036,1cdb3b30a2056398b5510f26951e16f22a16ce3114665442f88bde628d7b596d,miss_written
ood_benign_val,processed/iotsim-hydraulic-system-12.csv,raw/benign/iotsim-hydraulic-system-12_0-0_to_OpenvSwitch-16_2-0.pcap,2496,2496,2497,0,0,1736880003.684415,1736884731.44685,827e72064f1bc6fbc787b6c1a1fc4996ee90a256912c5d326558ddaa68edd1a3,44007ac29af7d1aecd7203563b502b8b1830d5171da42f8d2737a2b7f6db016a,7546,True,False,False,5.009,18a8cdb7b98b99073eee47226ee0c57347bcbcb6db641688f7ee761e164c736c,miss_written
ood_benign_val,processed/iotsim-hydraulic-system-15.csv,raw/benign/iotsim-hydraulic-system-15_0-0_to_OpenvSwitch-16_5-0.pcap,2496,2496,2497,0,0,1736880003.684146,1736884739.044273,393be4e7a3535a957c02a15bc4134dabe506060aa2ab2e4f4eadbac51cfce1d6,723bcc9cf37811dd073a888a46218af2e8763fe80e45325eaaa70f43efdfa865,7546,True,False,False,5.064,b4c01fc05c63768a7f177ec70eabfb24b307b6daf3b0a655aa7f9154770a5bf5,miss_written
ood_benign_val,processed/iotsim-hydraulic-system-13.csv,raw/benign/iotsim-hydraulic-system-13_0-0_to_OpenvSwitch-16_3-0.pcap,2481,2481,2482,0,0,1736880003.682867,1736884882.132615,86e0e74ecac8d4cec095956ff32cbab59e60fa93d02667a808d31a974cee7c8a,acd850badc44316d35697faba0e1f9ed4da2567083592a70c1942a00c2bf527f,7531,True,False,False,5.124,0fc2a601324f0b3b3ab6e83ca81e072643a82330aef411e960908473c831098e,miss_written
ood_benign_val,processed/iotsim-hydraulic-system-14.csv,raw/benign/iotsim-hydraulic-system-14_0-0_to_OpenvSwitch-16_4-0.pcap,2481,2481,2482,0,0,1736880003.684301,1736884780.253437,f7889e8c3218a9a8dcb568db3e6137dfbea8626812ae023b13d02e78c342a0e8,0d61b25d5af52f6d3eba82d96de76c4474586a8c1631db6156215ce82bed1a92,7531,True,False,False,4.96,dca5745722ca3dabf1712e6b8d0f468e04d87bc6cfcf971c3084b45a15a242b7,miss_written
ood_benign_val,processed/iotsim-hydraulic-system-11.csv,raw/benign/iotsim-hydraulic-system-11_0-0_to_OpenvSwitch-16_1-0.pcap,2466,2466,2467,0,0,1736880003.685075,1736884722.656506,3921d362af115123a3308f444b97df5752799db1e0378db7a9a7c5e8c4ed0713,d53177c3d5c254af9a4e533375bc4f0096940513e36e22e1d3accf3a2e1d75b4,7516,True,False,False,4.874,09a398d6fb1dfb4209f74ec424f929bec5e6396dba96d22fb326669adfa83f1b,miss_written
ood_benign_val,processed/iotsim-building-monitor-2.csv,raw/benign/iotsim-building-monitor-2_0-0_to_OpenvSwitch-28_2-0.pcap,1740,1740,1741,0,0,1736880023.100015,1736885473.649793,e0fde4932b3b0aaacd68fdeacc4cfb0f6bdc411417e736f139f5be02e5ab407f,f0aa9e6a7325ef1a43508958a4df536a4245af3af6fb6d787ef60c974c58c54c,6790,True,False,False,9.801,423f5d7e6e0ad5e7ab7064c5a11b43acf977e5d3e1e96cac333b8eb94df55c00,miss_written
ood_benign_val,processed/iotsim-building-monitor-3.csv,raw/benign/iotsim-building-monitor-3_0-0_to_OpenvSwitch-28_3-0.pcap,964,964,965,0,0,1736880023.3023,1736882968.341594,74ab84ff525065036f70edddf87b1ad4f0329de7f615ffa911c2d8918a94e056,c68653b044981172b54082a84a886a50391802b3b98b44a61b5f7b0434832de7,6014,True,False,False,5.277,5ce8e0abbbf4f923afd00276e2efa1c2a732e9df54096e526a29482085e23ae4,miss_written
ood_benign_stress,processed/iotsim-stream-consumer-2.csv,raw/benign/iotsim-stream-consumer-2_0-0_to_OpenvSwitch-30_2-0.pcap,80000,80000,80001,0,0,1736880021.679492,1736881319.245809,7e6086ebdac54553a4e266724bb73c8901fb93b62b20884c634491e881fbaa29,ddb20c8bb5d0ab9710da8091f448a9d2ca7acc9845c4ebfc82a3e8a906461e49,85050,True,False,False,59.149,05aca9fb81b51383790a84293d23db860d67505b7995a7c68e1a8aac5c6230c3,miss_written
sealed_final_ood,processed/iotsim-ip-camera-museum-2.csv,raw/benign/iotsim-ip-camera-museum-2_0-0_to_OpenvSwitch-29_2-0.pcap,55000,55000,55001,0,0,1736880020.755726,1736880359.907554,4586c1fc8fee7127a1c9a4902badeac74d24be73dc3563cfdcda973d3bac6b93,f6ba25a8ed2362d04d41b3cb8948209a2aaabbde6e582e130d1cce91ad7d5d87,60050,True,True,False,26.653,40a3e850290ac6d2e0f15fb22d4df0596196f0fcb7d3321e31582419541d39e8,miss_written
attack_support_candidate_pool,processed/iotsim-city-power-1.csv,raw/malicious/mirai-infection/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,45000,45000,45864,863,0,1737235783.576491,1737236297.156932,ccb32b012da1f1e4979ca324ff54cf49e0c03da885996ea087c31ce5f72ed059,1704e78f304ab22933144182acd7d69d5205d569967b12931a29f43beb817883,50913,True,False,True,245.938,eca88cb925b84e5834d6b253cface68b7d2ab5e577cf3481fb5cae64ff5cf575,miss_written
dev_future_attack_query,processed/iotsim-ip-camera-museum-1.csv,raw/malicious/mirai-infection/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,80000,80000,724554,644553,0,1737235770.488062,1737236123.481064,77932350737521d6e17c49de3c942f313e3126269d1dfb19273d6da00587f0af,6e21e6e7f458aa522918c0a538bc04517777432dee7e3b514b2fad77f022e00a,729603,True,True,False,507.144,51f6434dcdd4788303097cb4fe5c00e52ee3503c1063f61f81ba385eb4c36cd0,miss_written
sealed_final_attack,processed/iotsim-ip-camera-street-1.csv,raw/malicious/mirai-infection/iotsim-ip-camera-street-1_0-0_to_OpenvSwitch-24_1-0.pcap,35000,35000,448114,413113,0,1737235800.982347,1737236031.320876,3a78a088f84c6850d9e5f51393f4305d7c3c2b994a497ca0c150472d822ca647,2d9e67b5a01a72d34f0af488a12255b59b5834550e90905b04ccf4e93a2e86a9,453163,True,True,False,292.472,ec36bcc4f5a82808547c9d77fea7d2cadd15a2235395f341bb72fcf1289f1b8b,miss_written
