phase,method,input_representation,base_detector_role,adapter_role,setting,budget,seed_group,detection_mean,detection_min,ood_alarm_mean,ood_alarm_max,feasible_rate,main_conclusion,paper_role,claim_strength,source_run_path
Phase 3: few-shot minimal adaptation,original100 plain few-shot LR,original100,base detector remains parallel monitor; not replaced,minimal target-alignment adapter,current low-OOD guarded protocol,32,heldout_support_47_51,0.9931636363636364,0.9861818181818182,0.0065599999999999,0.0123,0.8,original100-only LR is the minimal repair baseline; it is not the final GDA.,timeline Phase 3/4 evidence,A-level for fixed guard mechanism; bounded for representation superiority,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\issue11_fixed_config_ood_guard_lr_ablation_2026-05-14
Phase 4: guarded deployment adaptation,GDA-minimal: original100 fixed OOD guard LR,original100,base detector remains parallel monitor; not replaced,fixed OOD-benign guarded few-shot adapter,current low-OOD guarded protocol,16,main_paired_42_46,0.9649454545454546,0.9090909090909092,0.00276,0.005,1.0,Current most stable GDA-minimal configuration; validates fixed OOD guard mechanism.,timeline Phase 3/4 evidence,A-level for fixed guard mechanism; bounded for representation superiority,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\issue11_fixed_config_ood_guard_lr_ablation_2026-05-14
Phase 4: guarded deployment adaptation,GDA-minimal: original100 fixed OOD guard LR,original100,base detector remains parallel monitor; not replaced,fixed OOD-benign guarded few-shot adapter,current low-OOD guarded protocol,32,main_paired_42_46,0.9381818181818182,0.9112727272727272,0.0043,0.0058,1.0,Current most stable GDA-minimal configuration; validates fixed OOD guard mechanism.,timeline Phase 3/4 evidence,A-level for fixed guard mechanism; bounded for representation superiority,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\issue11_fixed_config_ood_guard_lr_ablation_2026-05-14
Phase 4: guarded deployment adaptation,GDA-minimal: original100 fixed OOD guard LR,original100,base detector remains parallel monitor; not replaced,fixed OOD-benign guarded few-shot adapter,current low-OOD guarded protocol,16,heldout_support_47_51,0.9847272727272728,0.9301818181818182,0.00184,0.0034,1.0,Current most stable GDA-minimal configuration; validates fixed OOD guard mechanism.,timeline Phase 3/4 evidence,A-level for fixed guard mechanism; bounded for representation superiority,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\issue11_fixed_config_ood_guard_lr_ablation_2026-05-14
Phase 4: guarded deployment adaptation,GDA-minimal: original100 fixed OOD guard LR,original100,base detector remains parallel monitor; not replaced,fixed OOD-benign guarded few-shot adapter,current low-OOD guarded protocol,32,heldout_support_47_51,0.9922909090909092,0.984,0.00442,0.0083,1.0,Current most stable GDA-minimal configuration; validates fixed OOD guard mechanism.,timeline Phase 3/4 evidence,A-level for fixed guard mechanism; bounded for representation superiority,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\issue11_fixed_config_ood_guard_lr_ablation_2026-05-14
Phase 4: guarded deployment adaptation,source_rich fixed OOD guard LR,source_rich 260D,base detector remains parallel monitor; not replaced,fixed OOD-benign guarded few-shot adapter,current low-OOD guarded protocol,16,main_paired_42_46,0.9463272727272728,0.9265454545454546,0.0033,0.005,1.0,source_rich is useful but not the stable protagonist.,timeline Phase 3/4 evidence,A-level for fixed guard mechanism; bounded for representation superiority,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\issue11_fixed_config_ood_guard_lr_ablation_2026-05-14
Phase 4: guarded deployment adaptation,source_rich fixed OOD guard LR,source_rich 260D,base detector remains parallel monitor; not replaced,fixed OOD-benign guarded few-shot adapter,current low-OOD guarded protocol,32,main_paired_42_46,0.9575272727272728,0.9432727272727272,0.00422,0.0068,1.0,source_rich is useful but not the stable protagonist.,timeline Phase 3/4 evidence,A-level for fixed guard mechanism; bounded for representation superiority,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\issue11_fixed_config_ood_guard_lr_ablation_2026-05-14
Phase 4: guarded deployment adaptation,source_rich fixed OOD guard LR,source_rich 260D,base detector remains parallel monitor; not replaced,fixed OOD-benign guarded few-shot adapter,current low-OOD guarded protocol,16,heldout_support_47_51,0.9178181818181818,0.8821818181818182,0.004,0.0075,1.0,source_rich is useful but not the stable protagonist.,timeline Phase 3/4 evidence,A-level for fixed guard mechanism; bounded for representation superiority,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\issue11_fixed_config_ood_guard_lr_ablation_2026-05-14
Phase 4: guarded deployment adaptation,source_rich fixed OOD guard LR,source_rich 260D,base detector remains parallel monitor; not replaced,fixed OOD-benign guarded few-shot adapter,current low-OOD guarded protocol,32,heldout_support_47_51,0.9393454545454546,0.9185454545454546,0.00486,0.008,1.0,source_rich is useful but not the stable protagonist.,timeline Phase 3/4 evidence,A-level for fixed guard mechanism; bounded for representation superiority,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\issue11_fixed_config_ood_guard_lr_ablation_2026-05-14
Phase 4: guarded deployment adaptation,original100 + source_rich fixed OOD guard LR,original100 + source_rich 260D,base detector remains parallel monitor; not replaced,fixed OOD-benign guarded few-shot adapter,current low-OOD guarded protocol,16,main_paired_42_46,0.9677090909090909,0.9607272727272728,0.00632,0.0097,1.0,source_rich plus guard can be strong on paired seeds but is bounded by held-out seed behavior.,timeline Phase 3/4 evidence,A-level for fixed guard mechanism; bounded for representation superiority,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\issue11_fixed_config_ood_guard_lr_ablation_2026-05-14
Phase 4: guarded deployment adaptation,original100 + source_rich fixed OOD guard LR,original100 + source_rich 260D,base detector remains parallel monitor; not replaced,fixed OOD-benign guarded few-shot adapter,current low-OOD guarded protocol,32,main_paired_42_46,0.9700363636363636,0.962181818181818,0.00548,0.0075,1.0,source_rich plus guard can be strong on paired seeds but is bounded by held-out seed behavior.,timeline Phase 3/4 evidence,A-level for fixed guard mechanism; bounded for representation superiority,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\issue11_fixed_config_ood_guard_lr_ablation_2026-05-14
Phase 4: guarded deployment adaptation,original100 + source_rich fixed OOD guard LR,original100 + source_rich 260D,base detector remains parallel monitor; not replaced,fixed OOD-benign guarded few-shot adapter,current low-OOD guarded protocol,16,heldout_support_47_51,0.984,0.9585454545454546,0.00634,0.0157,0.8,source_rich plus guard can be strong on paired seeds but is bounded by held-out seed behavior.,timeline Phase 3/4 evidence,A-level for fixed guard mechanism; bounded for representation superiority,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\issue11_fixed_config_ood_guard_lr_ablation_2026-05-14
Phase 4: guarded deployment adaptation,original100 + source_rich fixed OOD guard LR,original100 + source_rich 260D,base detector remains parallel monitor; not replaced,fixed OOD-benign guarded few-shot adapter,current low-OOD guarded protocol,32,heldout_support_47_51,0.9854545454545456,0.9723636363636364,0.00548,0.0082,1.0,source_rich plus guard can be strong on paired seeds but is bounded by held-out seed behavior.,timeline Phase 3/4 evidence,A-level for fixed guard mechanism; bounded for representation superiority,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\issue11_fixed_config_ood_guard_lr_ablation_2026-05-14
Phase 5: base-detector representation integration check,Transformer hidden-only fixed guard LR,Transformer outputLayer hidden,Transformer hidden representation provider candidate,fixed OOD-benign guarded few-shot adapter,current low-OOD guarded protocol,16,main_paired_42_46,0.4914909090909091,0.4327272727272727,0.01508,0.0167,0.2,hidden-only remains insufficient,B-level representation integration evidence,B-level feasible integration; not main-gain proof,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\issue12_base_detector_representation_recovery_and_guarded_probe_2026-05-15
Phase 5: base-detector representation integration check,Transformer hidden-only fixed guard LR,Transformer outputLayer hidden,Transformer hidden representation provider candidate,fixed OOD-benign guarded few-shot adapter,current low-OOD guarded protocol,32,main_paired_42_46,0.4913454545454545,0.4327272727272727,0.01474,0.0168,0.2,hidden-only remains insufficient,B-level representation integration evidence,B-level feasible integration; not main-gain proof,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\issue12_base_detector_representation_recovery_and_guarded_probe_2026-05-15
Phase 5: base-detector representation integration check,Transformer hidden-only fixed guard LR,Transformer outputLayer hidden,Transformer hidden representation provider candidate,fixed OOD-benign guarded few-shot adapter,current low-OOD guarded protocol,16,heldout_support_47_51,0.5051636363636364,0.4996363636363636,0.01618,0.0165,0.0,hidden-only remains insufficient,B-level representation integration evidence,B-level feasible integration; not main-gain proof,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\issue12_base_detector_representation_recovery_and_guarded_probe_2026-05-15
Phase 5: base-detector representation integration check,Transformer hidden-only fixed guard LR,Transformer outputLayer hidden,Transformer hidden representation provider candidate,fixed OOD-benign guarded few-shot adapter,current low-OOD guarded protocol,32,heldout_support_47_51,0.4794181818181818,0.4327272727272727,0.01394,0.0169,0.2,hidden-only remains insufficient,B-level representation integration evidence,B-level feasible integration; not main-gain proof,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\issue12_base_detector_representation_recovery_and_guarded_probe_2026-05-15
Phase 5: base-detector representation integration check,original100 + Transformer hidden fixed guard LR,original100 + Transformer hidden,Transformer hidden representation provider candidate,fixed OOD-benign guarded few-shot adapter,current low-OOD guarded protocol,16,main_paired_42_46,0.9726545454545455,0.9410909090909092,0.00232,0.0057,1.0,base-detector hidden integration is feasible but not a stable main gain over original100 fixed guard,B-level representation integration evidence,B-level feasible integration; not main-gain proof,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\issue12_base_detector_representation_recovery_and_guarded_probe_2026-05-15
Phase 5: base-detector representation integration check,original100 + Transformer hidden fixed guard LR,original100 + Transformer hidden,Transformer hidden representation provider candidate,fixed OOD-benign guarded few-shot adapter,current low-OOD guarded protocol,32,main_paired_42_46,0.9447272727272727,0.925818181818182,0.0034799999999999,0.0058,1.0,base-detector hidden integration is feasible but not a stable main gain over original100 fixed guard,B-level representation integration evidence,B-level feasible integration; not main-gain proof,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\issue12_base_detector_representation_recovery_and_guarded_probe_2026-05-15
Phase 5: base-detector representation integration check,original100 + Transformer hidden fixed guard LR,original100 + Transformer hidden,Transformer hidden representation provider candidate,fixed OOD-benign guarded few-shot adapter,current low-OOD guarded protocol,16,heldout_support_47_51,0.981090909090909,0.9221818181818182,0.00328,0.0085,1.0,base-detector hidden integration is feasible but not a stable main gain over original100 fixed guard,B-level representation integration evidence,B-level feasible integration; not main-gain proof,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\issue12_base_detector_representation_recovery_and_guarded_probe_2026-05-15
Phase 5: base-detector representation integration check,original100 + Transformer hidden fixed guard LR,original100 + Transformer hidden,Transformer hidden representation provider candidate,fixed OOD-benign guarded few-shot adapter,current low-OOD guarded protocol,32,heldout_support_47_51,0.9917090909090908,0.9847272727272728,0.00398,0.009,1.0,base-detector hidden integration is feasible but not a stable main gain over original100 fixed guard,B-level representation integration evidence,B-level feasible integration; not main-gain proof,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\issue12_base_detector_representation_recovery_and_guarded_probe_2026-05-15
