scope,group_field,group_value,rows,eligible,exclude_field,exclude_value,split,role,phase,purpose,held_field,held_value
group,device_family,iotsim-stream-consumer,149950,True,device_family,iotsim-ip-camera-museum,leave_device_family,,,,device_family,iotsim-ip-camera-museum
group,source_family,iotsim-building-monitor,2604,True,device_family,iotsim-ip-camera-museum,leave_device_family,,,,device_family,iotsim-ip-camera-museum
group,source_family,iotsim-combined-cycle-tls,5682,True,device_family,iotsim-ip-camera-museum,leave_device_family,,,,device_family,iotsim-ip-camera-museum
group,source_family,iotsim-cooler-motor,22421,True,device_family,iotsim-ip-camera-museum,leave_device_family,,,,device_family,iotsim-ip-camera-museum
group,source_family,iotsim-hydraulic-system,8691,True,device_family,iotsim-ip-camera-museum,leave_device_family,,,,device_family,iotsim-ip-camera-museum
group,source_family,iotsim-stream-consumer,149950,True,device_family,iotsim-ip-camera-museum,leave_device_family,,,,device_family,iotsim-ip-camera-museum
group,source_group,processed/iotsim-building-monitor-2.csv,1690,True,device_family,iotsim-ip-camera-museum,leave_device_family,,,,device_family,iotsim-ip-camera-museum
group,source_group,processed/iotsim-building-monitor-3.csv,914,True,device_family,iotsim-ip-camera-museum,leave_device_family,,,,device_family,iotsim-ip-camera-museum
group,source_group,processed/iotsim-combined-cycle-tls-3.csv,1894,True,device_family,iotsim-ip-camera-museum,leave_device_family,,,,device_family,iotsim-ip-camera-museum
group,source_group,processed/iotsim-combined-cycle-tls-4.csv,1894,True,device_family,iotsim-ip-camera-museum,leave_device_family,,,,device_family,iotsim-ip-camera-museum
group,source_group,processed/iotsim-combined-cycle-tls-5.csv,1894,True,device_family,iotsim-ip-camera-museum,leave_device_family,,,,device_family,iotsim-ip-camera-museum
group,source_group,processed/iotsim-cooler-motor-5.csv,22421,True,device_family,iotsim-ip-camera-museum,leave_device_family,,,,device_family,iotsim-ip-camera-museum
group,source_group,processed/iotsim-hydraulic-system-1.csv,3819,True,device_family,iotsim-ip-camera-museum,leave_device_family,,,,device_family,iotsim-ip-camera-museum
group,source_group,processed/iotsim-hydraulic-system-10.csv,2456,True,device_family,iotsim-ip-camera-museum,leave_device_family,,,,device_family,iotsim-ip-camera-museum
group,source_group,processed/iotsim-hydraulic-system-11.csv,2416,True,device_family,iotsim-ip-camera-museum,leave_device_family,,,,device_family,iotsim-ip-camera-museum
group,source_group,processed/iotsim-stream-consumer-1.csv,149950,True,device_family,iotsim-ip-camera-museum,leave_device_family,,,,device_family,iotsim-ip-camera-museum
global,,ALL_LEGAL_BENIGN_FIT,39398,True,device_family,iotsim-stream-consumer,leave_device_family,,,,device_family,iotsim-stream-consumer
,,,28103,,,,leave_device_family,id_calib,fit,feature_stats,device_family,iotsim-stream-consumer
,,,11295,,,,leave_device_family,ood_val,fit,feature_stats,device_family,iotsim-stream-consumer
,,,0,,,,leave_device_family,ood_stress,fit,feature_stats,device_family,iotsim-stream-consumer
group,device_family,iotsim-building-monitor,2604,True,device_family,iotsim-stream-consumer,leave_device_family,,,,device_family,iotsim-stream-consumer
group,device_family,iotsim-combined-cycle-tls,5682,True,device_family,iotsim-stream-consumer,leave_device_family,,,,device_family,iotsim-stream-consumer
group,device_family,iotsim-cooler-motor,22421,True,device_family,iotsim-stream-consumer,leave_device_family,,,,device_family,iotsim-stream-consumer
group,device_family,iotsim-hydraulic-system,8691,True,device_family,iotsim-stream-consumer,leave_device_family,,,,device_family,iotsim-stream-consumer
group,source_family,iotsim-building-monitor,2604,True,device_family,iotsim-stream-consumer,leave_device_family,,,,device_family,iotsim-stream-consumer
group,source_family,iotsim-combined-cycle-tls,5682,True,device_family,iotsim-stream-consumer,leave_device_family,,,,device_family,iotsim-stream-consumer
group,source_family,iotsim-cooler-motor,22421,True,device_family,iotsim-stream-consumer,leave_device_family,,,,device_family,iotsim-stream-consumer
group,source_family,iotsim-hydraulic-system,8691,True,device_family,iotsim-stream-consumer,leave_device_family,,,,device_family,iotsim-stream-consumer
group,source_group,processed/iotsim-building-monitor-2.csv,1690,True,device_family,iotsim-stream-consumer,leave_device_family,,,,device_family,iotsim-stream-consumer
group,source_group,processed/iotsim-building-monitor-3.csv,914,True,device_family,iotsim-stream-consumer,leave_device_family,,,,device_family,iotsim-stream-consumer
group,source_group,processed/iotsim-combined-cycle-tls-3.csv,1894,True,device_family,iotsim-stream-consumer,leave_device_family,,,,device_family,iotsim-stream-consumer
group,source_group,processed/iotsim-combined-cycle-tls-4.csv,1894,True,device_family,iotsim-stream-consumer,leave_device_family,,,,device_family,iotsim-stream-consumer
group,source_group,processed/iotsim-combined-cycle-tls-5.csv,1894,True,device_family,iotsim-stream-consumer,leave_device_family,,,,device_family,iotsim-stream-consumer
group,source_group,processed/iotsim-cooler-motor-5.csv,22421,True,device_family,iotsim-stream-consumer,leave_device_family,,,,device_family,iotsim-stream-consumer
group,source_group,processed/iotsim-hydraulic-system-1.csv,3819,True,device_family,iotsim-stream-consumer,leave_device_family,,,,device_family,iotsim-stream-consumer
group,source_group,processed/iotsim-hydraulic-system-10.csv,2456,True,device_family,iotsim-stream-consumer,leave_device_family,,,,device_family,iotsim-stream-consumer
group,source_group,processed/iotsim-hydraulic-system-11.csv,2416,True,device_family,iotsim-stream-consumer,leave_device_family,,,,device_family,iotsim-stream-consumer
global,,ALL_LEGAL_BENIGN_FIT,180657,True,device_family,iotsim-hydraulic-system,leave_device_family,,,,device_family,iotsim-hydraulic-system
,,,28103,,,,leave_device_family,id_calib,fit,feature_stats,device_family,iotsim-hydraulic-system
,,,2604,,,,leave_device_family,ood_val,fit,feature_stats,device_family,iotsim-hydraulic-system
,,,149950,,,,leave_device_family,ood_stress,fit,feature_stats,device_family,iotsim-hydraulic-system
group,device_family,iotsim-building-monitor,2604,True,device_family,iotsim-hydraulic-system,leave_device_family,,,,device_family,iotsim-hydraulic-system
group,device_family,iotsim-combined-cycle-tls,5682,True,device_family,iotsim-hydraulic-system,leave_device_family,,,,device_family,iotsim-hydraulic-system
group,device_family,iotsim-cooler-motor,22421,True,device_family,iotsim-hydraulic-system,leave_device_family,,,,device_family,iotsim-hydraulic-system
group,device_family,iotsim-stream-consumer,149950,True,device_family,iotsim-hydraulic-system,leave_device_family,,,,device_family,iotsim-hydraulic-system
group,source_family,iotsim-building-monitor,2604,True,device_family,iotsim-hydraulic-system,leave_device_family,,,,device_family,iotsim-hydraulic-system
group,source_family,iotsim-combined-cycle-tls,5682,True,device_family,iotsim-hydraulic-system,leave_device_family,,,,device_family,iotsim-hydraulic-system
group,source_family,iotsim-cooler-motor,22421,True,device_family,iotsim-hydraulic-system,leave_device_family,,,,device_family,iotsim-hydraulic-system
group,source_family,iotsim-stream-consumer,149950,True,device_family,iotsim-hydraulic-system,leave_device_family,,,,device_family,iotsim-hydraulic-system
group,source_group,processed/iotsim-building-monitor-2.csv,1690,True,device_family,iotsim-hydraulic-system,leave_device_family,,,,device_family,iotsim-hydraulic-system
group,source_group,processed/iotsim-building-monitor-3.csv,914,True,device_family,iotsim-hydraulic-system,leave_device_family,,,,device_family,iotsim-hydraulic-system
group,source_group,processed/iotsim-combined-cycle-tls-3.csv,1894,True,device_family,iotsim-hydraulic-system,leave_device_family,,,,device_family,iotsim-hydraulic-system
group,source_group,processed/iotsim-combined-cycle-tls-4.csv,1894,True,device_family,iotsim-hydraulic-system,leave_device_family,,,,device_family,iotsim-hydraulic-system
group,source_group,processed/iotsim-combined-cycle-tls-5.csv,1894,True,device_family,iotsim-hydraulic-system,leave_device_family,,,,device_family,iotsim-hydraulic-system
group,source_group,processed/iotsim-cooler-motor-5.csv,22421,True,device_family,iotsim-hydraulic-system,leave_device_family,,,,device_family,iotsim-hydraulic-system
group,source_group,processed/iotsim-stream-consumer-1.csv,149950,True,device_family,iotsim-hydraulic-system,leave_device_family,,,,device_family,iotsim-hydraulic-system
