uid,semantic_context_key,phase,owner,label_kind,role,source_group,device_family,attack_family,context_tier,context_event_count,cross_phase_context,legal_fit
support_train:fit:45,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap0a630a829ffa41941ca839ac61ba8d5ab5b545797f2063945835b9ee462943b10,fit,B,attack,support_train,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Merlin C&C Communication,H1,101,True,False
support_train:fit:48,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap0a630a829ffa41941ca839ac61ba8d5ab5b545797f2063945835b9ee462943b10,fit,B,attack,support_train,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Merlin C&C Communication,H1,70,True,False
support_train:fit:49,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap0a630a829ffa41941ca839ac61ba8d5ab5b545797f2063945835b9ee462943b10,fit,B,attack,support_train,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Merlin C&C Communication,H1,160,True,False
support_train:fit:54,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap0a630a829ffa41941ca839ac61ba8d5ab5b545797f2063945835b9ee462943b10,fit,A,attack,support_train,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Merlin C&C Communication,H1,30,True,False
support_train:fit:56,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap0a630a829ffa41941ca839ac61ba8d5ab5b545797f2063945835b9ee462943b10,fit,A,attack,support_train,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Merlin C&C Communication,H1,2,True,False
support_train:fit:60,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap0a630a829ffa41941ca839ac61ba8d5ab5b545797f2063945835b9ee462943b10,fit,B,attack,support_train,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Merlin C&C Communication,H1,250,True,False
support_train:fit:62,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap0a630a829ffa41941ca839ac61ba8d5ab5b545797f2063945835b9ee462943b10,fit,B,attack,support_train,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Merlin C&C Communication,H1,150,True,False
support_val:select:14,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap0a630a829ffa41941ca839ac61ba8d5ab5b545797f2063945835b9ee462943b10,select,B,attack,support_val,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Merlin C&C Communication,H1,36,True,False
support_val:select:19,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap0a630a829ffa41941ca839ac61ba8d5ab5b545797f2063945835b9ee462943b10,select,B,attack,support_val,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Merlin C&C Communication,H1,161,True,False
support_train:fit:100,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap1ef05b3436d90b85774cc0711a529caeee12067cad2e17a6edd874af134e06570,fit,B,attack,support_train,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Merlin ICMP Flooding,H2,66,True,False
support_train:fit:104,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap1ef05b3436d90b85774cc0711a529caeee12067cad2e17a6edd874af134e06570,fit,B,attack,support_train,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Merlin ICMP Flooding,H2,28,True,False
support_train:fit:105,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap1ef05b3436d90b85774cc0711a529caeee12067cad2e17a6edd874af134e06570,fit,B,attack,support_train,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Merlin ICMP Flooding,H2,211,True,False
support_train:fit:65,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap1ef05b3436d90b85774cc0711a529caeee12067cad2e17a6edd874af134e06570,fit,B,attack,support_train,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Merlin ICMP Flooding,H2,1,True,False
support_train:fit:68,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap1ef05b3436d90b85774cc0711a529caeee12067cad2e17a6edd874af134e06570,fit,B,attack,support_train,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Merlin ICMP Flooding,H2,22,True,False
support_train:fit:74,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap1ef05b3436d90b85774cc0711a529caeee12067cad2e17a6edd874af134e06570,fit,B,attack,support_train,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Merlin ICMP Flooding,H2,54,True,False
support_train:fit:79,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap1ef05b3436d90b85774cc0711a529caeee12067cad2e17a6edd874af134e06570,fit,B,attack,support_train,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Merlin ICMP Flooding,H2,12,True,False
support_train:fit:80,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap1ef05b3436d90b85774cc0711a529caeee12067cad2e17a6edd874af134e06570,fit,B,attack,support_train,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Merlin ICMP Flooding,H2,80,True,False
support_train:fit:82,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap1ef05b3436d90b85774cc0711a529caeee12067cad2e17a6edd874af134e06570,fit,B,attack,support_train,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Merlin ICMP Flooding,H2,35,True,False
support_train:fit:85,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap1ef05b3436d90b85774cc0711a529caeee12067cad2e17a6edd874af134e06570,fit,B,attack,support_train,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Merlin ICMP Flooding,H2,255,True,False
support_train:fit:92,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap1ef05b3436d90b85774cc0711a529caeee12067cad2e17a6edd874af134e06570,fit,B,attack,support_train,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Merlin ICMP Flooding,H2,120,True,False
support_train:fit:94,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap1ef05b3436d90b85774cc0711a529caeee12067cad2e17a6edd874af134e06570,fit,B,attack,support_train,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Merlin ICMP Flooding,H2,99,True,False
support_val:select:23,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap1ef05b3436d90b85774cc0711a529caeee12067cad2e17a6edd874af134e06570,select,B,attack,support_val,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Merlin ICMP Flooding,H2,188,True,False
support_train:fit:38,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap2e37fc51b2116525b3922676bdad946017ae0cc7886d5fe5e06a48e1cf2def1f1,fit,B,attack,support_train,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Merlin C&C Communication,H1,109,True,False
support_train:fit:61,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap2e37fc51b2116525b3922676bdad946017ae0cc7886d5fe5e06a48e1cf2def1f1,fit,B,attack,support_train,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Merlin C&C Communication,H1,155,True,False
support_val:select:15,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap2e37fc51b2116525b3922676bdad946017ae0cc7886d5fe5e06a48e1cf2def1f1,select,B,attack,support_val,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Merlin C&C Communication,H1,185,True,False
support_val:select:18,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap2e37fc51b2116525b3922676bdad946017ae0cc7886d5fe5e06a48e1cf2def1f1,select,B,attack,support_val,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Merlin C&C Communication,H1,108,True,False
support_train:fit:96,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap485ed1a390b03e9c5326ca1367a72b6e9f5b6ee8da79c02d4c10121e4e5b12255,fit,B,attack,support_train,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Merlin ICMP Flooding,H2,192,True,False
support_val:select:24,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap485ed1a390b03e9c5326ca1367a72b6e9f5b6ee8da79c02d4c10121e4e5b12255,select,B,attack,support_val,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Merlin ICMP Flooding,H2,164,True,False
support_val:select:30,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap485ed1a390b03e9c5326ca1367a72b6e9f5b6ee8da79c02d4c10121e4e5b12255,select,B,attack,support_val,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Merlin ICMP Flooding,H2,190,True,False
support_train:fit:35,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap7c4f40e317b43da47036d4e8bd546d2446c4f22d486bd51a4f6c6399adfc33242,fit,B,attack,support_train,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Merlin C&C Communication,H1,160,True,False
support_train:fit:37,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap7c4f40e317b43da47036d4e8bd546d2446c4f22d486bd51a4f6c6399adfc33242,fit,B,attack,support_train,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Merlin C&C Communication,H1,36,True,False
support_train:fit:41,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap7c4f40e317b43da47036d4e8bd546d2446c4f22d486bd51a4f6c6399adfc33242,fit,B,attack,support_train,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Merlin C&C Communication,H1,174,True,False
support_train:fit:42,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap7c4f40e317b43da47036d4e8bd546d2446c4f22d486bd51a4f6c6399adfc33242,fit,B,attack,support_train,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Merlin C&C Communication,H1,193,True,False
support_train:fit:43,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap7c4f40e317b43da47036d4e8bd546d2446c4f22d486bd51a4f6c6399adfc33242,fit,B,attack,support_train,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Merlin C&C Communication,H1,231,True,False
support_train:fit:47,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap7c4f40e317b43da47036d4e8bd546d2446c4f22d486bd51a4f6c6399adfc33242,fit,B,attack,support_train,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Merlin C&C Communication,H1,159,True,False
support_train:fit:50,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap7c4f40e317b43da47036d4e8bd546d2446c4f22d486bd51a4f6c6399adfc33242,fit,B,attack,support_train,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Merlin C&C Communication,H1,176,True,False
support_train:fit:51,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap7c4f40e317b43da47036d4e8bd546d2446c4f22d486bd51a4f6c6399adfc33242,fit,B,attack,support_train,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Merlin C&C Communication,H1,200,True,False
support_train:fit:57,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap7c4f40e317b43da47036d4e8bd546d2446c4f22d486bd51a4f6c6399adfc33242,fit,B,attack,support_train,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Merlin C&C Communication,H1,100,True,False
support_train:fit:58,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap7c4f40e317b43da47036d4e8bd546d2446c4f22d486bd51a4f6c6399adfc33242,fit,B,attack,support_train,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Merlin C&C Communication,H1,224,True,False
support_train:fit:59,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap7c4f40e317b43da47036d4e8bd546d2446c4f22d486bd51a4f6c6399adfc33242,fit,B,attack,support_train,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Merlin C&C Communication,H1,188,True,False
support_val:select:13,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap7c4f40e317b43da47036d4e8bd546d2446c4f22d486bd51a4f6c6399adfc33242,select,B,attack,support_val,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Merlin C&C Communication,H1,158,True,False
support_train:fit:77,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap80d82e2905a0a3f1f69ad50c27d8b05133ba3a7561b6bfdc13b5edda6d3de2101,fit,B,attack,support_train,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Merlin ICMP Flooding,H2,180,True,False
support_train:fit:86,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap80d82e2905a0a3f1f69ad50c27d8b05133ba3a7561b6bfdc13b5edda6d3de2101,fit,B,attack,support_train,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Merlin ICMP Flooding,H2,149,True,False
support_val:select:21,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap80d82e2905a0a3f1f69ad50c27d8b05133ba3a7561b6bfdc13b5edda6d3de2101,select,B,attack,support_val,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Merlin ICMP Flooding,H2,67,True,False
support_train:fit:163,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcapaeb5187168c297a0b3513051761ef5f35de7bc155a1284961f4e7265bdc21a5f0,fit,A,attack,support_train,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Merlin TCP Flooding,H1,1,True,False
support_val:select:37,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcapaeb5187168c297a0b3513051761ef5f35de7bc155a1284961f4e7265bdc21a5f0,select,A,attack,support_val,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Merlin TCP Flooding,H1,2,True,False
support_train:fit:226,raw/malicious/mirai-dos/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap9853bbb3885a2e88dad75e80b9e1677f96cfcc8681e67866322386685746e67c1,fit,B,attack,support_train,processed/iotsim-city-power-1.csv,city-power,Mirai GRE Flooding,H2,195,True,False
support_train:fit:249,raw/malicious/mirai-dos/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap9853bbb3885a2e88dad75e80b9e1677f96cfcc8681e67866322386685746e67c1,fit,B,attack,support_train,processed/iotsim-city-power-1.csv,city-power,Mirai GRE Flooding,H2,136,True,False
support_train:fit:258,raw/malicious/mirai-dos/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap9853bbb3885a2e88dad75e80b9e1677f96cfcc8681e67866322386685746e67c1,fit,B,attack,support_train,processed/iotsim-city-power-1.csv,city-power,Mirai GRE Flooding,H2,156,True,False
support_val:select:78,raw/malicious/mirai-dos/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap9853bbb3885a2e88dad75e80b9e1677f96cfcc8681e67866322386685746e67c1,select,B,attack,support_val,processed/iotsim-city-power-1.csv,city-power,Mirai GRE Flooding,H2,194,True,False
support_val:select:80,raw/malicious/mirai-dos/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap9853bbb3885a2e88dad75e80b9e1677f96cfcc8681e67866322386685746e67c1,select,B,attack,support_val,processed/iotsim-city-power-1.csv,city-power,Mirai GRE Flooding,H2,83,True,False
support_train:fit:329,raw/malicious/mirai-dos/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcape69812f989326b7e52cc56488daa23f93251251d3ff876383e4be5fef39d00e20,fit,A,attack,support_train,processed/iotsim-city-power-1.csv,city-power,Mirai UDP Flooding,H1,4,True,False
support_train:fit:331,raw/malicious/mirai-dos/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcape69812f989326b7e52cc56488daa23f93251251d3ff876383e4be5fef39d00e20,fit,A,attack,support_train,processed/iotsim-city-power-1.csv,city-power,Mirai UDP Flooding,H1,9,True,False
support_train:fit:334,raw/malicious/mirai-dos/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcape69812f989326b7e52cc56488daa23f93251251d3ff876383e4be5fef39d00e20,fit,A,attack,support_train,processed/iotsim-city-power-1.csv,city-power,Mirai UDP Flooding,H1,51,True,False
support_train:fit:336,raw/malicious/mirai-dos/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcape69812f989326b7e52cc56488daa23f93251251d3ff876383e4be5fef39d00e20,fit,A,attack,support_train,processed/iotsim-city-power-1.csv,city-power,Mirai UDP Flooding,H1,3,True,False
support_train:fit:338,raw/malicious/mirai-dos/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcape69812f989326b7e52cc56488daa23f93251251d3ff876383e4be5fef39d00e20,fit,A,attack,support_train,processed/iotsim-city-power-1.csv,city-power,Mirai UDP Flooding,H1,6,True,False
support_train:fit:343,raw/malicious/mirai-dos/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcape69812f989326b7e52cc56488daa23f93251251d3ff876383e4be5fef39d00e20,fit,A,attack,support_train,processed/iotsim-city-power-1.csv,city-power,Mirai UDP Flooding,H1,1,True,False
support_train:fit:345,raw/malicious/mirai-dos/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcape69812f989326b7e52cc56488daa23f93251251d3ff876383e4be5fef39d00e20,fit,A,attack,support_train,processed/iotsim-city-power-1.csv,city-power,Mirai UDP Flooding,H1,5,True,False
support_train:fit:346,raw/malicious/mirai-dos/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcape69812f989326b7e52cc56488daa23f93251251d3ff876383e4be5fef39d00e20,fit,A,attack,support_train,processed/iotsim-city-power-1.csv,city-power,Mirai UDP Flooding,H1,7,True,False
support_train:fit:350,raw/malicious/mirai-dos/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcape69812f989326b7e52cc56488daa23f93251251d3ff876383e4be5fef39d00e20,fit,A,attack,support_train,processed/iotsim-city-power-1.csv,city-power,Mirai UDP Flooding,H1,20,True,False
support_train:fit:355,raw/malicious/mirai-dos/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcape69812f989326b7e52cc56488daa23f93251251d3ff876383e4be5fef39d00e20,fit,A,attack,support_train,processed/iotsim-city-power-1.csv,city-power,Mirai UDP Flooding,H1,11,True,False
support_train:fit:358,raw/malicious/mirai-dos/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcape69812f989326b7e52cc56488daa23f93251251d3ff876383e4be5fef39d00e20,fit,A,attack,support_train,processed/iotsim-city-power-1.csv,city-power,Mirai UDP Flooding,H1,36,True,False
support_train:fit:374,raw/malicious/mirai-dos/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcape69812f989326b7e52cc56488daa23f93251251d3ff876383e4be5fef39d00e20,fit,A,attack,support_train,processed/iotsim-city-power-1.csv,city-power,Mirai UDP Flooding,H1,10,True,False
support_train:fit:375,raw/malicious/mirai-dos/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcape69812f989326b7e52cc56488daa23f93251251d3ff876383e4be5fef39d00e20,fit,A,attack,support_train,processed/iotsim-city-power-1.csv,city-power,Mirai UDP Flooding,H1,16,True,False
support_train:fit:376,raw/malicious/mirai-dos/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcape69812f989326b7e52cc56488daa23f93251251d3ff876383e4be5fef39d00e20,fit,A,attack,support_train,processed/iotsim-city-power-1.csv,city-power,Mirai UDP Flooding,H1,12,True,False
support_train:fit:380,raw/malicious/mirai-dos/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcape69812f989326b7e52cc56488daa23f93251251d3ff876383e4be5fef39d00e20,fit,A,attack,support_train,processed/iotsim-city-power-1.csv,city-power,Mirai UDP Flooding,H1,42,True,False
support_val:select:123,raw/malicious/mirai-dos/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcape69812f989326b7e52cc56488daa23f93251251d3ff876383e4be5fef39d00e20,select,A,attack,support_val,processed/iotsim-city-power-1.csv,city-power,Mirai UDP Flooding,H1,97,True,False
support_train:fit:198,raw/malicious/mirai-dos/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap0f91acbf2a57071b9dfa4ad5bb0042d039a634a2fe111eef87fd4aac8c0c8ca43,fit,A,attack,support_train,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Mirai C&C Communication,H1,13,True,False
support_train:fit:199,raw/malicious/mirai-dos/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap0f91acbf2a57071b9dfa4ad5bb0042d039a634a2fe111eef87fd4aac8c0c8ca43,fit,A,attack,support_train,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Mirai C&C Communication,H1,12,True,False
support_train:fit:202,raw/malicious/mirai-dos/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap0f91acbf2a57071b9dfa4ad5bb0042d039a634a2fe111eef87fd4aac8c0c8ca43,fit,A,attack,support_train,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Mirai C&C Communication,H1,2,True,False
support_val:select:65,raw/malicious/mirai-dos/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap0f91acbf2a57071b9dfa4ad5bb0042d039a634a2fe111eef87fd4aac8c0c8ca43,select,A,attack,support_val,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Mirai C&C Communication,H1,16,True,False
support_val:select:66,raw/malicious/mirai-dos/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap0f91acbf2a57071b9dfa4ad5bb0042d039a634a2fe111eef87fd4aac8c0c8ca43,select,A,attack,support_val,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Mirai C&C Communication,H1,1,True,False
support_train:fit:330,raw/malicious/mirai-dos/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap1415e5d34630741705e8aa403ad3a9f7a3d8864708fb6180a40af59f3b9f8fe60,fit,A,attack,support_train,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Mirai UDP Flooding,H1,1,True,False
support_train:fit:340,raw/malicious/mirai-dos/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap1415e5d34630741705e8aa403ad3a9f7a3d8864708fb6180a40af59f3b9f8fe60,fit,A,attack,support_train,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Mirai UDP Flooding,H1,12,True,False
