phase,source_group,records,events_available,first_target_position,last_target_position,cold_records,reliable_records,window_length,current_event_inclusive,current_event_missing,future_events_used,forbidden_target_events_skipped,forbidden_target_events_used,target_scope_isolation_enforced,source_fresh_boundary,auxiliary_temporal_source,raw_label_column_read,held_value,seed
select,processed/iotsim-combined-cycle-10.csv,6,138509,17672,20400,0,6,32,True,0,0,1,0,True,True,False,False,GLOBAL_ATTACK_PRESERVATION,27
select,processed/iotsim-ip-camera-museum-1.csv,40,10447197,1589773,8457328,0,40,32,True,0,0,0,0,True,True,False,False,GLOBAL_ATTACK_PRESERVATION,27
report,processed/iotsim-air-quality-1.csv,24109,55052,3701,35615,0,24109,32,True,0,0,0,0,True,True,False,False,GLOBAL_ATTACK_PRESERVATION,27
report,processed/iotsim-building-monitor-1.csv,101282,5550987,3093,5550712,0,101282,32,True,0,0,0,0,True,True,False,False,GLOBAL_ATTACK_PRESERVATION,27
report,processed/iotsim-combined-cycle-1.csv,2357,5974887,2278,5974753,0,2357,32,True,0,0,0,0,True,True,False,False,GLOBAL_ATTACK_PRESERVATION,27
report,processed/iotsim-combined-cycle-10.csv,3129,138509,1469,127751,0,3129,32,True,0,0,0,0,True,True,False,False,GLOBAL_ATTACK_PRESERVATION,27
report,processed/iotsim-domotic-monitor-1.csv,3000,2114866,3388,1597619,0,3000,32,True,0,0,0,0,True,True,False,False,GLOBAL_ATTACK_PRESERVATION,27
report,processed/iotsim-ip-camera-street-1.csv,110104,5469337,1177993,4888829,0,110104,32,True,0,0,0,0,True,True,False,False,GLOBAL_ATTACK_PRESERVATION,27
fit,iotsim-building-monitor-5_0-0_to_OpenvSwitch-28_5-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-ip-camera-street,27
fit,iotsim-combined-cycle-3_0-0_to_OpenvSwitch-13_3-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-ip-camera-street,27
fit,iotsim-combined-cycle-5_0-0_to_OpenvSwitch-13_5-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-ip-camera-street,27
fit,iotsim-combined-cycle-6_0-0_to_OpenvSwitch-13_6-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-ip-camera-street,27
fit,iotsim-combined-cycle-7_0-0_to_OpenvSwitch-13_7-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-ip-camera-street,27
fit,iotsim-combined-cycle-8_0-0_to_OpenvSwitch-13_8-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-ip-camera-street,27
fit,iotsim-combined-cycle-9_0-0_to_OpenvSwitch-13_9-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-ip-camera-street,27
fit,iotsim-combined-cycle-tls-1_0-0_to_OpenvSwitch-14_1-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-ip-camera-street,27
fit,iotsim-domotic-monitor-2_0-0_to_OpenvSwitch-23_2-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-ip-camera-street,27
fit,iotsim-domotic-monitor-3_0-0_to_OpenvSwitch-23_3-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-ip-camera-street,27
fit,iotsim-domotic-monitor-5_0-0_to_OpenvSwitch-23_5-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-ip-camera-street,27
fit,processed/iotsim-building-monitor-2.csv,600,1740,50,1739,0,600,32,True,0,0,0,0,True,True,False,False,iotsim-ip-camera-street,27
fit,processed/iotsim-building-monitor-3.csv,600,1740,50,963,0,600,32,True,0,0,0,0,True,True,False,False,iotsim-ip-camera-street,27
fit,processed/iotsim-city-power-1.csv,137,1516431,1572,1148674,0,137,32,True,0,0,11,0,True,True,False,False,iotsim-ip-camera-street,27
fit,processed/iotsim-combined-cycle-10.csv,33,138509,17601,32741,0,33,32,True,0,0,239,0,True,True,False,False,iotsim-ip-camera-street,27
fit,processed/iotsim-combined-cycle-tls-3.csv,270,1944,50,1940,0,270,32,True,0,0,0,0,True,True,False,False,iotsim-ip-camera-street,27
fit,processed/iotsim-combined-cycle-tls-4.csv,270,1944,53,1943,0,270,32,True,0,0,0,0,True,True,False,False,iotsim-ip-camera-street,27
fit,processed/iotsim-combined-cycle-tls-5.csv,269,1944,56,1940,0,269,32,True,0,0,0,0,True,True,False,False,iotsim-ip-camera-street,27
fit,processed/iotsim-ip-camera-museum-1.csv,215,10447197,1589663,10138068,0,215,32,True,0,0,32,0,True,True,False,False,iotsim-ip-camera-street,27
select,iotsim-building-monitor-4_0-0_to_OpenvSwitch-28_4-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-ip-camera-street,27
select,iotsim-combined-cycle-2_0-0_to_OpenvSwitch-13_2-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-ip-camera-street,27
select,iotsim-combined-cycle-4_0-0_to_OpenvSwitch-13_4-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-ip-camera-street,27
select,iotsim-combined-cycle-tls-2_0-0_to_OpenvSwitch-14_2-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-ip-camera-street,27
select,iotsim-domotic-monitor-4_0-0_to_OpenvSwitch-23_4-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-ip-camera-street,27
select,processed/iotsim-city-power-1.csv,23,1516431,1574,1142111,0,23,32,True,0,0,0,0,True,True,False,False,iotsim-ip-camera-street,27
select,processed/iotsim-combined-cycle-10.csv,6,138509,17672,20400,0,6,32,True,0,0,1,0,True,True,False,False,iotsim-ip-camera-street,27
select,processed/iotsim-ip-camera-museum-1.csv,40,10447197,1589773,8457328,0,40,32,True,0,0,0,0,True,True,False,False,iotsim-ip-camera-street,27
report,processed/iotsim-ip-camera-street-2.csv,3000,783243,50,99999,0,3000,32,True,0,0,0,0,True,True,False,False,iotsim-ip-camera-street,27
fit,iotsim-building-monitor-5_0-0_to_OpenvSwitch-28_5-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-predictive-maintenance,27
fit,iotsim-combined-cycle-3_0-0_to_OpenvSwitch-13_3-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-predictive-maintenance,27
fit,iotsim-combined-cycle-5_0-0_to_OpenvSwitch-13_5-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-predictive-maintenance,27
fit,iotsim-combined-cycle-6_0-0_to_OpenvSwitch-13_6-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-predictive-maintenance,27
fit,iotsim-combined-cycle-7_0-0_to_OpenvSwitch-13_7-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-predictive-maintenance,27
fit,iotsim-combined-cycle-8_0-0_to_OpenvSwitch-13_8-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-predictive-maintenance,27
fit,iotsim-combined-cycle-9_0-0_to_OpenvSwitch-13_9-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-predictive-maintenance,27
fit,iotsim-combined-cycle-tls-1_0-0_to_OpenvSwitch-14_1-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-predictive-maintenance,27
fit,iotsim-domotic-monitor-2_0-0_to_OpenvSwitch-23_2-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-predictive-maintenance,27
fit,iotsim-domotic-monitor-3_0-0_to_OpenvSwitch-23_3-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-predictive-maintenance,27
fit,iotsim-domotic-monitor-5_0-0_to_OpenvSwitch-23_5-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-predictive-maintenance,27
fit,processed/iotsim-building-monitor-2.csv,600,1740,50,1739,0,600,32,True,0,0,0,0,True,True,False,False,iotsim-predictive-maintenance,27
fit,processed/iotsim-building-monitor-3.csv,600,1740,50,963,0,600,32,True,0,0,0,0,True,True,False,False,iotsim-predictive-maintenance,27
fit,processed/iotsim-city-power-1.csv,137,1516431,1572,1148674,0,137,32,True,0,0,11,0,True,True,False,False,iotsim-predictive-maintenance,27
fit,processed/iotsim-combined-cycle-10.csv,33,138509,17601,32741,0,33,32,True,0,0,239,0,True,True,False,False,iotsim-predictive-maintenance,27
fit,processed/iotsim-combined-cycle-tls-3.csv,270,1944,50,1940,0,270,32,True,0,0,0,0,True,True,False,False,iotsim-predictive-maintenance,27
fit,processed/iotsim-combined-cycle-tls-4.csv,270,1944,53,1943,0,270,32,True,0,0,0,0,True,True,False,False,iotsim-predictive-maintenance,27
fit,processed/iotsim-combined-cycle-tls-5.csv,269,1944,56,1940,0,269,32,True,0,0,0,0,True,True,False,False,iotsim-predictive-maintenance,27
fit,processed/iotsim-ip-camera-museum-1.csv,215,10447197,1589663,10138068,0,215,32,True,0,0,32,0,True,True,False,False,iotsim-predictive-maintenance,27
select,iotsim-building-monitor-4_0-0_to_OpenvSwitch-28_4-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-predictive-maintenance,27
select,iotsim-combined-cycle-2_0-0_to_OpenvSwitch-13_2-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-predictive-maintenance,27
select,iotsim-combined-cycle-4_0-0_to_OpenvSwitch-13_4-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-predictive-maintenance,27
select,iotsim-combined-cycle-tls-2_0-0_to_OpenvSwitch-14_2-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-predictive-maintenance,27
select,iotsim-domotic-monitor-4_0-0_to_OpenvSwitch-23_4-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-predictive-maintenance,27
select,processed/iotsim-city-power-1.csv,23,1516431,1574,1142111,0,23,32,True,0,0,0,0,True,True,False,False,iotsim-predictive-maintenance,27
select,processed/iotsim-combined-cycle-10.csv,6,138509,17672,20400,0,6,32,True,0,0,1,0,True,True,False,False,iotsim-predictive-maintenance,27
select,processed/iotsim-ip-camera-museum-1.csv,40,10447197,1589773,8457328,0,40,32,True,0,0,0,0,True,True,False,False,iotsim-predictive-maintenance,27
report,iotsim-predictive-maintenance-10_0-0_to_OpenvSwitch-19_10-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-predictive-maintenance,27
report,iotsim-predictive-maintenance-11_0-0_to_OpenvSwitch-21_1-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-predictive-maintenance,27
report,iotsim-predictive-maintenance-12_0-0_to_OpenvSwitch-21_2-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-predictive-maintenance,27
report,iotsim-predictive-maintenance-13_0-0_to_OpenvSwitch-21_3-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-predictive-maintenance,27
report,iotsim-predictive-maintenance-14_0-0_to_OpenvSwitch-21_4-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-predictive-maintenance,27
report,iotsim-predictive-maintenance-15_0-0_to_OpenvSwitch-21_5-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-predictive-maintenance,27
report,iotsim-predictive-maintenance-1_0-0_to_OpenvSwitch-19_1-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-predictive-maintenance,27
report,iotsim-predictive-maintenance-2_0-0_to_OpenvSwitch-19_2-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-predictive-maintenance,27
report,iotsim-predictive-maintenance-3_0-0_to_OpenvSwitch-19_3-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-predictive-maintenance,27
report,iotsim-predictive-maintenance-4_0-0_to_OpenvSwitch-19_4-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-predictive-maintenance,27
report,iotsim-predictive-maintenance-5_0-0_to_OpenvSwitch-19_5-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-predictive-maintenance,27
report,iotsim-predictive-maintenance-6_0-0_to_OpenvSwitch-19_6-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-predictive-maintenance,27
report,iotsim-predictive-maintenance-7_0-0_to_OpenvSwitch-19_7-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-predictive-maintenance,27
report,iotsim-predictive-maintenance-8_0-0_to_OpenvSwitch-19_8-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-predictive-maintenance,27
report,iotsim-predictive-maintenance-9_0-0_to_OpenvSwitch-19_9-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-predictive-maintenance,27
fit,iotsim-building-monitor-5_0-0_to_OpenvSwitch-28_5-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-stream-consumer,27
fit,iotsim-combined-cycle-3_0-0_to_OpenvSwitch-13_3-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-stream-consumer,27
fit,iotsim-combined-cycle-5_0-0_to_OpenvSwitch-13_5-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-stream-consumer,27
fit,iotsim-combined-cycle-6_0-0_to_OpenvSwitch-13_6-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-stream-consumer,27
fit,iotsim-combined-cycle-7_0-0_to_OpenvSwitch-13_7-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-stream-consumer,27
fit,iotsim-combined-cycle-8_0-0_to_OpenvSwitch-13_8-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-stream-consumer,27
fit,iotsim-combined-cycle-9_0-0_to_OpenvSwitch-13_9-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-stream-consumer,27
fit,iotsim-combined-cycle-tls-1_0-0_to_OpenvSwitch-14_1-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-stream-consumer,27
fit,iotsim-domotic-monitor-2_0-0_to_OpenvSwitch-23_2-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-stream-consumer,27
fit,iotsim-domotic-monitor-3_0-0_to_OpenvSwitch-23_3-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-stream-consumer,27
fit,iotsim-domotic-monitor-5_0-0_to_OpenvSwitch-23_5-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-stream-consumer,27
fit,processed/iotsim-building-monitor-2.csv,600,1740,50,1739,0,600,32,True,0,0,0,0,True,True,False,False,iotsim-stream-consumer,27
fit,processed/iotsim-building-monitor-3.csv,600,1740,50,963,0,600,32,True,0,0,0,0,True,True,False,False,iotsim-stream-consumer,27
fit,processed/iotsim-city-power-1.csv,137,1516431,1572,1148674,0,137,32,True,0,0,11,0,True,True,False,False,iotsim-stream-consumer,27
fit,processed/iotsim-combined-cycle-10.csv,33,138509,17601,32741,0,33,32,True,0,0,239,0,True,True,False,False,iotsim-stream-consumer,27
fit,processed/iotsim-combined-cycle-tls-3.csv,270,1944,50,1940,0,270,32,True,0,0,0,0,True,True,False,False,iotsim-stream-consumer,27
fit,processed/iotsim-combined-cycle-tls-4.csv,270,1944,53,1943,0,270,32,True,0,0,0,0,True,True,False,False,iotsim-stream-consumer,27
fit,processed/iotsim-combined-cycle-tls-5.csv,269,1944,56,1940,0,269,32,True,0,0,0,0,True,True,False,False,iotsim-stream-consumer,27
fit,processed/iotsim-ip-camera-museum-1.csv,215,10447197,1589663,10138068,0,215,32,True,0,0,32,0,True,True,False,False,iotsim-stream-consumer,27
select,iotsim-building-monitor-4_0-0_to_OpenvSwitch-28_4-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-stream-consumer,27
select,iotsim-combined-cycle-2_0-0_to_OpenvSwitch-13_2-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-stream-consumer,27
select,iotsim-combined-cycle-4_0-0_to_OpenvSwitch-13_4-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-stream-consumer,27
select,iotsim-combined-cycle-tls-2_0-0_to_OpenvSwitch-14_2-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-stream-consumer,27
select,iotsim-domotic-monitor-4_0-0_to_OpenvSwitch-23_4-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-stream-consumer,27
select,processed/iotsim-city-power-1.csv,23,1516431,1574,1142111,0,23,32,True,0,0,0,0,True,True,False,False,iotsim-stream-consumer,27
select,processed/iotsim-combined-cycle-10.csv,6,138509,17672,20400,0,6,32,True,0,0,1,0,True,True,False,False,iotsim-stream-consumer,27
select,processed/iotsim-ip-camera-museum-1.csv,40,10447197,1589773,8457328,0,40,32,True,0,0,0,0,True,True,False,False,iotsim-stream-consumer,27
report,processed/iotsim-stream-consumer-2.csv,3000,465335,50,79999,0,3000,32,True,0,0,0,0,True,True,False,False,iotsim-stream-consumer,27
fit,iotsim-building-monitor-5_0-0_to_OpenvSwitch-28_5-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-hydraulic-system,27
fit,iotsim-combined-cycle-3_0-0_to_OpenvSwitch-13_3-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-hydraulic-system,27
fit,iotsim-combined-cycle-5_0-0_to_OpenvSwitch-13_5-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-hydraulic-system,27
fit,iotsim-combined-cycle-6_0-0_to_OpenvSwitch-13_6-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-hydraulic-system,27
fit,iotsim-combined-cycle-7_0-0_to_OpenvSwitch-13_7-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-hydraulic-system,27
fit,iotsim-combined-cycle-8_0-0_to_OpenvSwitch-13_8-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-hydraulic-system,27
fit,iotsim-combined-cycle-9_0-0_to_OpenvSwitch-13_9-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-hydraulic-system,27
fit,iotsim-combined-cycle-tls-1_0-0_to_OpenvSwitch-14_1-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-hydraulic-system,27
fit,iotsim-domotic-monitor-2_0-0_to_OpenvSwitch-23_2-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-hydraulic-system,27
fit,iotsim-domotic-monitor-3_0-0_to_OpenvSwitch-23_3-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-hydraulic-system,27
fit,iotsim-domotic-monitor-5_0-0_to_OpenvSwitch-23_5-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-hydraulic-system,27
fit,processed/iotsim-building-monitor-2.csv,600,1740,50,1739,0,600,32,True,0,0,0,0,True,True,False,False,iotsim-hydraulic-system,27
fit,processed/iotsim-building-monitor-3.csv,600,1740,50,963,0,600,32,True,0,0,0,0,True,True,False,False,iotsim-hydraulic-system,27
fit,processed/iotsim-city-power-1.csv,137,1516431,1572,1148674,0,137,32,True,0,0,11,0,True,True,False,False,iotsim-hydraulic-system,27
fit,processed/iotsim-combined-cycle-10.csv,33,138509,17601,32741,0,33,32,True,0,0,239,0,True,True,False,False,iotsim-hydraulic-system,27
fit,processed/iotsim-combined-cycle-tls-3.csv,270,1944,50,1940,0,270,32,True,0,0,0,0,True,True,False,False,iotsim-hydraulic-system,27
fit,processed/iotsim-combined-cycle-tls-4.csv,270,1944,53,1943,0,270,32,True,0,0,0,0,True,True,False,False,iotsim-hydraulic-system,27
fit,processed/iotsim-combined-cycle-tls-5.csv,269,1944,56,1940,0,269,32,True,0,0,0,0,True,True,False,False,iotsim-hydraulic-system,27
fit,processed/iotsim-ip-camera-museum-1.csv,215,10447197,1589663,10138068,0,215,32,True,0,0,32,0,True,True,False,False,iotsim-hydraulic-system,27
select,iotsim-building-monitor-4_0-0_to_OpenvSwitch-28_4-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-hydraulic-system,27
select,iotsim-combined-cycle-2_0-0_to_OpenvSwitch-13_2-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-hydraulic-system,27
select,iotsim-combined-cycle-4_0-0_to_OpenvSwitch-13_4-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-hydraulic-system,27
select,iotsim-combined-cycle-tls-2_0-0_to_OpenvSwitch-14_2-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-hydraulic-system,27
select,iotsim-domotic-monitor-4_0-0_to_OpenvSwitch-23_4-0,600,1100,500,1099,0,600,32,True,0,0,0,0,True,True,True,False,iotsim-hydraulic-system,27
select,processed/iotsim-city-power-1.csv,23,1516431,1574,1142111,0,23,32,True,0,0,0,0,True,True,False,False,iotsim-hydraulic-system,27
select,processed/iotsim-combined-cycle-10.csv,6,138509,17672,20400,0,6,32,True,0,0,1,0,True,True,False,False,iotsim-hydraulic-system,27
select,processed/iotsim-ip-camera-museum-1.csv,40,10447197,1589773,8457328,0,40,32,True,0,0,0,0,True,True,False,False,iotsim-hydraulic-system,27
report,processed/iotsim-hydraulic-system-12.csv,601,2496,52,2494,0,601,32,True,0,0,0,0,True,True,False,False,iotsim-hydraulic-system,27
report,processed/iotsim-hydraulic-system-13.csv,597,2481,52,2477,0,597,32,True,0,0,0,0,True,True,False,False,iotsim-hydraulic-system,27
report,processed/iotsim-hydraulic-system-14.csv,598,2481,50,2480,0,598,32,True,0,0,0,0,True,True,False,False,iotsim-hydraulic-system,27
report,processed/iotsim-hydraulic-system-15.csv,601,2496,52,2494,0,601,32,True,0,0,0,0,True,True,False,False,iotsim-hydraulic-system,27
report,processed/iotsim-hydraulic-system-2.csv,603,2501,50,2499,0,603,32,True,0,0,0,0,True,True,False,False,iotsim-hydraulic-system,27
