source_group,records,fit_targets,select_targets,report_targets,frozen_target_positions,fit_max_event_position,select_min_event_position,select_max_event_position,report_min_event_position,source_phase_interleavings,phase_block_order_required,duplicate_position_cross_phase,collected_target_positions_missing_from_frozen_cache,fit_forbidden_frozen_targets,select_forbidden_frozen_targets,fit_prefix_contains_select_or_report_target,select_prefix_contains_report_target,target_scope_isolation_enforced,pass,seed
iotsim-domotic-monitor-4_0-0_to_OpenvSwitch-23_4-0,600,0,600,0,600,,500.0,1099.0,,0,False,0,0,600,0,False,False,True,True,27
iotsim-domotic-monitor-5_0-0_to_OpenvSwitch-23_5-0,600,600,0,0,600,1099.0,,,,0,False,0,0,0,0,False,False,True,True,27
processed/iotsim-air-quality-1.csv,24109,0,0,24109,24109,,,,3701.0,0,False,0,0,24109,24109,False,False,True,True,27
processed/iotsim-building-monitor-1.csv,101282,0,0,101282,101282,,,,3093.0,0,False,0,0,101282,101282,False,False,True,True,27
processed/iotsim-building-monitor-2.csv,1690,1690,0,0,1690,1739.0,,,,0,False,0,0,0,0,False,False,True,True,27
processed/iotsim-building-monitor-3.csv,914,914,0,0,914,963.0,,,,0,False,0,0,0,0,False,False,True,True,27
processed/iotsim-city-power-1.csv,160,137,23,0,160,1148674.0,1574.0,1142111.0,,136,False,0,0,23,0,False,False,True,True,27
processed/iotsim-combined-cycle-1.csv,2357,0,0,2357,2357,,,,2278.0,0,False,0,0,2357,2357,False,False,True,True,27
processed/iotsim-combined-cycle-10.csv,3168,33,6,3129,3168,32741.0,17672.0,20400.0,1469.0,39,False,0,0,3135,3129,False,False,True,True,27
processed/iotsim-combined-cycle-tls-3.csv,270,270,0,0,270,1940.0,,,,0,False,0,0,0,0,False,False,True,True,27
processed/iotsim-combined-cycle-tls-4.csv,270,270,0,0,270,1943.0,,,,0,False,0,0,0,0,False,False,True,True,27
processed/iotsim-combined-cycle-tls-5.csv,269,269,0,0,269,1940.0,,,,0,False,0,0,0,0,False,False,True,True,27
processed/iotsim-domotic-monitor-1.csv,3000,0,0,3000,3000,,,,3388.0,0,False,0,0,3000,3000,False,False,True,True,27
processed/iotsim-ip-camera-museum-1.csv,255,215,40,0,255,10138068.0,1589773.0,8457328.0,,212,False,0,0,40,0,False,False,True,True,27
processed/iotsim-ip-camera-street-1.csv,110104,0,0,110104,110104,,,,1177993.0,0,False,0,0,110104,110104,False,False,True,True,27
iotsim-building-monitor-4_0-0_to_OpenvSwitch-28_4-0,600,0,600,0,600,,500.0,1099.0,,0,False,0,0,600,0,False,False,True,True,27
iotsim-building-monitor-5_0-0_to_OpenvSwitch-28_5-0,600,600,0,0,600,1099.0,,,,0,False,0,0,0,0,False,False,True,True,27
iotsim-combined-cycle-2_0-0_to_OpenvSwitch-13_2-0,600,0,600,0,600,,500.0,1099.0,,0,False,0,0,600,0,False,False,True,True,27
iotsim-combined-cycle-3_0-0_to_OpenvSwitch-13_3-0,600,600,0,0,600,1099.0,,,,0,False,0,0,0,0,False,False,True,True,27
iotsim-combined-cycle-4_0-0_to_OpenvSwitch-13_4-0,600,0,600,0,600,,500.0,1099.0,,0,False,0,0,600,0,False,False,True,True,27
iotsim-combined-cycle-5_0-0_to_OpenvSwitch-13_5-0,600,600,0,0,600,1099.0,,,,0,False,0,0,0,0,False,False,True,True,27
iotsim-combined-cycle-6_0-0_to_OpenvSwitch-13_6-0,600,600,0,0,600,1099.0,,,,0,False,0,0,0,0,False,False,True,True,27
iotsim-combined-cycle-7_0-0_to_OpenvSwitch-13_7-0,600,600,0,0,600,1099.0,,,,0,False,0,0,0,0,False,False,True,True,27
iotsim-combined-cycle-8_0-0_to_OpenvSwitch-13_8-0,600,600,0,0,600,1099.0,,,,0,False,0,0,0,0,False,False,True,True,27
iotsim-combined-cycle-9_0-0_to_OpenvSwitch-13_9-0,600,600,0,0,600,1099.0,,,,0,False,0,0,0,0,False,False,True,True,27
iotsim-combined-cycle-tls-1_0-0_to_OpenvSwitch-14_1-0,600,600,0,0,600,1099.0,,,,0,False,0,0,0,0,False,False,True,True,27
iotsim-combined-cycle-tls-2_0-0_to_OpenvSwitch-14_2-0,600,0,600,0,600,,500.0,1099.0,,0,False,0,0,600,0,False,False,True,True,27
iotsim-domotic-monitor-2_0-0_to_OpenvSwitch-23_2-0,600,600,0,0,600,1099.0,,,,0,False,0,0,0,0,False,False,True,True,27
iotsim-domotic-monitor-3_0-0_to_OpenvSwitch-23_3-0,600,600,0,0,600,1099.0,,,,0,False,0,0,0,0,False,False,True,True,27
iotsim-domotic-monitor-4_0-0_to_OpenvSwitch-23_4-0,600,0,600,0,600,,500.0,1099.0,,0,False,0,0,600,0,False,False,True,True,27
iotsim-domotic-monitor-5_0-0_to_OpenvSwitch-23_5-0,600,600,0,0,600,1099.0,,,,0,False,0,0,0,0,False,False,True,True,27
processed/iotsim-building-monitor-2.csv,1690,1690,0,0,1690,1739.0,,,,0,False,0,0,0,0,False,False,True,True,27
processed/iotsim-building-monitor-3.csv,914,914,0,0,914,963.0,,,,0,False,0,0,0,0,False,False,True,True,27
processed/iotsim-city-power-1.csv,160,137,23,0,160,1148674.0,1574.0,1142111.0,,136,False,0,0,23,0,False,False,True,True,27
processed/iotsim-combined-cycle-10.csv,39,33,6,0,3168,32741.0,17672.0,20400.0,,27,False,0,0,3135,3129,False,False,True,True,27
processed/iotsim-combined-cycle-tls-3.csv,270,270,0,0,270,1940.0,,,,0,False,0,0,0,0,False,False,True,True,27
processed/iotsim-combined-cycle-tls-4.csv,270,270,0,0,270,1943.0,,,,0,False,0,0,0,0,False,False,True,True,27
processed/iotsim-combined-cycle-tls-5.csv,269,269,0,0,269,1940.0,,,,0,False,0,0,0,0,False,False,True,True,27
processed/iotsim-ip-camera-museum-1.csv,255,215,40,0,255,10138068.0,1589773.0,8457328.0,,212,False,0,0,40,0,False,False,True,True,27
processed/iotsim-ip-camera-street-2.csv,3000,0,0,3000,3000,,,,50.0,0,False,0,0,3000,3000,False,False,True,True,27
iotsim-building-monitor-4_0-0_to_OpenvSwitch-28_4-0,600,0,600,0,600,,500.0,1099.0,,0,False,0,0,600,0,False,False,True,True,27
iotsim-building-monitor-5_0-0_to_OpenvSwitch-28_5-0,600,600,0,0,600,1099.0,,,,0,False,0,0,0,0,False,False,True,True,27
iotsim-combined-cycle-2_0-0_to_OpenvSwitch-13_2-0,600,0,600,0,600,,500.0,1099.0,,0,False,0,0,600,0,False,False,True,True,27
iotsim-combined-cycle-3_0-0_to_OpenvSwitch-13_3-0,600,600,0,0,600,1099.0,,,,0,False,0,0,0,0,False,False,True,True,27
iotsim-combined-cycle-4_0-0_to_OpenvSwitch-13_4-0,600,0,600,0,600,,500.0,1099.0,,0,False,0,0,600,0,False,False,True,True,27
iotsim-combined-cycle-5_0-0_to_OpenvSwitch-13_5-0,600,600,0,0,600,1099.0,,,,0,False,0,0,0,0,False,False,True,True,27
iotsim-combined-cycle-6_0-0_to_OpenvSwitch-13_6-0,600,600,0,0,600,1099.0,,,,0,False,0,0,0,0,False,False,True,True,27
iotsim-combined-cycle-7_0-0_to_OpenvSwitch-13_7-0,600,600,0,0,600,1099.0,,,,0,False,0,0,0,0,False,False,True,True,27
iotsim-combined-cycle-8_0-0_to_OpenvSwitch-13_8-0,600,600,0,0,600,1099.0,,,,0,False,0,0,0,0,False,False,True,True,27
iotsim-combined-cycle-9_0-0_to_OpenvSwitch-13_9-0,600,600,0,0,600,1099.0,,,,0,False,0,0,0,0,False,False,True,True,27
iotsim-combined-cycle-tls-1_0-0_to_OpenvSwitch-14_1-0,600,600,0,0,600,1099.0,,,,0,False,0,0,0,0,False,False,True,True,27
iotsim-combined-cycle-tls-2_0-0_to_OpenvSwitch-14_2-0,600,0,600,0,600,,500.0,1099.0,,0,False,0,0,600,0,False,False,True,True,27
iotsim-domotic-monitor-2_0-0_to_OpenvSwitch-23_2-0,600,600,0,0,600,1099.0,,,,0,False,0,0,0,0,False,False,True,True,27
iotsim-domotic-monitor-3_0-0_to_OpenvSwitch-23_3-0,600,600,0,0,600,1099.0,,,,0,False,0,0,0,0,False,False,True,True,27
iotsim-domotic-monitor-4_0-0_to_OpenvSwitch-23_4-0,600,0,600,0,600,,500.0,1099.0,,0,False,0,0,600,0,False,False,True,True,27
iotsim-domotic-monitor-5_0-0_to_OpenvSwitch-23_5-0,600,600,0,0,600,1099.0,,,,0,False,0,0,0,0,False,False,True,True,27
iotsim-predictive-maintenance-10_0-0_to_OpenvSwitch-19_10-0,600,0,0,600,600,,,,500.0,0,False,0,0,600,600,False,False,True,True,27
iotsim-predictive-maintenance-11_0-0_to_OpenvSwitch-21_1-0,600,0,0,600,600,,,,500.0,0,False,0,0,600,600,False,False,True,True,27
iotsim-predictive-maintenance-12_0-0_to_OpenvSwitch-21_2-0,600,0,0,600,600,,,,500.0,0,False,0,0,600,600,False,False,True,True,27
iotsim-predictive-maintenance-13_0-0_to_OpenvSwitch-21_3-0,600,0,0,600,600,,,,500.0,0,False,0,0,600,600,False,False,True,True,27
iotsim-predictive-maintenance-14_0-0_to_OpenvSwitch-21_4-0,600,0,0,600,600,,,,500.0,0,False,0,0,600,600,False,False,True,True,27
iotsim-predictive-maintenance-15_0-0_to_OpenvSwitch-21_5-0,600,0,0,600,600,,,,500.0,0,False,0,0,600,600,False,False,True,True,27
iotsim-predictive-maintenance-1_0-0_to_OpenvSwitch-19_1-0,600,0,0,600,600,,,,500.0,0,False,0,0,600,600,False,False,True,True,27
iotsim-predictive-maintenance-2_0-0_to_OpenvSwitch-19_2-0,600,0,0,600,600,,,,500.0,0,False,0,0,600,600,False,False,True,True,27
iotsim-predictive-maintenance-3_0-0_to_OpenvSwitch-19_3-0,600,0,0,600,600,,,,500.0,0,False,0,0,600,600,False,False,True,True,27
iotsim-predictive-maintenance-4_0-0_to_OpenvSwitch-19_4-0,600,0,0,600,600,,,,500.0,0,False,0,0,600,600,False,False,True,True,27
iotsim-predictive-maintenance-5_0-0_to_OpenvSwitch-19_5-0,600,0,0,600,600,,,,500.0,0,False,0,0,600,600,False,False,True,True,27
iotsim-predictive-maintenance-6_0-0_to_OpenvSwitch-19_6-0,600,0,0,600,600,,,,500.0,0,False,0,0,600,600,False,False,True,True,27
iotsim-predictive-maintenance-7_0-0_to_OpenvSwitch-19_7-0,600,0,0,600,600,,,,500.0,0,False,0,0,600,600,False,False,True,True,27
iotsim-predictive-maintenance-8_0-0_to_OpenvSwitch-19_8-0,600,0,0,600,600,,,,500.0,0,False,0,0,600,600,False,False,True,True,27
iotsim-predictive-maintenance-9_0-0_to_OpenvSwitch-19_9-0,600,0,0,600,600,,,,500.0,0,False,0,0,600,600,False,False,True,True,27
processed/iotsim-building-monitor-2.csv,1690,1690,0,0,1690,1739.0,,,,0,False,0,0,0,0,False,False,True,True,27
processed/iotsim-building-monitor-3.csv,914,914,0,0,914,963.0,,,,0,False,0,0,0,0,False,False,True,True,27
processed/iotsim-city-power-1.csv,160,137,23,0,160,1148674.0,1574.0,1142111.0,,136,False,0,0,23,0,False,False,True,True,27
processed/iotsim-combined-cycle-10.csv,39,33,6,0,3168,32741.0,17672.0,20400.0,,27,False,0,0,3135,3129,False,False,True,True,27
processed/iotsim-combined-cycle-tls-3.csv,270,270,0,0,270,1940.0,,,,0,False,0,0,0,0,False,False,True,True,27
processed/iotsim-combined-cycle-tls-4.csv,270,270,0,0,270,1943.0,,,,0,False,0,0,0,0,False,False,True,True,27
processed/iotsim-combined-cycle-tls-5.csv,269,269,0,0,269,1940.0,,,,0,False,0,0,0,0,False,False,True,True,27
processed/iotsim-ip-camera-museum-1.csv,255,215,40,0,255,10138068.0,1589773.0,8457328.0,,212,False,0,0,40,0,False,False,True,True,27
iotsim-building-monitor-4_0-0_to_OpenvSwitch-28_4-0,600,0,600,0,600,,500.0,1099.0,,0,False,0,0,600,0,False,False,True,True,27
iotsim-building-monitor-5_0-0_to_OpenvSwitch-28_5-0,600,600,0,0,600,1099.0,,,,0,False,0,0,0,0,False,False,True,True,27
iotsim-combined-cycle-2_0-0_to_OpenvSwitch-13_2-0,600,0,600,0,600,,500.0,1099.0,,0,False,0,0,600,0,False,False,True,True,27
iotsim-combined-cycle-3_0-0_to_OpenvSwitch-13_3-0,600,600,0,0,600,1099.0,,,,0,False,0,0,0,0,False,False,True,True,27
iotsim-combined-cycle-4_0-0_to_OpenvSwitch-13_4-0,600,0,600,0,600,,500.0,1099.0,,0,False,0,0,600,0,False,False,True,True,27
iotsim-combined-cycle-5_0-0_to_OpenvSwitch-13_5-0,600,600,0,0,600,1099.0,,,,0,False,0,0,0,0,False,False,True,True,27
iotsim-combined-cycle-6_0-0_to_OpenvSwitch-13_6-0,600,600,0,0,600,1099.0,,,,0,False,0,0,0,0,False,False,True,True,27
iotsim-combined-cycle-7_0-0_to_OpenvSwitch-13_7-0,600,600,0,0,600,1099.0,,,,0,False,0,0,0,0,False,False,True,True,27
iotsim-combined-cycle-8_0-0_to_OpenvSwitch-13_8-0,600,600,0,0,600,1099.0,,,,0,False,0,0,0,0,False,False,True,True,27
iotsim-combined-cycle-9_0-0_to_OpenvSwitch-13_9-0,600,600,0,0,600,1099.0,,,,0,False,0,0,0,0,False,False,True,True,27
iotsim-combined-cycle-tls-1_0-0_to_OpenvSwitch-14_1-0,600,600,0,0,600,1099.0,,,,0,False,0,0,0,0,False,False,True,True,27
iotsim-combined-cycle-tls-2_0-0_to_OpenvSwitch-14_2-0,600,0,600,0,600,,500.0,1099.0,,0,False,0,0,600,0,False,False,True,True,27
iotsim-domotic-monitor-2_0-0_to_OpenvSwitch-23_2-0,600,600,0,0,600,1099.0,,,,0,False,0,0,0,0,False,False,True,True,27
iotsim-domotic-monitor-3_0-0_to_OpenvSwitch-23_3-0,600,600,0,0,600,1099.0,,,,0,False,0,0,0,0,False,False,True,True,27
iotsim-domotic-monitor-4_0-0_to_OpenvSwitch-23_4-0,600,0,600,0,600,,500.0,1099.0,,0,False,0,0,600,0,False,False,True,True,27
iotsim-domotic-monitor-5_0-0_to_OpenvSwitch-23_5-0,600,600,0,0,600,1099.0,,,,0,False,0,0,0,0,False,False,True,True,27
processed/iotsim-building-monitor-2.csv,1690,1690,0,0,1690,1739.0,,,,0,False,0,0,0,0,False,False,True,True,27
processed/iotsim-building-monitor-3.csv,914,914,0,0,914,963.0,,,,0,False,0,0,0,0,False,False,True,True,27
processed/iotsim-city-power-1.csv,160,137,23,0,160,1148674.0,1574.0,1142111.0,,136,False,0,0,23,0,False,False,True,True,27
processed/iotsim-combined-cycle-10.csv,39,33,6,0,3168,32741.0,17672.0,20400.0,,27,False,0,0,3135,3129,False,False,True,True,27
processed/iotsim-combined-cycle-tls-3.csv,270,270,0,0,270,1940.0,,,,0,False,0,0,0,0,False,False,True,True,27
processed/iotsim-combined-cycle-tls-4.csv,270,270,0,0,270,1943.0,,,,0,False,0,0,0,0,False,False,True,True,27
processed/iotsim-combined-cycle-tls-5.csv,269,269,0,0,269,1940.0,,,,0,False,0,0,0,0,False,False,True,True,27
processed/iotsim-ip-camera-museum-1.csv,255,215,40,0,255,10138068.0,1589773.0,8457328.0,,212,False,0,0,40,0,False,False,True,True,27
processed/iotsim-stream-consumer-2.csv,3000,0,0,3000,3000,,,,50.0,0,False,0,0,3000,3000,False,False,True,True,27
iotsim-building-monitor-4_0-0_to_OpenvSwitch-28_4-0,600,0,600,0,600,,500.0,1099.0,,0,False,0,0,600,0,False,False,True,True,27
iotsim-building-monitor-5_0-0_to_OpenvSwitch-28_5-0,600,600,0,0,600,1099.0,,,,0,False,0,0,0,0,False,False,True,True,27
iotsim-combined-cycle-2_0-0_to_OpenvSwitch-13_2-0,600,0,600,0,600,,500.0,1099.0,,0,False,0,0,600,0,False,False,True,True,27
iotsim-combined-cycle-3_0-0_to_OpenvSwitch-13_3-0,600,600,0,0,600,1099.0,,,,0,False,0,0,0,0,False,False,True,True,27
iotsim-combined-cycle-4_0-0_to_OpenvSwitch-13_4-0,600,0,600,0,600,,500.0,1099.0,,0,False,0,0,600,0,False,False,True,True,27
iotsim-combined-cycle-5_0-0_to_OpenvSwitch-13_5-0,600,600,0,0,600,1099.0,,,,0,False,0,0,0,0,False,False,True,True,27
iotsim-combined-cycle-6_0-0_to_OpenvSwitch-13_6-0,600,600,0,0,600,1099.0,,,,0,False,0,0,0,0,False,False,True,True,27
iotsim-combined-cycle-7_0-0_to_OpenvSwitch-13_7-0,600,600,0,0,600,1099.0,,,,0,False,0,0,0,0,False,False,True,True,27
iotsim-combined-cycle-8_0-0_to_OpenvSwitch-13_8-0,600,600,0,0,600,1099.0,,,,0,False,0,0,0,0,False,False,True,True,27
iotsim-combined-cycle-9_0-0_to_OpenvSwitch-13_9-0,600,600,0,0,600,1099.0,,,,0,False,0,0,0,0,False,False,True,True,27
iotsim-combined-cycle-tls-1_0-0_to_OpenvSwitch-14_1-0,600,600,0,0,600,1099.0,,,,0,False,0,0,0,0,False,False,True,True,27
iotsim-combined-cycle-tls-2_0-0_to_OpenvSwitch-14_2-0,600,0,600,0,600,,500.0,1099.0,,0,False,0,0,600,0,False,False,True,True,27
iotsim-domotic-monitor-2_0-0_to_OpenvSwitch-23_2-0,600,600,0,0,600,1099.0,,,,0,False,0,0,0,0,False,False,True,True,27
iotsim-domotic-monitor-3_0-0_to_OpenvSwitch-23_3-0,600,600,0,0,600,1099.0,,,,0,False,0,0,0,0,False,False,True,True,27
iotsim-domotic-monitor-4_0-0_to_OpenvSwitch-23_4-0,600,0,600,0,600,,500.0,1099.0,,0,False,0,0,600,0,False,False,True,True,27
iotsim-domotic-monitor-5_0-0_to_OpenvSwitch-23_5-0,600,600,0,0,600,1099.0,,,,0,False,0,0,0,0,False,False,True,True,27
processed/iotsim-building-monitor-2.csv,1690,1690,0,0,1690,1739.0,,,,0,False,0,0,0,0,False,False,True,True,27
processed/iotsim-building-monitor-3.csv,914,914,0,0,914,963.0,,,,0,False,0,0,0,0,False,False,True,True,27
processed/iotsim-city-power-1.csv,160,137,23,0,160,1148674.0,1574.0,1142111.0,,136,False,0,0,23,0,False,False,True,True,27
processed/iotsim-combined-cycle-10.csv,39,33,6,0,3168,32741.0,17672.0,20400.0,,27,False,0,0,3135,3129,False,False,True,True,27
processed/iotsim-combined-cycle-tls-3.csv,270,270,0,0,270,1940.0,,,,0,False,0,0,0,0,False,False,True,True,27
processed/iotsim-combined-cycle-tls-4.csv,270,270,0,0,270,1943.0,,,,0,False,0,0,0,0,False,False,True,True,27
processed/iotsim-combined-cycle-tls-5.csv,269,269,0,0,269,1940.0,,,,0,False,0,0,0,0,False,False,True,True,27
processed/iotsim-hydraulic-system-12.csv,601,0,0,601,601,,,,52.0,0,False,0,0,601,601,False,False,True,True,27
processed/iotsim-hydraulic-system-13.csv,597,0,0,597,597,,,,52.0,0,False,0,0,597,597,False,False,True,True,27
processed/iotsim-hydraulic-system-14.csv,598,0,0,598,598,,,,50.0,0,False,0,0,598,598,False,False,True,True,27
processed/iotsim-hydraulic-system-15.csv,601,0,0,601,601,,,,52.0,0,False,0,0,601,601,False,False,True,True,27
processed/iotsim-hydraulic-system-2.csv,603,0,0,603,603,,,,50.0,0,False,0,0,603,603,False,False,True,True,27
processed/iotsim-ip-camera-museum-1.csv,255,215,40,0,255,10138068.0,1589773.0,8457328.0,,212,False,0,0,40,0,False,False,True,True,27
