source_group,device_family,role,raw_source_path,events,target_offset,target_rows,packets_scanned_on_build,parse_errors_on_build,raw_label_column_read,source_identity_as_feature,current_event_inclusive,future_event_used,event_schema,raw_msg_sha256,target_event_positions_sha256,cache_file,cache_sha256
iotsim-combined-cycle-tls-2_0-0_to_OpenvSwitch-14_2-0,iotsim-combined-cycle-tls,aux_select,raw/benign/iotsim-combined-cycle-tls-2_0-0_to_OpenvSwitch-14_2-0.pcap,1100,500,600,1100,0,False,False,True,False,CKBE portable raw_msg9,259cbd8bf30019486ad79f13fa3922166341f1339df63941790be58cc53fdbd5,914f2ef31009a6f4f52167296cc60cbb1397332e99c5559281d733f01466482f,0944784b5a1c5894eb6e.npz,3e1be8d6e632adf24ed717466580d3e8a5dc71986e9ede01562d7a7ec05a56f1
iotsim-domotic-monitor-2_0-0_to_OpenvSwitch-23_2-0,iotsim-domotic-monitor,aux_fit,raw/benign/iotsim-domotic-monitor-2_0-0_to_OpenvSwitch-23_2-0.pcap,1100,500,600,1100,0,False,False,True,False,CKBE portable raw_msg9,e0bde297c86a57592fde518a9192c6a3a700a37b5c6c8cdb382cd0e4dbe3befe,914f2ef31009a6f4f52167296cc60cbb1397332e99c5559281d733f01466482f,677242db06cebbffff89.npz,4975b4f41d3bce35ffa136c60b31a94da5262b8c48552ca49492888db8fd356f
iotsim-domotic-monitor-3_0-0_to_OpenvSwitch-23_3-0,iotsim-domotic-monitor,aux_fit,raw/benign/iotsim-domotic-monitor-3_0-0_to_OpenvSwitch-23_3-0.pcap,1100,500,600,1100,0,False,False,True,False,CKBE portable raw_msg9,028acb3e91a78fa617bd95e48c2fbd3767d4040584b3cce9d7eafba8c848122f,914f2ef31009a6f4f52167296cc60cbb1397332e99c5559281d733f01466482f,7e90174d571e0b239a69.npz,4217c300a40496a04120b015823415eb541f42e1facb1bdb78589d6c88a2b36f
iotsim-domotic-monitor-4_0-0_to_OpenvSwitch-23_4-0,iotsim-domotic-monitor,aux_select,raw/benign/iotsim-domotic-monitor-4_0-0_to_OpenvSwitch-23_4-0.pcap,1100,500,600,1100,0,False,False,True,False,CKBE portable raw_msg9,9a89e980a7f2e44cb06acfe81af68ed43d2e2587ebd2f2c0edda7d9362f8d4b0,914f2ef31009a6f4f52167296cc60cbb1397332e99c5559281d733f01466482f,94b4978d5c556bcc1498.npz,efb05fce3a97b23f38c2b4fe2abb104278053d1a4e6a782287b241a0ba981724
iotsim-domotic-monitor-5_0-0_to_OpenvSwitch-23_5-0,iotsim-domotic-monitor,aux_fit,raw/benign/iotsim-domotic-monitor-5_0-0_to_OpenvSwitch-23_5-0.pcap,1100,500,600,1100,0,False,False,True,False,CKBE portable raw_msg9,265d3ea39ab0772171e92008b74934ebc43e5cbf5b109a422b9350ed79bccdc9,914f2ef31009a6f4f52167296cc60cbb1397332e99c5559281d733f01466482f,e14080670c5e82f3d4d1.npz,993eae5e8091b06d64b04e35d3312bdae2a9fbc45946abdb18a9ae7f27aba2e5
iotsim-predictive-maintenance-10_0-0_to_OpenvSwitch-19_10-0,iotsim-predictive-maintenance,aux_report,raw/benign/iotsim-predictive-maintenance-10_0-0_to_OpenvSwitch-19_10-0.pcap,1100,500,600,1100,0,False,False,True,False,CKBE portable raw_msg9,09ebe730e069ad37b2beb3df59dd9de6d6353f279c65ac85fba7e822fe93401c,914f2ef31009a6f4f52167296cc60cbb1397332e99c5559281d733f01466482f,5b9546f1176816fb4889.npz,80363f2662ddfac256350c4f44197d9e69d9b1c5707ee04b66f8a01476d6c7e7
iotsim-predictive-maintenance-11_0-0_to_OpenvSwitch-21_1-0,iotsim-predictive-maintenance,aux_report,raw/benign/iotsim-predictive-maintenance-11_0-0_to_OpenvSwitch-21_1-0.pcap,1100,500,600,1100,0,False,False,True,False,CKBE portable raw_msg9,6e270d70196160db7a4b5f1ad2f8e997a940a6d283446a520822df3cc3f5f1f1,914f2ef31009a6f4f52167296cc60cbb1397332e99c5559281d733f01466482f,ab465e600e5dac056e25.npz,4f5d380d121e3a8d86288d0e3f3acbfb021d48d762bde20e36d002156061c303
iotsim-predictive-maintenance-12_0-0_to_OpenvSwitch-21_2-0,iotsim-predictive-maintenance,aux_report,raw/benign/iotsim-predictive-maintenance-12_0-0_to_OpenvSwitch-21_2-0.pcap,1100,500,600,1100,0,False,False,True,False,CKBE portable raw_msg9,34494d931642633010440ab5a11382a69292accc3694a351dddd8ccaf114e5dd,914f2ef31009a6f4f52167296cc60cbb1397332e99c5559281d733f01466482f,ab198e033f31c27a1623.npz,b17abfca942f6420fd2867f79b99141203b9b69ecbd36f15c0928552d0e5bc23
iotsim-predictive-maintenance-13_0-0_to_OpenvSwitch-21_3-0,iotsim-predictive-maintenance,aux_report,raw/benign/iotsim-predictive-maintenance-13_0-0_to_OpenvSwitch-21_3-0.pcap,1100,500,600,1100,0,False,False,True,False,CKBE portable raw_msg9,143db9c0ea96c452296830e5ebc0f356e5fae14259f98fe65ac6348df0666edb,914f2ef31009a6f4f52167296cc60cbb1397332e99c5559281d733f01466482f,9fde500082a88276089e.npz,beeb5e1366e55e0c6fae3fb1f726291d13ea2a803a1b553ca81b515a66f05c69
iotsim-predictive-maintenance-14_0-0_to_OpenvSwitch-21_4-0,iotsim-predictive-maintenance,aux_report,raw/benign/iotsim-predictive-maintenance-14_0-0_to_OpenvSwitch-21_4-0.pcap,1100,500,600,1100,0,False,False,True,False,CKBE portable raw_msg9,9c387a97698bc33e058b60b686975216d7898126370e7924f602fb1f754a8892,914f2ef31009a6f4f52167296cc60cbb1397332e99c5559281d733f01466482f,061612188bf9c682b29a.npz,9b3719194afc597f66de5395dd80dde36ca5d9a911cd2f558d7224dca2ac21e0
iotsim-predictive-maintenance-15_0-0_to_OpenvSwitch-21_5-0,iotsim-predictive-maintenance,aux_report,raw/benign/iotsim-predictive-maintenance-15_0-0_to_OpenvSwitch-21_5-0.pcap,1100,500,600,1100,0,False,False,True,False,CKBE portable raw_msg9,e768912783e4a5b5d1bb904959da297ba9fe64b61d12c010fd3fb88c75625cb9,914f2ef31009a6f4f52167296cc60cbb1397332e99c5559281d733f01466482f,040f54f84477c69ee9a2.npz,496505cd43fdbb5ae917fb56654eb8914aa2cdbeaf6e5fae3d552b20a1dcf81e
iotsim-predictive-maintenance-1_0-0_to_OpenvSwitch-19_1-0,iotsim-predictive-maintenance,aux_report,raw/benign/iotsim-predictive-maintenance-1_0-0_to_OpenvSwitch-19_1-0.pcap,1100,500,600,1100,0,False,False,True,False,CKBE portable raw_msg9,192b3321dc29692a38c8735691254ae87bdbf3a433ac3c4f2f1a9d3ae58c2fb3,914f2ef31009a6f4f52167296cc60cbb1397332e99c5559281d733f01466482f,14a333c9a4bf7b6f8250.npz,004061bfe26adbc756e0abfb143984a8e1f0bcbdfd0254f1d8a2bbc3d4bb24a8
iotsim-predictive-maintenance-2_0-0_to_OpenvSwitch-19_2-0,iotsim-predictive-maintenance,aux_report,raw/benign/iotsim-predictive-maintenance-2_0-0_to_OpenvSwitch-19_2-0.pcap,1100,500,600,1100,0,False,False,True,False,CKBE portable raw_msg9,5ce3dfaef0a83ad0c7664c2359dd99ced040e39c5519b8a2d019ad21e8e9dae5,914f2ef31009a6f4f52167296cc60cbb1397332e99c5559281d733f01466482f,589c80aa7340a0e11517.npz,17d5fe25380e8ea4a7b8c8fc7471a9c91c05e54ec2c58e366ec4a5c26b5404f3
iotsim-predictive-maintenance-3_0-0_to_OpenvSwitch-19_3-0,iotsim-predictive-maintenance,aux_report,raw/benign/iotsim-predictive-maintenance-3_0-0_to_OpenvSwitch-19_3-0.pcap,1100,500,600,1100,0,False,False,True,False,CKBE portable raw_msg9,6e8e38553eb11c02d817316d01a40678d65e3c07e9307d4406ace88f16c21d19,914f2ef31009a6f4f52167296cc60cbb1397332e99c5559281d733f01466482f,784efff15adf8d586bc6.npz,9c46f5bc7b694c3c0cc27243b488b16ac192d7dbae71cdc6c26b605a0e1db020
iotsim-predictive-maintenance-4_0-0_to_OpenvSwitch-19_4-0,iotsim-predictive-maintenance,aux_report,raw/benign/iotsim-predictive-maintenance-4_0-0_to_OpenvSwitch-19_4-0.pcap,1100,500,600,1100,0,False,False,True,False,CKBE portable raw_msg9,72e8ca8924abe93f6735256c7adf3792bca4f766eeee8b1e5507a9f0d369e533,914f2ef31009a6f4f52167296cc60cbb1397332e99c5559281d733f01466482f,bfef319bf2bc1ccb46e9.npz,f2f2e4fe11d3c243b811d5fe4737f01b0be67f8b332b99bf8df202402f97f3d3
iotsim-predictive-maintenance-5_0-0_to_OpenvSwitch-19_5-0,iotsim-predictive-maintenance,aux_report,raw/benign/iotsim-predictive-maintenance-5_0-0_to_OpenvSwitch-19_5-0.pcap,1100,500,600,1100,0,False,False,True,False,CKBE portable raw_msg9,c3e1baaf82f97d1465884ddc0e9669ee7070ef49aca9fcfe5106444fb1775753,914f2ef31009a6f4f52167296cc60cbb1397332e99c5559281d733f01466482f,cc9d1a71fbdfaae1d74e.npz,99a9532bdb3d1305bc78235d03d61de27fb262e842ff5f2a8382dd6fd9de6bdf
iotsim-predictive-maintenance-6_0-0_to_OpenvSwitch-19_6-0,iotsim-predictive-maintenance,aux_report,raw/benign/iotsim-predictive-maintenance-6_0-0_to_OpenvSwitch-19_6-0.pcap,1100,500,600,1100,0,False,False,True,False,CKBE portable raw_msg9,bcc1e24a942bea1db8d1ebd36bedd071f04c454e9fe95b5cf9538d1e49f302f6,914f2ef31009a6f4f52167296cc60cbb1397332e99c5559281d733f01466482f,29a74ad76bd1f974ca6f.npz,356da9d9d9a97313cbb626f461c0906f09f8f0a5ad084eada2de2e7d9fb876b7
iotsim-predictive-maintenance-7_0-0_to_OpenvSwitch-19_7-0,iotsim-predictive-maintenance,aux_report,raw/benign/iotsim-predictive-maintenance-7_0-0_to_OpenvSwitch-19_7-0.pcap,1100,500,600,1100,0,False,False,True,False,CKBE portable raw_msg9,5bebd10286c51bbc76fdd8b8573309d0a0290991ca251e68568cc9ea7370274e,914f2ef31009a6f4f52167296cc60cbb1397332e99c5559281d733f01466482f,4fa5c2f39f1fbb52011f.npz,414d5fd10a441b7c07e32604f1d7967bfb4a43dfd5d2b2f372932781a6352d34
iotsim-predictive-maintenance-8_0-0_to_OpenvSwitch-19_8-0,iotsim-predictive-maintenance,aux_report,raw/benign/iotsim-predictive-maintenance-8_0-0_to_OpenvSwitch-19_8-0.pcap,1100,500,600,1100,0,False,False,True,False,CKBE portable raw_msg9,8c399429a9af27518958df388d6c1bd05024c9800418edfce2d15235bf884ca3,914f2ef31009a6f4f52167296cc60cbb1397332e99c5559281d733f01466482f,cc05dd99ea7f41260665.npz,146ff434e4393c8cb4e9f7f7a43dda9b2b03d41c544e7790c635c03286236d2c
iotsim-predictive-maintenance-9_0-0_to_OpenvSwitch-19_9-0,iotsim-predictive-maintenance,aux_report,raw/benign/iotsim-predictive-maintenance-9_0-0_to_OpenvSwitch-19_9-0.pcap,1100,500,600,1100,0,False,False,True,False,CKBE portable raw_msg9,9f6d36dac30bb14e2cab53b974bfa7b72fcf775dff149e23dd603e0a398f8aa5,914f2ef31009a6f4f52167296cc60cbb1397332e99c5559281d733f01466482f,eff2391dbbc591e25fce.npz,1543c5ad79c20c777b7afc3f464092243227a84dc40d7ef0dd4f20bd22fe42f9
