exact_attack_label,device_or_source_group,pcap_path,source_file,time_bin,unused_candidate_rows,timestamp_min,timestamp_max,selected_e64_rows,selected_e128_rows
Merlin UDP Flooding,city-power,raw/malicious/merlin/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,processed/iotsim-city-power-1.csv,1,308,1737132414.374353,1737132414.692553,1,2
Merlin UDP Flooding,city-power,raw/malicious/merlin/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,processed/iotsim-city-power-1.csv,2,308,1737132414.694496,1737132415.012432,1,2
Merlin UDP Flooding,city-power,raw/malicious/merlin/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,processed/iotsim-city-power-1.csv,3,308,1737132415.013824,1737132415.331329,1,2
Merlin UDP Flooding,ip-camera-museum,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,processed/iotsim-ip-camera-museum-1.csv,0,307,1737132244.487129,1737132244.813788,1,1
Merlin UDP Flooding,ip-camera-museum,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,processed/iotsim-ip-camera-museum-1.csv,1,307,1737132244.814819,1737132245.132785,1,1
Merlin UDP Flooding,ip-camera-museum,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,processed/iotsim-ip-camera-museum-1.csv,2,307,1737132245.133809,1737132245.450771,0,1
Merlin UDP Flooding,ip-camera-museum,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,processed/iotsim-ip-camera-museum-1.csv,3,306,1737132245.451797,1737132245.766689,0,1
Mirai C&C Communication,ip-camera-museum,raw/malicious/mirai-dos/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,processed/iotsim-ip-camera-museum-1.csv,0,60,1737830914.330047,1737831299.983161,1,2
Mirai C&C Communication,ip-camera-museum,raw/malicious/mirai-dos/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,processed/iotsim-ip-camera-museum-1.csv,1,59,1737831299.983198,1737831691.151233,1,2
Mirai C&C Communication,ip-camera-museum,raw/malicious/mirai-dos/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,processed/iotsim-ip-camera-museum-1.csv,2,60,1737831705.15939,1737832084.879069,1,2
Mirai C&C Communication,ip-camera-museum,raw/malicious/mirai-dos/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,processed/iotsim-ip-camera-museum-1.csv,3,59,1737832084.879094,1737832443.790809,1,2
Mirai GRE Flooding,city-power,raw/malicious/mirai-dos/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,processed/iotsim-city-power-1.csv,0,1991,1737827481.639226,1737827481.755581,1,2
Mirai GRE Flooding,city-power,raw/malicious/mirai-dos/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,processed/iotsim-city-power-1.csv,1,1990,1737827481.755587,1737827481.874472,1,2
Mirai GRE Flooding,city-power,raw/malicious/mirai-dos/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,processed/iotsim-city-power-1.csv,2,1991,1737827481.874479,1737827481.988978,1,2
Mirai GRE Flooding,city-power,raw/malicious/mirai-dos/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,processed/iotsim-city-power-1.csv,3,1990,1737827481.990238,1737827482.108033,1,2
Mirai GRE Flooding,ip-camera-museum,raw/malicious/mirai-dos/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,processed/iotsim-ip-camera-museum-1.csv,0,1990,1737832133.572586,1737832133.59718,1,2
Mirai GRE Flooding,ip-camera-museum,raw/malicious/mirai-dos/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,processed/iotsim-ip-camera-museum-1.csv,1,1989,1737832133.59719,1737832133.621262,1,2
Mirai GRE Flooding,ip-camera-museum,raw/malicious/mirai-dos/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,processed/iotsim-ip-camera-museum-1.csv,2,1990,1737832133.621279,1737832133.645185,1,2
Mirai GRE Flooding,ip-camera-museum,raw/malicious/mirai-dos/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,processed/iotsim-ip-camera-museum-1.csv,3,1989,1737832133.645197,1737832133.668745,1,2
Mirai TCP Flooding,city-power,raw/malicious/mirai-dos/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,processed/iotsim-city-power-1.csv,0,1990,1737827353.606119,1737827353.681897,1,2
Mirai TCP Flooding,city-power,raw/malicious/mirai-dos/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,processed/iotsim-city-power-1.csv,1,1990,1737827353.681912,1737827353.761802,1,2
Mirai TCP Flooding,city-power,raw/malicious/mirai-dos/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,processed/iotsim-city-power-1.csv,2,1990,1737827353.761816,1737827353.84872,1,2
Mirai TCP Flooding,city-power,raw/malicious/mirai-dos/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,processed/iotsim-city-power-1.csv,3,1989,1737827353.84874,1737827353.930934,1,2
Mirai TCP Flooding,ip-camera-museum,raw/malicious/mirai-dos/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,processed/iotsim-ip-camera-museum-1.csv,0,1991,1737832005.354821,1737832005.379593,1,2
Mirai TCP Flooding,ip-camera-museum,raw/malicious/mirai-dos/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,processed/iotsim-ip-camera-museum-1.csv,1,1990,1737832005.379611,1737832005.403036,1,2
Mirai TCP Flooding,ip-camera-museum,raw/malicious/mirai-dos/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,processed/iotsim-ip-camera-museum-1.csv,2,1990,1737832005.403053,1737832005.427088,1,2
Mirai TCP Flooding,ip-camera-museum,raw/malicious/mirai-dos/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,processed/iotsim-ip-camera-museum-1.csv,3,1990,1737832005.427106,1737832005.450414,1,2
Mirai UDP Flooding,city-power,raw/malicious/mirai-dos/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,processed/iotsim-city-power-1.csv,0,1992,1737827161.62369,1737827161.775952,1,2
Mirai UDP Flooding,city-power,raw/malicious/mirai-dos/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,processed/iotsim-city-power-1.csv,1,1991,1737827161.77596,1737827161.919434,1,2
Mirai UDP Flooding,city-power,raw/malicious/mirai-dos/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,processed/iotsim-city-power-1.csv,2,1992,1737827161.919441,1737827162.057754,1,2
Mirai UDP Flooding,city-power,raw/malicious/mirai-dos/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,processed/iotsim-city-power-1.csv,3,1991,1737827162.057762,1737827162.204027,1,2
Mirai UDP Flooding,ip-camera-museum,raw/malicious/mirai-dos/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,processed/iotsim-ip-camera-museum-1.csv,0,1989,1737831813.348653,1737831813.365697,1,2
Mirai UDP Flooding,ip-camera-museum,raw/malicious/mirai-dos/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,processed/iotsim-ip-camera-museum-1.csv,1,1988,1737831813.365704,1737831813.381257,1,2
Mirai UDP Flooding,ip-camera-museum,raw/malicious/mirai-dos/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,processed/iotsim-ip-camera-museum-1.csv,2,1989,1737831813.381264,1737831813.400132,1,2
Mirai UDP Flooding,ip-camera-museum,raw/malicious/mirai-dos/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,processed/iotsim-ip-camera-museum-1.csv,3,1988,1737831813.400141,1737831813.41634,1,2
