variant,exact_attack_label,prototype_rank,requested_prototypes,effective_prototypes,cluster_rows,sample_id,source_file,device_or_source_group,phase
B0_frozen512_two_medoid,Mirai UDP Flooding,1,2,2,24,support_000458,processed/iotsim-city-power-1.csv,city-power,tail_gt_10000
E64_nested_source_time_balanced,File Download,0,2,1,19,support_000017,processed/iotsim-combined-cycle-10.csv,combined-cycle,tail_gt_10000
E64_nested_source_time_balanced,Ingress Tool Transfer,0,2,2,10,support_000026,processed/iotsim-combined-cycle-10.csv,combined-cycle,tail_gt_10000
E64_nested_source_time_balanced,Ingress Tool Transfer,1,2,2,12,issue27cke_ext_0005,processed/iotsim-combined-cycle-10.csv,combined-cycle,tail_gt_10000
E64_nested_source_time_balanced,Merlin C&C Communication,0,2,1,36,support_000080,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,tail_gt_10000
E64_nested_source_time_balanced,Merlin ICMP Flooding,0,2,2,26,support_000101,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,tail_gt_10000
E64_nested_source_time_balanced,Merlin ICMP Flooding,1,2,2,25,support_000103,processed/iotsim-city-power-1.csv,city-power,tail_gt_10000
E64_nested_source_time_balanced,Merlin TCP Flooding,0,2,1,68,support_000149,processed/iotsim-city-power-1.csv,city-power,tail_gt_10000
E64_nested_source_time_balanced,Merlin UDP Flooding,0,2,2,21,support_000221,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,tail_gt_10000
E64_nested_source_time_balanced,Merlin UDP Flooding,1,2,2,15,support_000241,processed/iotsim-city-power-1.csv,city-power,tail_gt_10000
E64_nested_source_time_balanced,Mirai C&C Communication,0,1,1,13,issue27cke_ext_0036,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,tail_gt_10000
E64_nested_source_time_balanced,Mirai GRE Flooding,0,2,2,40,support_000337,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,tail_gt_10000
E64_nested_source_time_balanced,Mirai GRE Flooding,1,2,2,28,support_000306,processed/iotsim-city-power-1.csv,city-power,tail_gt_10000
E64_nested_source_time_balanced,Mirai TCP Flooding,0,2,2,42,issue27cke_ext_0052,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,tail_gt_10000
E64_nested_source_time_balanced,Mirai TCP Flooding,1,2,2,26,support_000354,processed/iotsim-city-power-1.csv,city-power,tail_gt_10000
E64_nested_source_time_balanced,Mirai UDP Flooding,0,2,2,40,support_000496,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,tail_gt_10000
E64_nested_source_time_balanced,Mirai UDP Flooding,1,2,2,28,support_000458,processed/iotsim-city-power-1.csv,city-power,tail_gt_10000
E128_nested_source_time_balanced,File Download,0,2,1,23,support_000017,processed/iotsim-combined-cycle-10.csv,combined-cycle,tail_gt_10000
E128_nested_source_time_balanced,Ingress Tool Transfer,0,2,2,11,support_000026,processed/iotsim-combined-cycle-10.csv,combined-cycle,tail_gt_10000
E128_nested_source_time_balanced,Ingress Tool Transfer,1,2,2,15,support_000020,processed/iotsim-combined-cycle-10.csv,combined-cycle,tail_gt_10000
E128_nested_source_time_balanced,Merlin C&C Communication,0,2,1,42,support_000080,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,tail_gt_10000
E128_nested_source_time_balanced,Merlin ICMP Flooding,0,2,1,59,issue27cke_ext_0037,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,tail_gt_10000
E128_nested_source_time_balanced,Merlin TCP Flooding,0,2,2,46,support_000157,processed/iotsim-city-power-1.csv,city-power,tail_gt_10000
E128_nested_source_time_balanced,Merlin TCP Flooding,1,2,2,30,issue27cke_ext_0057,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,tail_gt_10000
E128_nested_source_time_balanced,Merlin UDP Flooding,0,2,2,23,support_000221,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,tail_gt_10000
E128_nested_source_time_balanced,Merlin UDP Flooding,1,2,2,19,support_000225,processed/iotsim-city-power-1.csv,city-power,tail_gt_10000
E128_nested_source_time_balanced,Mirai C&C Communication,0,2,1,17,issue27cke_ext_0072,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,tail_gt_10000
E128_nested_source_time_balanced,Mirai GRE Flooding,0,2,2,47,issue27cke_ext_0094,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,tail_gt_10000
E128_nested_source_time_balanced,Mirai GRE Flooding,1,2,2,29,support_000306,processed/iotsim-city-power-1.csv,city-power,tail_gt_10000
E128_nested_source_time_balanced,Mirai TCP Flooding,0,2,2,42,issue27cke_ext_0100,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,tail_gt_10000
E128_nested_source_time_balanced,Mirai TCP Flooding,1,2,2,34,support_000362,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,tail_gt_10000
E128_nested_source_time_balanced,Mirai UDP Flooding,0,2,2,44,support_000496,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,tail_gt_10000
E128_nested_source_time_balanced,Mirai UDP Flooding,1,2,2,32,support_000458,processed/iotsim-city-power-1.csv,city-power,tail_gt_10000
