evidence_space,exact_attack_label,shell_scheme,core_radius,near_radius,uncertain_radius
S2_raw_family_balanced,Mirai C&C Communication,tight,3.2826712948187384,3.771699630035661,3.8467127282006763
S2_raw_family_balanced,Mirai C&C Communication,medium,3.7478004451632887,3.8467127282006763,3.8645387514512537
S2_raw_family_balanced,Mirai C&C Communication,wide,3.829396338338544,3.8645387514512537,3.8691973662367154
S2_raw_family_balanced,Mirai GRE Flooding,tight,2.70726830252603,3.568639198303672,3.6383756438007353
S2_raw_family_balanced,Mirai GRE Flooding,medium,3.511237806558661,3.6383756438007353,3.6384245172015124
S2_raw_family_balanced,Mirai GRE Flooding,wide,3.6383593842835267,3.6384245172015124,3.638464143821024
S2_raw_family_balanced,Mirai TCP Flooding,tight,2.7843305725054375,3.927718485457392,3.9474670233736
S2_raw_family_balanced,Mirai TCP Flooding,medium,3.920118112795804,3.9474670233736,3.9581051682113335
S2_raw_family_balanced,Mirai TCP Flooding,wide,3.9471183939617496,3.9581051682113335,4.082492949938485
S2_raw_family_balanced,Mirai UDP Flooding,tight,2.9856330039830095,3.1449260697421324,3.3600254790738573
S2_raw_family_balanced,Mirai UDP Flooding,medium,3.086199895157931,3.3600254790738573,3.3602607248222442
S2_raw_family_balanced,Mirai UDP Flooding,wide,3.3600254790738573,3.3602607248222442,3.360479771575809
S3_bounded_heavytail_family_balanced,File Download,tight,1.4168409223667935,1.5871917707218495,1.9150656864708446
S3_bounded_heavytail_family_balanced,File Download,medium,1.682701779676025,1.9150656864708446,2.0991793735561064
S3_bounded_heavytail_family_balanced,File Download,wide,1.9616015294002005,2.0991793735561064,2.1718130583727167
S3_bounded_heavytail_family_balanced,Ingress Tool Transfer,tight,2.233954228136734,2.4722281305292078,2.4996031935575824
S3_bounded_heavytail_family_balanced,Ingress Tool Transfer,medium,2.4928901560064847,2.4996031935575824,2.638686019521873
S3_bounded_heavytail_family_balanced,Ingress Tool Transfer,wide,2.538083203678514,2.638686019521873,2.650986865136997
S3_bounded_heavytail_family_balanced,Merlin C&C Communication,tight,2.300937176372791,2.4668165839230074,2.544765805002504
S3_bounded_heavytail_family_balanced,Merlin C&C Communication,medium,2.4699738205851016,2.544765805002504,2.6324230842159855
S3_bounded_heavytail_family_balanced,Merlin C&C Communication,wide,2.549370214063168,2.6324230842159855,2.6363510572258404
S3_bounded_heavytail_family_balanced,Merlin ICMP Flooding,tight,1.7392992538499104,1.826352205198258,1.9956321717674694
S3_bounded_heavytail_family_balanced,Merlin ICMP Flooding,medium,1.9744707645216812,1.9956321717674694,2.084923527558654
S3_bounded_heavytail_family_balanced,Merlin ICMP Flooding,wide,2.0118009827545347,2.084923527558654,2.095078408760552
S3_bounded_heavytail_family_balanced,Merlin TCP Flooding,tight,2.258028143222262,2.4224773955719634,2.505473443470095
S3_bounded_heavytail_family_balanced,Merlin TCP Flooding,medium,2.4541293832518694,2.505473443470095,2.6177356925053985
S3_bounded_heavytail_family_balanced,Merlin TCP Flooding,wide,2.574767034280897,2.6177356925053985,2.7326571758694937
S3_bounded_heavytail_family_balanced,Merlin UDP Flooding,tight,2.1274177365658833,2.2964152732988357,2.317290498815583
S3_bounded_heavytail_family_balanced,Merlin UDP Flooding,medium,2.2949517836380493,2.317290498815583,2.410567409327036
S3_bounded_heavytail_family_balanced,Merlin UDP Flooding,wide,2.317290498815583,2.410567409327036,2.411940370948659
S3_bounded_heavytail_family_balanced,Mirai C&C Communication,tight,2.089673518147241,2.3070602205945927,2.321802327649997
S3_bounded_heavytail_family_balanced,Mirai C&C Communication,medium,2.2173437650156886,2.321802327649997,2.330909690768851
S3_bounded_heavytail_family_balanced,Mirai C&C Communication,wide,2.325322587027939,2.330909690768851,2.333250953288852
S3_bounded_heavytail_family_balanced,Mirai GRE Flooding,tight,1.9198199819181152,2.1643171361633637,2.1699652543544232
S3_bounded_heavytail_family_balanced,Mirai GRE Flooding,medium,2.164388126715786,2.1699652543544232,2.1866611443745096
S3_bounded_heavytail_family_balanced,Mirai GRE Flooding,wide,2.170358991963224,2.1866611443745096,2.1911430853692453
S3_bounded_heavytail_family_balanced,Mirai TCP Flooding,tight,2.1365261370814177,2.4403622226428796,2.4600650110596063
S3_bounded_heavytail_family_balanced,Mirai TCP Flooding,medium,2.4403622226428796,2.4600650110596063,2.461468592915005
S3_bounded_heavytail_family_balanced,Mirai TCP Flooding,wide,2.460633920655233,2.461468592915005,2.479676125335459
S3_bounded_heavytail_family_balanced,Mirai UDP Flooding,tight,1.311417273687686,1.6129674189777097,1.6407467126087412
S3_bounded_heavytail_family_balanced,Mirai UDP Flooding,medium,1.5582222548938487,1.6407467126087412,1.7092137069950815
S3_bounded_heavytail_family_balanced,Mirai UDP Flooding,wide,1.632672387536477,1.7092137069950815,1.720989283164031
