role,frame_phase,m1_phase,held_value,eligible_role_rows,frozen_target_rows,outside_frozen_target_cohort,target_alignment_incomplete,requested_rows,cache_aligned_rows,unmapped_rows,label_for_metric_only,report,protocol_run,seed,held_family_rows_removed,held_family_rows_retained,fit_select_use_count
ood_stress,select,select,iotsim-stream-consumer,0,0,0,0,0,0,0,0,False,iotsim-stream-consumer,27,,,
id_calib,select,report,iotsim-stream-consumer,0,0,0,0,0,0,0,0,True,iotsim-stream-consumer,27,,,
ood_val,select,report,iotsim-stream-consumer,0,0,0,0,0,0,0,0,True,iotsim-stream-consumer,27,,,
ood_stress,select,report,iotsim-stream-consumer,79950,3000,76950,0,79950,3000,76950,0,True,iotsim-stream-consumer,27,,,
same_file_query,all,report,iotsim-stream-consumer,0,0,0,0,0,0,0,1,True,iotsim-stream-consumer,27,,,
future_query,all,report,iotsim-stream-consumer,0,0,0,0,0,0,0,1,True,iotsim-stream-consumer,27,,,
sealed_final_ood,report_only,report,iotsim-stream-consumer,0,0,0,0,0,0,0,0,True,iotsim-stream-consumer,27,,,
sealed_final_attack,report_only,report,iotsim-stream-consumer,0,0,0,0,0,0,0,1,True,iotsim-stream-consumer,27,,,
aux_fit,fit,fit,iotsim-stream-consumer,6600,6600,0,0,6600,6600,0,0,False,iotsim-stream-consumer,27,0.0,0.0,
aux_select,select,select,iotsim-stream-consumer,3000,3000,0,0,3000,3000,0,0,False,iotsim-stream-consumer,27,0.0,0.0,
support_train,fit,fit,iotsim-hydraulic-system,385,385,0,0,385,385,0,1,False,iotsim-hydraulic-system,27,,,
id_calib,fit,fit,iotsim-hydraulic-system,809,809,0,0,809,809,0,0,False,iotsim-hydraulic-system,27,,,
ood_val,fit,fit,iotsim-hydraulic-system,2604,2604,0,0,2604,2604,0,0,False,iotsim-hydraulic-system,27,,,
ood_stress,fit,fit,iotsim-hydraulic-system,0,0,0,0,0,0,0,0,False,iotsim-hydraulic-system,27,,,
support_val,select,select,iotsim-hydraulic-system,69,69,0,0,69,69,0,1,False,iotsim-hydraulic-system,27,,,
id_calib,select,select,iotsim-hydraulic-system,0,0,0,0,0,0,0,0,False,iotsim-hydraulic-system,27,,,
ood_val,select,select,iotsim-hydraulic-system,0,0,0,0,0,0,0,0,False,iotsim-hydraulic-system,27,,,
ood_stress,select,select,iotsim-hydraulic-system,0,0,0,0,0,0,0,0,False,iotsim-hydraulic-system,27,,,
id_calib,select,report,iotsim-hydraulic-system,0,0,0,0,0,0,0,0,True,iotsim-hydraulic-system,27,,,
ood_val,select,report,iotsim-hydraulic-system,12205,3000,9205,0,12205,3000,9205,0,True,iotsim-hydraulic-system,27,,,
ood_stress,select,report,iotsim-hydraulic-system,0,0,0,0,0,0,0,0,True,iotsim-hydraulic-system,27,,,
same_file_query,all,report,iotsim-hydraulic-system,0,0,0,0,0,0,0,1,True,iotsim-hydraulic-system,27,,,
future_query,all,report,iotsim-hydraulic-system,0,0,0,0,0,0,0,1,True,iotsim-hydraulic-system,27,,,
sealed_final_ood,report_only,report,iotsim-hydraulic-system,0,0,0,0,0,0,0,0,True,iotsim-hydraulic-system,27,,,
sealed_final_attack,report_only,report,iotsim-hydraulic-system,0,0,0,0,0,0,0,1,True,iotsim-hydraulic-system,27,,,
aux_fit,fit,fit,iotsim-hydraulic-system,6600,6600,0,0,6600,6600,0,0,False,iotsim-hydraulic-system,27,0.0,0.0,
aux_select,select,select,iotsim-hydraulic-system,3000,3000,0,0,3000,3000,0,0,False,iotsim-hydraulic-system,27,0.0,0.0,
