seed,role,rows,file_count,device_hint_count,attack_type_count,phase_count,top_files,top_device_hints,top_attack_types,phase_distribution,packet_index_min,packet_index_max,recorded_index_min,recorded_index_max,timestamp_min,timestamp_max,role_hash
43,medium_support_val,16,2,2,1,2,processed/iotsim-combined-cycle-10.csv:12|processed/iotsim-air-quality-1.csv:4,combined-cycle:12|air-quality:4,mirai-infection:16,early_50_499:9|mid_500_1999:7,1016,2664,50,777,1737235782.515852,1737235819.411625,b218ae6f8c58f54716a44a2a58675ae3c0dea70bfa80be6eb8e0cb3cc89338cf
43,medium_pseudo_query_dev,66,1,1,1,2,processed/iotsim-city-power-1.csv:66,city-power:66,mirai-infection:66,early_50_499:39|mid_500_1999:27,1000,1647,137,784,1737235788.759564,1737235806.090241,02db849f69b5de5a134ce31dc10d62a5e29ea49cdefba0adaffc57682450d12f
43,medium_attack_eval_report_only,2250,3,3,1,2,processed/iotsim-building-monitor-1.csv:750|processed/iotsim-combined-cycle-1.csv:750|processed/iotsim-domotic-monitor-1.csv:750,building-monitor:750|combined-cycle:750|domotic-monitor:750,mirai-infection:2250,early_50_499:1350|mid_500_1999:900,1092,2815,50,799,1737235765.292268,1737235819.547685,f0cbd95585704bc4f57192a291562f9981808313fe13ec3d21b4e0be5b2d8d39
43,heavy_active_candidate_stream,2000,2,2,1,3,processed/iotsim-ip-camera-museum-1.csv:1000|processed/iotsim-ip-camera-street-1.csv:1000,ip-camera-museum:1000|ip-camera-street:1000,mirai-infection:2000,mid_500_1999:1000|early_50_499:900|warmup_edge_0_49:100,413113,645552,0,999,1737235770.488062,1737235806.429164,288e27a4dee22b578ec82c5d7d947aabc4d51f86342322178a8222e046050596
43,heavy_support_train,21,1,1,1,3,processed/iotsim-ip-camera-museum-1.csv:21,ip-camera-museum:21,mirai-infection:21,mid_500_1999:10|early_50_499:8|warmup_edge_0_49:3,644565,645552,12,999,1737235770.53333,1737235775.169301,1da58ab246f168331f3fcdb6ce724d4f08999d7596eafc9c21958b29c3176c11
43,heavy_support_val,8,1,1,1,3,processed/iotsim-ip-camera-museum-1.csv:8,ip-camera-museum:8,mirai-infection:8,early_50_499:4|mid_500_1999:3|warmup_edge_0_49:1,644600,645478,47,925,1737235770.671381,1737235774.856025,f27552230f269d786d76f3e82b3b3ca0ce0d9189bacefef9d20955a103c8335f
43,heavy_pseudo_query_dev,35,1,1,1,3,processed/iotsim-ip-camera-street-1.csv:35,ip-camera-street:35,mirai-infection:35,mid_500_1999:20|early_50_499:14|warmup_edge_0_49:1,413120,414078,7,965,1737235801.028257,1737235806.298069,c660c54413e43d408b3fea2e477008555618167f2780906a72fecbbf83cb456c
43,dev_heavy_query_report_only,4000,2,2,1,2,processed/iotsim-ip-camera-museum-1.csv:2000|processed/iotsim-ip-camera-street-1.csv:2000,ip-camera-museum:2000|ip-camera-street:2000,mirai-infection:4000,mid_500_1999:2000|late_2000_9999:2000,414113,647552,1000,2999,1737235775.169319,1737235824.563408,18927197593e154054437fe1291e8c4b467c0171815dc5a6005bea5618e3ff5f
44,medium_support_train,70,2,2,1,2,processed/iotsim-city-power-1.csv:48|processed/iotsim-air-quality-1.csv:22,city-power:48|air-quality:22,mirai-infection:70,mid_500_1999:37|early_50_499:33,1000,2770,120,747,1737235788.759564,1737235822.21797,7a6ac21ba47ff575c6ae657789a10a7cca29c0c6be1ff01a43db6e5091519294
44,medium_support_val,24,2,2,1,2,processed/iotsim-city-power-1.csv:18|processed/iotsim-air-quality-1.csv:6,city-power:18|air-quality:6,mirai-infection:24,early_50_499:14|mid_500_1999:10,1001,2829,118,797,1737235788.759609,1737235824.155908,431874c7ba8bdb28835df47eb66cac2c320766617072eedf13c9df196249d91c
44,medium_pseudo_query_dev,34,1,1,1,2,processed/iotsim-combined-cycle-10.csv:34,combined-cycle:34,mirai-infection:34,early_50_499:25|mid_500_1999:9,1016,1750,50,784,1737235782.515852,1737235810.080901,6202c8736e9da5ea789dc4c95fc1bee84b52ebc736ccd7a9d089e710825be641
44,medium_attack_eval_report_only,2250,3,3,1,2,processed/iotsim-building-monitor-1.csv:750|processed/iotsim-combined-cycle-1.csv:750|processed/iotsim-domotic-monitor-1.csv:750,building-monitor:750|combined-cycle:750|domotic-monitor:750,mirai-infection:2250,early_50_499:1350|mid_500_1999:900,1092,2815,50,799,1737235765.292268,1737235819.547685,f0cbd95585704bc4f57192a291562f9981808313fe13ec3d21b4e0be5b2d8d39
44,heavy_active_candidate_stream,2000,2,2,1,3,processed/iotsim-ip-camera-museum-1.csv:1000|processed/iotsim-ip-camera-street-1.csv:1000,ip-camera-museum:1000|ip-camera-street:1000,mirai-infection:2000,mid_500_1999:1000|early_50_499:900|warmup_edge_0_49:100,413113,645552,0,999,1737235770.488062,1737235806.429164,288e27a4dee22b578ec82c5d7d947aabc4d51f86342322178a8222e046050596
44,heavy_support_train,24,1,1,1,2,processed/iotsim-ip-camera-street-1.csv:24,ip-camera-street:24,mirai-infection:24,early_50_499:12|mid_500_1999:12,413163,414087,50,974,1737235801.353573,1737235806.29821,09eef98ac8149de324e662b088214d2957f1a5fb05003f4a05e3c70be2eb50cf
44,heavy_support_val,9,1,1,1,3,processed/iotsim-ip-camera-street-1.csv:9,ip-camera-street:9,mirai-infection:9,mid_500_1999:7|warmup_edge_0_49:1|early_50_499:1,413120,413873,7,760,1737235801.028257,1737235805.296708,8e305f74a272bc5ebdcfedfc81045f7e8d423da08e54a9db0ecc4c3bd277d0a7
44,heavy_pseudo_query_dev,31,1,1,1,3,processed/iotsim-ip-camera-museum-1.csv:31,ip-camera-museum:31,mirai-infection:31,early_50_499:16|mid_500_1999:12|warmup_edge_0_49:3,644567,645472,14,919,1737235770.533357,1737235774.815525,b00c8b30ee3f4e9a9889713a57bf1f3d6357736eb889193e725314d4ad9c3bce
44,dev_heavy_query_report_only,4000,2,2,1,2,processed/iotsim-ip-camera-museum-1.csv:2000|processed/iotsim-ip-camera-street-1.csv:2000,ip-camera-museum:2000|ip-camera-street:2000,mirai-infection:4000,mid_500_1999:2000|late_2000_9999:2000,414113,647552,1000,2999,1737235775.169319,1737235824.563408,18927197593e154054437fe1291e8c4b467c0171815dc5a6005bea5618e3ff5f
45,medium_support_train,75,2,2,1,2,processed/iotsim-city-power-1.csv:50|processed/iotsim-combined-cycle-10.csv:25,city-power:50|combined-cycle:25,mirai-infection:75,early_50_499:45|mid_500_1999:30,1000,1750,50,784,1737235782.515852,1737235810.080901,318a468d65be2ae15215ed3d8a088676f19b89eead9074bad84017fb1e7b82af
45,medium_support_val,25,2,2,1,2,processed/iotsim-city-power-1.csv:16|processed/iotsim-combined-cycle-10.csv:9,city-power:16|combined-cycle:9,mirai-infection:25,early_50_499:19|mid_500_1999:6,1001,1715,138,784,1737235786.841939,1737235808.22082,60496313b9910caac67fbe6a404a4eed4f02e09f996629d67f1be7d9873fa5d6
45,medium_pseudo_query_dev,28,1,1,1,2,processed/iotsim-air-quality-1.csv:28,air-quality:28,mirai-infection:28,mid_500_1999:20|early_50_499:8,2150,2829,118,797,1737235797.57439,1737235824.155908,a9adc52ddbd75db5abf8b6e96cb3f31a3c947d3d6ec2fabfb81b3e207181853a
45,medium_attack_eval_report_only,2250,3,3,1,2,processed/iotsim-building-monitor-1.csv:750|processed/iotsim-combined-cycle-1.csv:750|processed/iotsim-domotic-monitor-1.csv:750,building-monitor:750|combined-cycle:750|domotic-monitor:750,mirai-infection:2250,early_50_499:1350|mid_500_1999:900,1092,2815,50,799,1737235765.292268,1737235819.547685,f0cbd95585704bc4f57192a291562f9981808313fe13ec3d21b4e0be5b2d8d39
45,heavy_active_candidate_stream,2000,2,2,1,3,processed/iotsim-ip-camera-museum-1.csv:1000|processed/iotsim-ip-camera-street-1.csv:1000,ip-camera-museum:1000|ip-camera-street:1000,mirai-infection:2000,mid_500_1999:1000|early_50_499:900|warmup_edge_0_49:100,413113,645552,0,999,1737235770.488062,1737235806.429164,288e27a4dee22b578ec82c5d7d947aabc4d51f86342322178a8222e046050596
45,heavy_support_train,23,1,1,1,3,processed/iotsim-ip-camera-museum-1.csv:23,ip-camera-museum:23,mirai-infection:23,mid_500_1999:12|early_50_499:10|warmup_edge_0_49:1,644599,645552,46,999,1737235770.671332,1737235775.169301,b405b66380c2cd39a0f62e57f3bf81b3ec659d2bbd4343d3af1e8b442dc729dd
45,heavy_support_val,8,1,1,1,3,processed/iotsim-ip-camera-museum-1.csv:8,ip-camera-museum:8,mirai-infection:8,early_50_499:6|warmup_edge_0_49:1|mid_500_1999:1,644567,645168,14,615,1737235770.533357,1737235773.209681,a44257b77a45016b7fb82314f7c86055fc204420bfcaa8a36ad690f472c04bc2
45,heavy_pseudo_query_dev,33,1,1,1,3,processed/iotsim-ip-camera-street-1.csv:33,ip-camera-street:33,mirai-infection:33,mid_500_1999:18|early_50_499:14|warmup_edge_0_49:1,413120,414082,7,969,1737235801.028257,1737235806.298133,c4fe8b9bfe889f1b9cac664491060a0df4245ed2b0397120bc2ac0b924e943c9
45,dev_heavy_query_report_only,4000,2,2,1,2,processed/iotsim-ip-camera-museum-1.csv:2000|processed/iotsim-ip-camera-street-1.csv:2000,ip-camera-museum:2000|ip-camera-street:2000,mirai-infection:4000,mid_500_1999:2000|late_2000_9999:2000,414113,647552,1000,2999,1737235775.169319,1737235824.563408,18927197593e154054437fe1291e8c4b467c0171815dc5a6005bea5618e3ff5f
46,medium_support_train,46,2,2,1,2,processed/iotsim-combined-cycle-10.csv:24|processed/iotsim-air-quality-1.csv:22,combined-cycle:24|air-quality:22,mirai-infection:46,early_50_499:23|mid_500_1999:23,1016,2829,50,797,1737235782.515852,1737235824.155908,c45f3480b7e5cd5c9209915aa7105dd9b9f760425906e199e432c6b02c16545b
46,medium_support_val,16,2,2,1,2,processed/iotsim-combined-cycle-10.csv:10|processed/iotsim-air-quality-1.csv:6,combined-cycle:10|air-quality:6,mirai-infection:16,early_50_499:10|mid_500_1999:6,1171,2734,120,777,1737235788.149607,1737235821.595158,129a053608ce663924b5ee0ba1c92f506a3579fa84a9d254ffd795b95314dcfd
46,medium_pseudo_query_dev,66,1,1,1,2,processed/iotsim-city-power-1.csv:66,city-power:66,mirai-infection:66,early_50_499:39|mid_500_1999:27,1000,1647,137,784,1737235788.759564,1737235806.090241,02db849f69b5de5a134ce31dc10d62a5e29ea49cdefba0adaffc57682450d12f
46,medium_attack_eval_report_only,2250,3,3,1,2,processed/iotsim-building-monitor-1.csv:750|processed/iotsim-combined-cycle-1.csv:750|processed/iotsim-domotic-monitor-1.csv:750,building-monitor:750|combined-cycle:750|domotic-monitor:750,mirai-infection:2250,early_50_499:1350|mid_500_1999:900,1092,2815,50,799,1737235765.292268,1737235819.547685,f0cbd95585704bc4f57192a291562f9981808313fe13ec3d21b4e0be5b2d8d39
46,heavy_active_candidate_stream,2000,2,2,1,3,processed/iotsim-ip-camera-museum-1.csv:1000|processed/iotsim-ip-camera-street-1.csv:1000,ip-camera-museum:1000|ip-camera-street:1000,mirai-infection:2000,mid_500_1999:1000|early_50_499:900|warmup_edge_0_49:100,413113,645552,0,999,1737235770.488062,1737235806.429164,288e27a4dee22b578ec82c5d7d947aabc4d51f86342322178a8222e046050596
46,heavy_support_train,21,1,1,1,3,processed/iotsim-ip-camera-street-1.csv:21,ip-camera-street:21,mirai-infection:21,mid_500_1999:13|early_50_499:7|warmup_edge_0_49:1,413116,414077,3,964,1737235800.990427,1737235806.298056,ce9e1751632c27ca577ec5024ee9181d4b02db142fc53108f45c5c92eb224a52
46,heavy_support_val,8,1,1,1,3,processed/iotsim-ip-camera-street-1.csv:8,ip-camera-street:8,mirai-infection:8,mid_500_1999:4|early_50_499:3|warmup_edge_0_49:1,413120,413778,7,665,1737235801.028257,1737235804.761863,f4bbb5567d21c1c0108aa0846be8039ba1b4f79ad8367a0246fe4f5d10efaa3f
46,heavy_pseudo_query_dev,35,1,1,1,3,processed/iotsim-ip-camera-museum-1.csv:35,ip-camera-museum:35,mirai-infection:35,mid_500_1999:16|early_50_499:14|warmup_edge_0_49:5,644554,645409,1,856,1737235770.48812,1737235774.532631,c544f1a48e72abf6995a501bacea49ff6b4d0074026485b8f69d7a7a4a6c6a78
46,dev_heavy_query_report_only,4000,2,2,1,2,processed/iotsim-ip-camera-museum-1.csv:2000|processed/iotsim-ip-camera-street-1.csv:2000,ip-camera-museum:2000|ip-camera-street:2000,mirai-infection:4000,mid_500_1999:2000|late_2000_9999:2000,414113,647552,1000,2999,1737235775.169319,1737235824.563408,18927197593e154054437fe1291e8c4b467c0171815dc5a6005bea5618e3ff5f
