role,csv_member,pcap_member,device,protocol,csv_total_rows,csv_benign_rows,csv_attack_rows,pcap_uncompressed_size,observed_in_issue27bx,observed_target_rows,observed_emitted_rows,observed_packets_scanned,verified_available_lower_bound_rows,planning_capacity_rows,estimate_source,issue27bx_shortfall_rows,completed_issue27bx_target,report_only_role,sealed_final_role,allowed_as_same_role_fallback,notes
id_benign_calib,processed/iotsim-predictive-maintenance-6.csv,raw/benign/iotsim-predictive-maintenance-6_0-0_to_OpenvSwitch-19_6-0.pcap,predictive-maintenance,mqtt,13726,13726,0,1817205,false,0,0,0,0,13726,file_manifest_upper_bound_unverified_by_115d,0,,false,false,true,same_role_only_fallback_candidate
id_benign_calib,processed/iotsim-predictive-maintenance-7.csv,raw/benign/iotsim-predictive-maintenance-7_0-0_to_OpenvSwitch-19_7-0.pcap,predictive-maintenance,mqtt,13724,13724,0,1816997,false,0,0,0,0,13724,file_manifest_upper_bound_unverified_by_115d,0,,false,false,true,same_role_only_fallback_candidate
id_benign_calib,processed/iotsim-predictive-maintenance-8.csv,raw/benign/iotsim-predictive-maintenance-8_0-0_to_OpenvSwitch-19_8-0.pcap,predictive-maintenance,mqtt,13721,13721,0,1817083,false,0,0,0,0,13721,file_manifest_upper_bound_unverified_by_115d,0,,false,false,true,same_role_only_fallback_candidate
id_benign_calib,processed/iotsim-predictive-maintenance-9.csv,raw/benign/iotsim-predictive-maintenance-9_0-0_to_OpenvSwitch-19_9-0.pcap,predictive-maintenance,mqtt,13711,13711,0,1815189,false,0,0,0,0,13711,file_manifest_upper_bound_unverified_by_115d,0,,false,false,true,same_role_only_fallback_candidate
id_benign_calib,processed/iotsim-combined-cycle-tls-3.csv,raw/benign/iotsim-combined-cycle-tls-3_0-0_to_OpenvSwitch-14_3-0.pcap,combined-cycle-tls,coap,1944,1944,0,270607,true,1944,1944,1945,1944,1944,issue27bx_completed_target_plus_file_manifest_upper_bound,0,true,false,false,true,same_role_only_fallback_candidate
id_benign_calib,processed/iotsim-combined-cycle-tls-4.csv,raw/benign/iotsim-combined-cycle-tls-4_0-0_to_OpenvSwitch-14_4-0.pcap,combined-cycle-tls,coap,1944,1944,0,270637,true,1944,1944,1945,1944,1944,issue27bx_completed_target_plus_file_manifest_upper_bound,0,true,false,false,true,same_role_only_fallback_candidate
id_benign_calib,processed/iotsim-combined-cycle-tls-5.csv,raw/benign/iotsim-combined-cycle-tls-5_0-0_to_OpenvSwitch-14_5-0.pcap,combined-cycle-tls,coap,1944,1944,0,270534,true,1944,1944,1945,1944,1944,issue27bx_completed_target_plus_file_manifest_upper_bound,0,true,false,false,true,same_role_only_fallback_candidate
ood_benign_val,processed/iotsim-hydraulic-system-1.csv,raw/benign/iotsim-hydraulic-system-15_0-0_to_OpenvSwitch-16_5-0.pcap,hydraulic-system,mqtt,17432,17432,0,1313678,true,9097,3869,3869,3869,3869,verified_issue27bx_shortfall_available_exact_or_lower_bound,5228,false,false,false,true,same_role_only_fallback_candidate
ood_benign_val,processed/iotsim-hydraulic-system-10.csv,raw/benign/iotsim-hydraulic-system-10_0-0_to_OpenvSwitch-15_10-0.pcap,hydraulic-system,mqtt,2506,2506,0,1293344,true,1307,1307,1308,1307,2506,issue27bx_completed_target_plus_file_manifest_upper_bound,0,true,false,false,true,same_role_only_fallback_candidate
ood_benign_val,processed/iotsim-hydraulic-system-11.csv,raw/benign/iotsim-hydraulic-system-11_0-0_to_OpenvSwitch-16_1-0.pcap,hydraulic-system,tls,2466,2466,0,1311490,true,1286,1286,1287,1286,2466,issue27bx_completed_target_plus_file_manifest_upper_bound,0,true,false,false,true,same_role_only_fallback_candidate
ood_benign_val,processed/iotsim-hydraulic-system-12.csv,raw/benign/iotsim-hydraulic-system-12_0-0_to_OpenvSwitch-16_2-0.pcap,hydraulic-system,tls,2496,2496,0,1312004,true,1302,1302,1303,1302,2496,issue27bx_completed_target_plus_file_manifest_upper_bound,0,true,false,false,true,same_role_only_fallback_candidate
ood_benign_val,processed/iotsim-hydraulic-system-13.csv,raw/benign/iotsim-hydraulic-system-13_0-0_to_OpenvSwitch-16_3-0.pcap,hydraulic-system,tls,2481,2481,0,1303556,true,1294,1294,1295,1294,2481,issue27bx_completed_target_plus_file_manifest_upper_bound,0,true,false,false,true,same_role_only_fallback_candidate
ood_benign_val,processed/iotsim-hydraulic-system-14.csv,raw/benign/iotsim-hydraulic-system-14_0-0_to_OpenvSwitch-16_4-0.pcap,hydraulic-system,tls,2481,2481,0,1304494,true,1294,1294,1295,1294,2481,issue27bx_completed_target_plus_file_manifest_upper_bound,0,true,false,false,true,same_role_only_fallback_candidate
ood_benign_val,processed/iotsim-hydraulic-system-15.csv,raw/benign/iotsim-hydraulic-system-15_0-0_to_OpenvSwitch-16_5-0.pcap,hydraulic-system,tls,2496,2496,0,1313678,true,1302,1302,1303,1302,2496,issue27bx_completed_target_plus_file_manifest_upper_bound,0,true,false,false,true,same_role_only_fallback_candidate
ood_benign_val,processed/iotsim-hydraulic-system-2.csv,raw/benign/iotsim-hydraulic-system-2_0-0_to_OpenvSwitch-15_2-0.pcap,hydraulic-system,mqtt,2501,2501,0,1287122,true,1304,1304,1305,1304,2501,issue27bx_completed_target_plus_file_manifest_upper_bound,0,true,false,false,true,same_role_only_fallback_candidate
ood_benign_val,processed/iotsim-building-monitor-2.csv,raw/benign/iotsim-building-monitor-2_0-0_to_OpenvSwitch-28_2-0.pcap,building-monitor,mqtt,1740,1740,0,242979,true,907,907,908,907,1740,issue27bx_completed_target_plus_file_manifest_upper_bound,0,true,false,false,true,same_role_only_fallback_candidate
ood_benign_val,processed/iotsim-building-monitor-3.csv,raw/benign/iotsim-building-monitor-3_0-0_to_OpenvSwitch-28_3-0.pcap,building-monitor,mqtt,1740,1740,0,242429,true,907,907,908,907,1740,issue27bx_completed_target_plus_file_manifest_upper_bound,0,true,false,false,true,same_role_only_fallback_candidate
ood_benign_stress,processed/iotsim-hydraulic-system-3.csv,raw/benign/iotsim-hydraulic-system-3_0-0_to_OpenvSwitch-15_3-0.pcap,hydraulic-system,mqtt,2499,2499,0,1293268,true,91,91,92,91,2499,issue27bx_completed_target_plus_file_manifest_upper_bound,0,true,false,false,true,same_role_only_fallback_candidate
ood_benign_stress,processed/iotsim-hydraulic-system-4.csv,raw/benign/iotsim-hydraulic-system-4_0-0_to_OpenvSwitch-15_4-0.pcap,hydraulic-system,mqtt,2511,2511,0,1293254,true,92,92,93,92,2511,issue27bx_completed_target_plus_file_manifest_upper_bound,0,true,false,false,true,same_role_only_fallback_candidate
ood_benign_stress,processed/iotsim-hydraulic-system-5.csv,raw/benign/iotsim-hydraulic-system-5_0-0_to_OpenvSwitch-15_5-0.pcap,hydraulic-system,mqtt,2503,2503,0,1294454,true,91,91,92,91,2503,issue27bx_completed_target_plus_file_manifest_upper_bound,0,true,false,false,true,same_role_only_fallback_candidate
ood_benign_stress,processed/iotsim-hydraulic-system-6.csv,raw/benign/iotsim-hydraulic-system-6_0-0_to_OpenvSwitch-15_6-0.pcap,hydraulic-system,mqtt,2502,2502,0,1291054,true,91,91,92,91,2502,issue27bx_completed_target_plus_file_manifest_upper_bound,0,true,false,false,true,same_role_only_fallback_candidate
ood_benign_stress,processed/iotsim-hydraulic-system-7.csv,raw/benign/iotsim-hydraulic-system-7_0-0_to_OpenvSwitch-15_7-0.pcap,hydraulic-system,mqtt,2501,2501,0,1290154,true,91,91,92,91,2501,issue27bx_completed_target_plus_file_manifest_upper_bound,0,true,false,false,true,same_role_only_fallback_candidate
ood_benign_stress,processed/iotsim-hydraulic-system-8.csv,raw/benign/iotsim-hydraulic-system-8_0-0_to_OpenvSwitch-15_8-0.pcap,hydraulic-system,mqtt,2522,2522,0,1295478,true,92,92,93,92,2522,issue27bx_completed_target_plus_file_manifest_upper_bound,0,true,false,false,true,same_role_only_fallback_candidate
ood_benign_stress,processed/iotsim-hydraulic-system-9.csv,raw/benign/iotsim-hydraulic-system-9_0-0_to_OpenvSwitch-15_9-0.pcap,hydraulic-system,mqtt,2509,2509,0,1292116,true,91,91,92,91,2509,issue27bx_completed_target_plus_file_manifest_upper_bound,0,true,false,false,true,same_role_only_fallback_candidate
ood_benign_stress,processed/iotsim-stream-consumer-1.csv,raw/benign/iotsim-stream-consumer-1_0-0_to_OpenvSwitch-30_1-0.pcap,stream-consumer,icmp,465094,465094,0,655530559,true,17049,17049,17050,17049,465094,issue27bx_completed_target_plus_file_manifest_upper_bound,0,true,false,false,true,same_role_only_fallback_candidate
ood_benign_stress,processed/iotsim-stream-consumer-2.csv,raw/benign/iotsim-stream-consumer-2_0-0_to_OpenvSwitch-30_2-0.pcap,stream-consumer,dns,465335,465335,0,655901614,true,17065,17065,17066,17065,465335,issue27bx_completed_target_plus_file_manifest_upper_bound,0,true,false,false,true,same_role_only_fallback_candidate
ood_benign_stress,processed/iotsim-domotic-monitor-2.csv,raw/benign/iotsim-domotic-monitor-2_0-0_to_OpenvSwitch-23_2-0.pcap,domotic-monitor,mqtt,1660,1660,0,225803,true,60,60,61,60,1660,issue27bx_completed_target_plus_file_manifest_upper_bound,0,true,false,false,true,same_role_only_fallback_candidate
ood_benign_stress,processed/iotsim-domotic-monitor-3.csv,raw/benign/iotsim-domotic-monitor-3_0-0_to_OpenvSwitch-23_3-0.pcap,domotic-monitor,mqtt,1668,1668,0,226151,true,61,61,62,61,1668,issue27bx_completed_target_plus_file_manifest_upper_bound,0,true,false,false,true,same_role_only_fallback_candidate
ood_benign_stress,processed/iotsim-building-monitor-4.csv,raw/benign/iotsim-building-monitor-4_0-0_to_OpenvSwitch-28_4-0.pcap,building-monitor,mqtt,1740,1740,0,242777,true,63,63,64,63,1740,issue27bx_completed_target_plus_file_manifest_upper_bound,0,true,false,false,true,same_role_only_fallback_candidate
ood_benign_stress,processed/iotsim-building-monitor-5.csv,raw/benign/iotsim-building-monitor-5_0-0_to_OpenvSwitch-28_5-0.pcap,building-monitor,mqtt,1740,1740,0,242197,true,63,63,64,63,1740,issue27bx_completed_target_plus_file_manifest_upper_bound,0,true,false,false,true,same_role_only_fallback_candidate
sealed_final_ood,processed/iotsim-ip-camera-museum-2.csv,raw/benign/iotsim-ip-camera-museum-2_0-0_to_OpenvSwitch-29_2-0.pcap,ip-camera-museum,rtcp,1232612,1232612,0,1746915900,true,21402,21402,21403,21402,1232612,issue27bx_completed_target_plus_file_manifest_upper_bound,0,true,true,true,false,do_not_use_sealed_final_as_fallback
sealed_final_ood,processed/iotsim-ip-camera-street-2.csv,raw/benign/iotsim-ip-camera-street-2_0-0_to_OpenvSwitch-24_2-0.pcap,ip-camera-street,rtcp,783243,783243,0,1111294927,true,13598,13598,13599,13598,783243,issue27bx_completed_target_plus_file_manifest_upper_bound,0,true,true,true,false,do_not_use_sealed_final_as_fallback
attack_support_candidate_pool,processed/iotsim-air-quality-1.csv,raw/benign/iotsim-air-quality-1_0-0_to_OpenvSwitch-25_1-0.pcap,air-quality,mqtt,55052,7233,46962,231885,true,601,601,2634,601,46962,issue27bx_completed_target_plus_file_manifest_upper_bound,0,true,false,false,true,same_role_only_fallback_candidate
attack_support_candidate_pool,processed/iotsim-city-power-1.csv,raw/benign/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,city-power,coap,1516431,2320,1513259,61208,true,19399,19399,20263,19399,1513259,issue27bx_completed_target_plus_file_manifest_upper_bound,0,true,false,false,true,same_role_only_fallback_candidate
dev_future_attack_query,processed/iotsim-ip-camera-museum-1.csv,raw/benign/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,ip-camera-museum,tls,10447197,4523684,5922657,1746905091,true,25389,25389,669943,25389,5922657,issue27bx_completed_target_plus_file_manifest_upper_bound,0,true,true,false,true,same_role_only_fallback_candidate
dev_future_attack_query,processed/iotsim-building-monitor-1.csv,raw/benign/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap,building-monitor,tls,5550987,6406,5543719,241668,false,0,0,0,0,5543719,file_manifest_upper_bound_unverified_by_115d,0,,true,false,true,same_role_only_fallback_candidate
dev_future_attack_query,processed/iotsim-domotic-monitor-1.csv,raw/benign/iotsim-domotic-monitor-1_0-0_to_OpenvSwitch-23_1-0.pcap,domotic-monitor,telnet,2114866,8168,2105832,225603,true,9026,9026,11043,9026,2105832,issue27bx_completed_target_plus_file_manifest_upper_bound,0,true,true,false,true,same_role_only_fallback_candidate
dev_future_attack_query,processed/iotsim-combined-cycle-1.csv,raw/benign/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,combined-cycle,coap,5974887,2092,5971118,90229,false,0,0,0,0,5971118,file_manifest_upper_bound_unverified_by_115d,0,,true,false,true,same_role_only_fallback_candidate
dev_future_attack_query,processed/iotsim-combined-cycle-10.csv,raw/benign/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,combined-cycle,coap,138509,974,136692,90229,true,585,585,1552,585,136692,issue27bx_completed_target_plus_file_manifest_upper_bound,0,true,true,false,true,same_role_only_fallback_candidate
sealed_final_attack,processed/iotsim-ip-camera-street-1.csv,raw/benign/iotsim-ip-camera-street-1_0-0_to_OpenvSwitch-24_1-0.pcap,ip-camera-street,telnet,5469337,3838991,1629489,1111275647,true,15000,15000,428114,15000,1629489,issue27bx_completed_target_plus_file_manifest_upper_bound,0,true,true,true,false,do_not_use_sealed_final_as_fallback
