candidate,held_field,held_value,role,phase,label,rows_before_exclude,rows_after_exclude,held_rows_removed,feature_dim,train_classes,train_rows_total
M1_all_external_blocks_histgb,device_family,iotsim-stream-consumer,support_train,fit,3,58,58,0,350,0|1|3,8058
M1_all_external_blocks_histgb,device_family,iotsim-stream-consumer,id_calib,fit,0,4000,4000,0,350,0|1|3,8058
M1_all_external_blocks_histgb,device_family,iotsim-stream-consumer,ood_val,fit,1,4000,4000,0,350,0|1|3,8058
M1_all_external_blocks_histgb,device_family,iotsim-stream-consumer,ood_stress,fit,2,4000,0,4000,350,0|1|3,8058
M2_raw115_plus_all_external_blocks_histgb,device_family,iotsim-stream-consumer,support_train,fit,3,58,58,0,465,0|1|3,8058
M2_raw115_plus_all_external_blocks_histgb,device_family,iotsim-stream-consumer,id_calib,fit,0,4000,4000,0,465,0|1|3,8058
M2_raw115_plus_all_external_blocks_histgb,device_family,iotsim-stream-consumer,ood_val,fit,1,4000,4000,0,465,0|1|3,8058
M2_raw115_plus_all_external_blocks_histgb,device_family,iotsim-stream-consumer,ood_stress,fit,2,4000,0,4000,465,0|1|3,8058
G1_graph_interaction_only_histgb,device_family,iotsim-hydraulic-system,support_train,fit,3,58,58,0,82,0|1|2|3,10662
G1_graph_interaction_only_histgb,device_family,iotsim-hydraulic-system,id_calib,fit,0,4000,4000,0,82,0|1|2|3,10662
G1_graph_interaction_only_histgb,device_family,iotsim-hydraulic-system,ood_val,fit,1,4000,2604,1396,82,0|1|2|3,10662
G1_graph_interaction_only_histgb,device_family,iotsim-hydraulic-system,ood_stress,fit,2,4000,4000,0,82,0|1|2|3,10662
Z1_zeek_semantic_only_histgb,device_family,iotsim-hydraulic-system,support_train,fit,3,58,58,0,115,0|1|2|3,10662
Z1_zeek_semantic_only_histgb,device_family,iotsim-hydraulic-system,id_calib,fit,0,4000,4000,0,115,0|1|2|3,10662
Z1_zeek_semantic_only_histgb,device_family,iotsim-hydraulic-system,ood_val,fit,1,4000,2604,1396,115,0|1|2|3,10662
Z1_zeek_semantic_only_histgb,device_family,iotsim-hydraulic-system,ood_stress,fit,2,4000,4000,0,115,0|1|2|3,10662
N1_netflow_style_only_histgb,device_family,iotsim-hydraulic-system,support_train,fit,3,58,58,0,193,0|1|2|3,10662
N1_netflow_style_only_histgb,device_family,iotsim-hydraulic-system,id_calib,fit,0,4000,4000,0,193,0|1|2|3,10662
N1_netflow_style_only_histgb,device_family,iotsim-hydraulic-system,ood_val,fit,1,4000,2604,1396,193,0|1|2|3,10662
N1_netflow_style_only_histgb,device_family,iotsim-hydraulic-system,ood_stress,fit,2,4000,4000,0,193,0|1|2|3,10662
C1_cicflow_style_only_histgb,device_family,iotsim-hydraulic-system,support_train,fit,3,58,58,0,207,0|1|2|3,10662
C1_cicflow_style_only_histgb,device_family,iotsim-hydraulic-system,id_calib,fit,0,4000,4000,0,207,0|1|2|3,10662
C1_cicflow_style_only_histgb,device_family,iotsim-hydraulic-system,ood_val,fit,1,4000,2604,1396,207,0|1|2|3,10662
C1_cicflow_style_only_histgb,device_family,iotsim-hydraulic-system,ood_stress,fit,2,4000,4000,0,207,0|1|2|3,10662
M1_all_external_blocks_histgb,device_family,iotsim-hydraulic-system,support_train,fit,3,58,58,0,350,0|1|2|3,10662
M1_all_external_blocks_histgb,device_family,iotsim-hydraulic-system,id_calib,fit,0,4000,4000,0,350,0|1|2|3,10662
M1_all_external_blocks_histgb,device_family,iotsim-hydraulic-system,ood_val,fit,1,4000,2604,1396,350,0|1|2|3,10662
M1_all_external_blocks_histgb,device_family,iotsim-hydraulic-system,ood_stress,fit,2,4000,4000,0,350,0|1|2|3,10662
M2_raw115_plus_all_external_blocks_histgb,device_family,iotsim-hydraulic-system,support_train,fit,3,58,58,0,465,0|1|2|3,10662
M2_raw115_plus_all_external_blocks_histgb,device_family,iotsim-hydraulic-system,id_calib,fit,0,4000,4000,0,465,0|1|2|3,10662
M2_raw115_plus_all_external_blocks_histgb,device_family,iotsim-hydraulic-system,ood_val,fit,1,4000,2604,1396,465,0|1|2|3,10662
M2_raw115_plus_all_external_blocks_histgb,device_family,iotsim-hydraulic-system,ood_stress,fit,2,4000,4000,0,465,0|1|2|3,10662
G1_graph_interaction_only_histgb,device_family,domotic-monitor,support_train,fit,3,58,58,0,82,0|1|2|3,12058
G1_graph_interaction_only_histgb,device_family,domotic-monitor,id_calib,fit,0,4000,4000,0,82,0|1|2|3,12058
G1_graph_interaction_only_histgb,device_family,domotic-monitor,ood_val,fit,1,4000,4000,0,82,0|1|2|3,12058
G1_graph_interaction_only_histgb,device_family,domotic-monitor,ood_stress,fit,2,4000,4000,0,82,0|1|2|3,12058
Z1_zeek_semantic_only_histgb,device_family,domotic-monitor,support_train,fit,3,58,58,0,115,0|1|2|3,12058
Z1_zeek_semantic_only_histgb,device_family,domotic-monitor,id_calib,fit,0,4000,4000,0,115,0|1|2|3,12058
Z1_zeek_semantic_only_histgb,device_family,domotic-monitor,ood_val,fit,1,4000,4000,0,115,0|1|2|3,12058
Z1_zeek_semantic_only_histgb,device_family,domotic-monitor,ood_stress,fit,2,4000,4000,0,115,0|1|2|3,12058
N1_netflow_style_only_histgb,device_family,domotic-monitor,support_train,fit,3,58,58,0,193,0|1|2|3,12058
N1_netflow_style_only_histgb,device_family,domotic-monitor,id_calib,fit,0,4000,4000,0,193,0|1|2|3,12058
N1_netflow_style_only_histgb,device_family,domotic-monitor,ood_val,fit,1,4000,4000,0,193,0|1|2|3,12058
N1_netflow_style_only_histgb,device_family,domotic-monitor,ood_stress,fit,2,4000,4000,0,193,0|1|2|3,12058
C1_cicflow_style_only_histgb,device_family,domotic-monitor,support_train,fit,3,58,58,0,207,0|1|2|3,12058
C1_cicflow_style_only_histgb,device_family,domotic-monitor,id_calib,fit,0,4000,4000,0,207,0|1|2|3,12058
C1_cicflow_style_only_histgb,device_family,domotic-monitor,ood_val,fit,1,4000,4000,0,207,0|1|2|3,12058
C1_cicflow_style_only_histgb,device_family,domotic-monitor,ood_stress,fit,2,4000,4000,0,207,0|1|2|3,12058
M1_all_external_blocks_histgb,device_family,domotic-monitor,support_train,fit,3,58,58,0,350,0|1|2|3,12058
M1_all_external_blocks_histgb,device_family,domotic-monitor,id_calib,fit,0,4000,4000,0,350,0|1|2|3,12058
M1_all_external_blocks_histgb,device_family,domotic-monitor,ood_val,fit,1,4000,4000,0,350,0|1|2|3,12058
M1_all_external_blocks_histgb,device_family,domotic-monitor,ood_stress,fit,2,4000,4000,0,350,0|1|2|3,12058
M2_raw115_plus_all_external_blocks_histgb,device_family,domotic-monitor,support_train,fit,3,58,58,0,465,0|1|2|3,12058
M2_raw115_plus_all_external_blocks_histgb,device_family,domotic-monitor,id_calib,fit,0,4000,4000,0,465,0|1|2|3,12058
M2_raw115_plus_all_external_blocks_histgb,device_family,domotic-monitor,ood_val,fit,1,4000,4000,0,465,0|1|2|3,12058
M2_raw115_plus_all_external_blocks_histgb,device_family,domotic-monitor,ood_stress,fit,2,4000,4000,0,465,0|1|2|3,12058
G1_graph_interaction_only_histgb,device_family,combined-cycle,support_train,fit,3,58,25,33,82,0|1|2|3,12025
G1_graph_interaction_only_histgb,device_family,combined-cycle,id_calib,fit,0,4000,4000,0,82,0|1|2|3,12025
G1_graph_interaction_only_histgb,device_family,combined-cycle,ood_val,fit,1,4000,4000,0,82,0|1|2|3,12025
G1_graph_interaction_only_histgb,device_family,combined-cycle,ood_stress,fit,2,4000,4000,0,82,0|1|2|3,12025
Z1_zeek_semantic_only_histgb,device_family,combined-cycle,support_train,fit,3,58,25,33,115,0|1|2|3,12025
Z1_zeek_semantic_only_histgb,device_family,combined-cycle,id_calib,fit,0,4000,4000,0,115,0|1|2|3,12025
Z1_zeek_semantic_only_histgb,device_family,combined-cycle,ood_val,fit,1,4000,4000,0,115,0|1|2|3,12025
Z1_zeek_semantic_only_histgb,device_family,combined-cycle,ood_stress,fit,2,4000,4000,0,115,0|1|2|3,12025
N1_netflow_style_only_histgb,device_family,combined-cycle,support_train,fit,3,58,25,33,193,0|1|2|3,12025
N1_netflow_style_only_histgb,device_family,combined-cycle,id_calib,fit,0,4000,4000,0,193,0|1|2|3,12025
N1_netflow_style_only_histgb,device_family,combined-cycle,ood_val,fit,1,4000,4000,0,193,0|1|2|3,12025
N1_netflow_style_only_histgb,device_family,combined-cycle,ood_stress,fit,2,4000,4000,0,193,0|1|2|3,12025
C1_cicflow_style_only_histgb,device_family,combined-cycle,support_train,fit,3,58,25,33,207,0|1|2|3,12025
C1_cicflow_style_only_histgb,device_family,combined-cycle,id_calib,fit,0,4000,4000,0,207,0|1|2|3,12025
C1_cicflow_style_only_histgb,device_family,combined-cycle,ood_val,fit,1,4000,4000,0,207,0|1|2|3,12025
C1_cicflow_style_only_histgb,device_family,combined-cycle,ood_stress,fit,2,4000,4000,0,207,0|1|2|3,12025
M1_all_external_blocks_histgb,device_family,combined-cycle,support_train,fit,3,58,25,33,350,0|1|2|3,12025
M1_all_external_blocks_histgb,device_family,combined-cycle,id_calib,fit,0,4000,4000,0,350,0|1|2|3,12025
M1_all_external_blocks_histgb,device_family,combined-cycle,ood_val,fit,1,4000,4000,0,350,0|1|2|3,12025
M1_all_external_blocks_histgb,device_family,combined-cycle,ood_stress,fit,2,4000,4000,0,350,0|1|2|3,12025
M2_raw115_plus_all_external_blocks_histgb,device_family,combined-cycle,support_train,fit,3,58,25,33,465,0|1|2|3,12025
M2_raw115_plus_all_external_blocks_histgb,device_family,combined-cycle,id_calib,fit,0,4000,4000,0,465,0|1|2|3,12025
M2_raw115_plus_all_external_blocks_histgb,device_family,combined-cycle,ood_val,fit,1,4000,4000,0,465,0|1|2|3,12025
M2_raw115_plus_all_external_blocks_histgb,device_family,combined-cycle,ood_stress,fit,2,4000,4000,0,465,0|1|2|3,12025
G1_graph_interaction_only_histgb,device_family,iotsim-ip-camera-street,support_train,fit,3,58,58,0,82,0|1|2|3,12058
G1_graph_interaction_only_histgb,device_family,iotsim-ip-camera-street,id_calib,fit,0,4000,4000,0,82,0|1|2|3,12058
G1_graph_interaction_only_histgb,device_family,iotsim-ip-camera-street,ood_val,fit,1,4000,4000,0,82,0|1|2|3,12058
G1_graph_interaction_only_histgb,device_family,iotsim-ip-camera-street,ood_stress,fit,2,4000,4000,0,82,0|1|2|3,12058
Z1_zeek_semantic_only_histgb,device_family,iotsim-ip-camera-street,support_train,fit,3,58,58,0,115,0|1|2|3,12058
Z1_zeek_semantic_only_histgb,device_family,iotsim-ip-camera-street,id_calib,fit,0,4000,4000,0,115,0|1|2|3,12058
Z1_zeek_semantic_only_histgb,device_family,iotsim-ip-camera-street,ood_val,fit,1,4000,4000,0,115,0|1|2|3,12058
Z1_zeek_semantic_only_histgb,device_family,iotsim-ip-camera-street,ood_stress,fit,2,4000,4000,0,115,0|1|2|3,12058
N1_netflow_style_only_histgb,device_family,iotsim-ip-camera-street,support_train,fit,3,58,58,0,193,0|1|2|3,12058
N1_netflow_style_only_histgb,device_family,iotsim-ip-camera-street,id_calib,fit,0,4000,4000,0,193,0|1|2|3,12058
N1_netflow_style_only_histgb,device_family,iotsim-ip-camera-street,ood_val,fit,1,4000,4000,0,193,0|1|2|3,12058
N1_netflow_style_only_histgb,device_family,iotsim-ip-camera-street,ood_stress,fit,2,4000,4000,0,193,0|1|2|3,12058
C1_cicflow_style_only_histgb,device_family,iotsim-ip-camera-street,support_train,fit,3,58,58,0,207,0|1|2|3,12058
C1_cicflow_style_only_histgb,device_family,iotsim-ip-camera-street,id_calib,fit,0,4000,4000,0,207,0|1|2|3,12058
C1_cicflow_style_only_histgb,device_family,iotsim-ip-camera-street,ood_val,fit,1,4000,4000,0,207,0|1|2|3,12058
C1_cicflow_style_only_histgb,device_family,iotsim-ip-camera-street,ood_stress,fit,2,4000,4000,0,207,0|1|2|3,12058
M1_all_external_blocks_histgb,device_family,iotsim-ip-camera-street,support_train,fit,3,58,58,0,350,0|1|2|3,12058
M1_all_external_blocks_histgb,device_family,iotsim-ip-camera-street,id_calib,fit,0,4000,4000,0,350,0|1|2|3,12058
M1_all_external_blocks_histgb,device_family,iotsim-ip-camera-street,ood_val,fit,1,4000,4000,0,350,0|1|2|3,12058
M1_all_external_blocks_histgb,device_family,iotsim-ip-camera-street,ood_stress,fit,2,4000,4000,0,350,0|1|2|3,12058
M2_raw115_plus_all_external_blocks_histgb,device_family,iotsim-ip-camera-street,support_train,fit,3,58,58,0,465,0|1|2|3,12058
M2_raw115_plus_all_external_blocks_histgb,device_family,iotsim-ip-camera-street,id_calib,fit,0,4000,4000,0,465,0|1|2|3,12058
M2_raw115_plus_all_external_blocks_histgb,device_family,iotsim-ip-camera-street,ood_val,fit,1,4000,4000,0,465,0|1|2|3,12058
M2_raw115_plus_all_external_blocks_histgb,device_family,iotsim-ip-camera-street,ood_stress,fit,2,4000,4000,0,465,0|1|2|3,12058
