requested_role,csv_member,attack_type,phase,first_segment_start_row,last_segment_end_row,segment_count,available_rows,requested_target_rows,selection_allowed,report_only,sealed_final,priority,notes
attack_support_candidate_pool,processed/iotsim-combined-cycle-10.csv,Telnet Brute Force,late_2000_10000,2561,9998,288,4492,0,true,false,false,low_existing_label_covered,future_targeted_materialization_only_do_not_reassign_current_report_only_rows
attack_support_candidate_pool,processed/iotsim-combined-cycle-10.csv,Telnet Brute Force,mid_500_2000,1814,2533,2,716,0,true,false,false,low_existing_label_covered,future_targeted_materialization_only_do_not_reassign_current_report_only_rows
attack_support_candidate_pool,processed/iotsim-combined-cycle-10.csv,Telnet Brute Force,tail_gt_10000,10003,136615,1870,19504,0,true,false,false,low_existing_label_covered,future_targeted_materialization_only_do_not_reassign_current_report_only_rows
attack_support_candidate_pool,processed/iotsim-combined-cycle-10.csv,Unknown,tail_gt_10000,137634,138498,5,843,0,true,false,false,excluded_label_not_support,future_targeted_materialization_only_do_not_reassign_current_report_only_rows
attack_support_candidate_pool,processed/iotsim-ip-camera-museum-1.csv,Ingress Tool Transfer,tail_gt_10000,1936496,1962416,14,108,0,true,false,false,low_tiny_segment_diagnostic_only,future_targeted_materialization_only_do_not_reassign_current_report_only_rows
attack_support_candidate_pool,processed/iotsim-ip-camera-museum-1.csv,Merlin C&C Communication,tail_gt_10000,9564062,10287244,780,9766,9766,true,false,false,high_missing_attack_type,future_targeted_materialization_only_do_not_reassign_current_report_only_rows
attack_support_candidate_pool,processed/iotsim-ip-camera-museum-1.csv,Merlin ICMP Flooding,tail_gt_10000,9833198,9945428,164,10011,10011,true,false,false,high_missing_attack_type,future_targeted_materialization_only_do_not_reassign_current_report_only_rows
attack_support_candidate_pool,processed/iotsim-ip-camera-museum-1.csv,Merlin TCP Flooding,tail_gt_10000,10036894,10150845,317,20000,20000,true,false,false,high_missing_attack_type,future_targeted_materialization_only_do_not_reassign_current_report_only_rows
attack_support_candidate_pool,processed/iotsim-ip-camera-museum-1.csv,Merlin UDP Flooding,tail_gt_10000,9939756,9945608,146,5000,5000,true,false,false,high_missing_attack_type,future_targeted_materialization_only_do_not_reassign_current_report_only_rows
attack_support_candidate_pool,processed/iotsim-ip-camera-museum-1.csv,Mirai C&C Communication,tail_gt_10000,2980068,9169285,164,358,358,true,false,false,high_missing_attack_type,future_targeted_materialization_only_do_not_reassign_current_report_only_rows
attack_support_candidate_pool,processed/iotsim-ip-camera-museum-1.csv,Mirai GRE Flooding,tail_gt_10000,7372822,9014461,883,1632012,20000,true,false,false,high_missing_attack_type,future_targeted_materialization_only_do_not_reassign_current_report_only_rows
attack_support_candidate_pool,processed/iotsim-ip-camera-museum-1.csv,Mirai TCP Flooding,tail_gt_10000,5636886,7364075,934,1717202,20000,true,false,false,high_missing_attack_type,future_targeted_materialization_only_do_not_reassign_current_report_only_rows
attack_support_candidate_pool,processed/iotsim-ip-camera-museum-1.csv,Mirai UDP Flooding,tail_gt_10000,3126033,9014398,1330,2483127,20000,true,false,false,high_missing_attack_type,future_targeted_materialization_only_do_not_reassign_current_report_only_rows
attack_support_candidate_pool,processed/iotsim-ip-camera-museum-1.csv,TCP Scan,tail_gt_10000,1918458,2081745,3878,21135,0,true,false,false,low_existing_label_covered,future_targeted_materialization_only_do_not_reassign_current_report_only_rows
attack_support_candidate_pool,processed/iotsim-ip-camera-museum-1.csv,Telnet Brute Force,tail_gt_10000,1876480,2143502,5230,23938,0,true,false,false,low_existing_label_covered,future_targeted_materialization_only_do_not_reassign_current_report_only_rows
attack_support_candidate_pool,processed/iotsim-ip-camera-museum-1.csv,Unknown,tail_gt_10000,10317277,10407140,458,856,0,true,false,false,excluded_label_not_support,future_targeted_materialization_only_do_not_reassign_current_report_only_rows
