member_index,dataset_kind,container_path,raw_source_path,target_count,status,checkpoint_identity,checkpoint_sha256,discovery_packets,replay_packets
18,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/benign/iotsim-combined-cycle-tls-2_0-0_to_OpenvSwitch-14_2-0.pcap,600,COMPUTED_EXACT_TWOPASS,ce8027cf23ebe71f9cda2165cd724b8ee4185a49c63b7aef8dfd924d72473317,c18f7a880fec668feffd05a95daa4094b42069fdcfd4088e5c343576d6a5952d,1100,1100
19,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/benign/iotsim-combined-cycle-tls-3_0-0_to_OpenvSwitch-14_3-0.pcap,270,COMPUTED_EXACT_TWOPASS,925d6c78d91d5d211d831f07008b34f631b05c0391275e0e6d86a69212feae36,0d3230db2581ca886350602e2feec176396dd2c68163a9e221af759b9b194df9,2803,2803
20,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/benign/iotsim-combined-cycle-tls-4_0-0_to_OpenvSwitch-14_4-0.pcap,270,COMPUTED_EXACT_TWOPASS,1f2500a0008859b6e41f181c48d09cb409b86ef3c06dd633d77e0d56b4f62de0,e112817e805b8bb1fa449828dfe6a328f0e52934a6533bdf5585bf257b06f3de,2809,2809
21,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/benign/iotsim-combined-cycle-tls-5_0-0_to_OpenvSwitch-14_5-0.pcap,269,COMPUTED_EXACT_TWOPASS,e8e26d8cd49d31b25b6c0cde2a731bd5fa88f641f849e7b574c59e4e75623933,80c36b93c15761772f1be64d165e31f0749a4e43e5cdcbc2ba64a6b335d96f34,2807,2807
22,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/benign/iotsim-domotic-monitor-2_0-0_to_OpenvSwitch-23_2-0.pcap,600,COMPUTED_EXACT_TWOPASS,b5e0e891072755de78fa0560eae07cf526cd240209392cbad34bf002666b2533,008c242a639787ed7f37872663ed862d52fc3cf4aa04986f1a8fb0a5380a4577,1100,1100
23,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/benign/iotsim-domotic-monitor-3_0-0_to_OpenvSwitch-23_3-0.pcap,600,COMPUTED_EXACT_TWOPASS,4e0c661a1e3f22c974424b58c3edb1ba6a5cdef5741fbae3341f97fd12aa1e51,5b523dfa9c6c434649d8c0606758e30f47691dde26d8e6dcf06c78c6d9069efa,1100,1100
24,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/benign/iotsim-domotic-monitor-4_0-0_to_OpenvSwitch-23_4-0.pcap,600,COMPUTED_EXACT_TWOPASS,6dbe9ef89d10e6a34b0344eaa7c7ac031a9bf1180172a7f1b7f5329b337823e3,6117cdaa58e1032f4522772df85ba41ffb6f3c94f417885039ceac264bdf0d05,1100,1100
25,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/benign/iotsim-domotic-monitor-5_0-0_to_OpenvSwitch-23_5-0.pcap,600,COMPUTED_EXACT_TWOPASS,da8025da9aa8acbc449a792cb322ad2547fabbf905946a98e231b090a4a88360,8976b4625255603f8249d31c0b479fd5f2ddf1ce0cd0c990cc93de375b2e68a1,1100,1100
26,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/malicious/merlin/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,59,COMPUTED_EXACT_TWOPASS,03558d4e6d18755bdf1e6e5f26007dd1271ff32d47371bdb13576b51ca19914d,faad6c353e447895134996522fc59e4be401a9bd97206d24ed3a12077a756a1c,20006,20006
27,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,134,COMPUTED_EXACT_TWOPASS,7c89a79ab5c9c343ad5458c8b682d120da9f1e68cf0efd999f53b13d3b63e2cd,00ba301d8e212076152162aa714e04df931eb651a60917a9d1166183a8a2aa7f,678452,678452
28,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/malicious/mirai-dos/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,101,COMPUTED_EXACT_TWOPASS,0ad1af2a213fb8ed88b8132f49c265140c12a824049ccb1031214d321d16cd5c,a26d92f47d9f1327afe74b287ddfecb4b21b95107de91199210cf1eb56050575,1064303,1064303
29,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/malicious/mirai-dos/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,121,COMPUTED_EXACT_TWOPASS,dddf4f2595539a52d377aef4e8fff0c476bff013f319243c952c2ed063aef04a,c69072992ca1ad54efc09c65c0b0cc9fd27003f8e49945b5a0427e926bff8272,6270154,6270154
30,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/malicious/mirai-infection/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,39,COMPUTED_EXACT_TWOPASS,8be4e6839e0f01f7d761d730528b9fb0a8d2a94d0933943a301cbe7115da9eb2,16d112b9ca47002b0ea313e2e541d53c0b97cbe039532e383b7f392a28c46063,70063,70063
