role,csv_member,pcap_member,proposed_rows,role_target_rows,planning_capacity_rows,estimate_source,report_only_role,sealed_final_role,selection_allowed,plan_rule
id_benign_calib,processed/iotsim-cooler-motor-7.csv,raw/benign/iotsim-cooler-motor-7_0-0_to_OpenvSwitch-18_7-0.pcap,22475,80000,22475,issue27bx3_exact_cache_reuse_candidate,false,false,false,cache_preserving_base_500k_exact_target
id_benign_calib,processed/iotsim-cooler-motor-9.csv,raw/benign/iotsim-cooler-motor-9_0-0_to_OpenvSwitch-18_9-0.pcap,1693,80000,22472,issue27bx3_exact_cache_reuse_candidate,false,false,false,cache_preserving_base_500k_exact_target
ood_benign_val,processed/iotsim-hydraulic-system-1.csv,raw/benign/iotsim-hydraulic-system-15_0-0_to_OpenvSwitch-16_5-0.pcap,3869,24000,3869,issue27bx3_exact_cache_reuse_candidate,false,false,false,cache_preserving_base_500k_exact_target
ood_benign_val,processed/iotsim-hydraulic-system-10.csv,raw/benign/iotsim-hydraulic-system-10_0-0_to_OpenvSwitch-15_10-0.pcap,2506,24000,2506,issue27bx3_exact_cache_reuse_candidate,false,false,false,cache_preserving_base_500k_exact_target
ood_benign_val,processed/iotsim-hydraulic-system-2.csv,raw/benign/iotsim-hydraulic-system-2_0-0_to_OpenvSwitch-15_2-0.pcap,2501,24000,2501,issue27bx3_exact_cache_reuse_candidate,false,false,false,cache_preserving_base_500k_exact_target
ood_benign_val,processed/iotsim-hydraulic-system-12.csv,raw/benign/iotsim-hydraulic-system-12_0-0_to_OpenvSwitch-16_2-0.pcap,2496,24000,2496,issue27bx3_exact_cache_reuse_candidate,false,false,false,cache_preserving_base_500k_exact_target
ood_benign_val,processed/iotsim-hydraulic-system-15.csv,raw/benign/iotsim-hydraulic-system-15_0-0_to_OpenvSwitch-16_5-0.pcap,2496,24000,2496,issue27bx3_exact_cache_reuse_candidate,false,false,false,cache_preserving_base_500k_exact_target
ood_benign_val,processed/iotsim-hydraulic-system-13.csv,raw/benign/iotsim-hydraulic-system-13_0-0_to_OpenvSwitch-16_3-0.pcap,2481,24000,2481,issue27bx3_exact_cache_reuse_candidate,false,false,false,cache_preserving_base_500k_exact_target
ood_benign_val,processed/iotsim-hydraulic-system-14.csv,raw/benign/iotsim-hydraulic-system-14_0-0_to_OpenvSwitch-16_4-0.pcap,2481,24000,2481,issue27bx3_exact_cache_reuse_candidate,false,false,false,cache_preserving_base_500k_exact_target
ood_benign_val,processed/iotsim-hydraulic-system-11.csv,raw/benign/iotsim-hydraulic-system-11_0-0_to_OpenvSwitch-16_1-0.pcap,2466,24000,2466,issue27bx3_exact_cache_reuse_candidate,false,false,false,cache_preserving_base_500k_exact_target
ood_benign_val,processed/iotsim-building-monitor-2.csv,raw/benign/iotsim-building-monitor-2_0-0_to_OpenvSwitch-28_2-0.pcap,1740,24000,1740,issue27bx3_exact_cache_reuse_candidate,false,false,false,cache_preserving_base_500k_exact_target
ood_benign_val,processed/iotsim-building-monitor-3.csv,raw/benign/iotsim-building-monitor-3_0-0_to_OpenvSwitch-28_3-0.pcap,964,24000,1740,issue27bx3_exact_cache_reuse_candidate,false,false,false,cache_preserving_base_500k_exact_target
ood_benign_stress,processed/iotsim-stream-consumer-2.csv,raw/benign/iotsim-stream-consumer-2_0-0_to_OpenvSwitch-30_2-0.pcap,80000,230000,465335,issue27bx3_exact_cache_reuse_candidate,false,false,false,cache_preserving_base_500k_exact_target
sealed_final_ood,processed/iotsim-ip-camera-museum-2.csv,raw/benign/iotsim-ip-camera-museum-2_0-0_to_OpenvSwitch-29_2-0.pcap,55000,155000,1232612,issue27bx3_exact_cache_reuse_candidate,true,true,false,cache_preserving_base_500k_exact_target
attack_support_candidate_pool,processed/iotsim-city-power-1.csv,raw/malicious/mirai-infection/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,45000,90000,1513259,issue27bx3_exact_cache_reuse_candidate,false,false,true,cache_preserving_base_500k_exact_target
dev_future_attack_query,processed/iotsim-ip-camera-museum-1.csv,raw/malicious/mirai-infection/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,80000,235000,5922657,issue27bx3_exact_cache_reuse_candidate,true,false,false,cache_preserving_base_500k_exact_target
sealed_final_attack,processed/iotsim-ip-camera-street-1.csv,raw/malicious/mirai-infection/iotsim-ip-camera-street-1_0-0_to_OpenvSwitch-24_1-0.pcap,35000,35000,1629489,issue27bx3_exact_cache_reuse_candidate,true,true,false,cache_preserving_base_500k_exact_target
id_benign_calib,processed/iotsim-cooler-motor-5.csv,raw/benign/iotsim-cooler-motor-5_0-0_to_OpenvSwitch-18_5-0.pcap,22471,80000,22471,issue27bx4_inventory_capacity_same_role_extension,false,false,false,cache_preserving_id_train_fixed_same_role_extension_no_cross_role_fallback
id_benign_calib,processed/iotsim-cooler-motor-6.csv,raw/benign/iotsim-cooler-motor-6_0-0_to_OpenvSwitch-18_6-0.pcap,22468,80000,22468,issue27bx4_inventory_capacity_same_role_extension,false,false,false,cache_preserving_id_train_fixed_same_role_extension_no_cross_role_fallback
id_benign_calib,processed/iotsim-cooler-motor-8.csv,raw/benign/iotsim-cooler-motor-8_0-0_to_OpenvSwitch-18_8-0.pcap,5061,80000,22466,issue27bx4_inventory_capacity_same_role_extension,false,false,false,cache_preserving_id_train_fixed_same_role_extension_no_cross_role_fallback
ood_benign_stress,processed/iotsim-stream-consumer-1.csv,raw/benign/iotsim-stream-consumer-1_0-0_to_OpenvSwitch-30_1-0.pcap,150000,230000,465094,issue27bx4_inventory_capacity_same_role_extension,false,false,false,cache_preserving_id_train_fixed_same_role_extension_no_cross_role_fallback
sealed_final_ood,processed/iotsim-ip-camera-street-2.csv,raw/benign/iotsim-ip-camera-street-2_0-0_to_OpenvSwitch-24_2-0.pcap,100000,155000,783243,issue27bx4_inventory_capacity_same_role_extension,true,true,false,cache_preserving_id_train_fixed_same_role_extension_no_cross_role_fallback
attack_support_candidate_pool,processed/iotsim-air-quality-1.csv,raw/malicious/mirai-infection/iotsim-air-quality-1_0-0_to_OpenvSwitch-25_1-0.pcap,45000,90000,46962,issue27bx4_inventory_capacity_same_role_extension,false,false,true,cache_preserving_id_train_fixed_same_role_extension_no_cross_role_fallback
dev_future_attack_query,processed/iotsim-building-monitor-1.csv,raw/malicious/mirai-infection/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap,80000,235000,5543719,issue27bx4_inventory_capacity_same_role_extension,true,false,false,cache_preserving_id_train_fixed_same_role_extension_no_cross_role_fallback
dev_future_attack_query,processed/iotsim-domotic-monitor-1.csv,raw/malicious/mirai-infection/iotsim-domotic-monitor-1_0-0_to_OpenvSwitch-23_1-0.pcap,75000,235000,2105832,issue27bx4_inventory_capacity_same_role_extension,true,false,false,cache_preserving_id_train_fixed_same_role_extension_no_cross_role_fallback
