protocol,fold,train_rows,test_rows,train_sources,test_sources,source_overlap,test_labels_used_for_fit_or_threshold
unseen_source_pair,benign=processed/iotsim-combined-cycle-tls-4.csv|attack=processed/iotsim-combined-cycle-10.csv,6744,1927,processed/iotsim-building-monitor-2.csv;processed/iotsim-building-monitor-3.csv;processed/iotsim-city-power-1.csv;processed/iotsim-combined-cycle-tls-3.csv;processed/iotsim-combined-cycle-tls-5.csv;processed/iotsim-ip-camera-museum-1.csv,processed/iotsim-combined-cycle-10.csv;processed/iotsim-combined-cycle-tls-4.csv,0,0
unseen_source_pair,benign=processed/iotsim-combined-cycle-tls-4.csv|attack=processed/iotsim-ip-camera-museum-1.csv,6562,2109,processed/iotsim-building-monitor-2.csv;processed/iotsim-building-monitor-3.csv;processed/iotsim-city-power-1.csv;processed/iotsim-combined-cycle-10.csv;processed/iotsim-combined-cycle-tls-3.csv;processed/iotsim-combined-cycle-tls-5.csv,processed/iotsim-combined-cycle-tls-4.csv;processed/iotsim-ip-camera-museum-1.csv,0,0
unseen_source_pair,benign=processed/iotsim-combined-cycle-tls-5.csv|attack=processed/iotsim-city-power-1.csv,6640,2031,processed/iotsim-building-monitor-2.csv;processed/iotsim-building-monitor-3.csv;processed/iotsim-combined-cycle-10.csv;processed/iotsim-combined-cycle-tls-3.csv;processed/iotsim-combined-cycle-tls-4.csv;processed/iotsim-ip-camera-museum-1.csv,processed/iotsim-city-power-1.csv;processed/iotsim-combined-cycle-tls-5.csv,0,0
unseen_source_pair,benign=processed/iotsim-combined-cycle-tls-5.csv|attack=processed/iotsim-combined-cycle-10.csv,6744,1927,processed/iotsim-building-monitor-2.csv;processed/iotsim-building-monitor-3.csv;processed/iotsim-city-power-1.csv;processed/iotsim-combined-cycle-tls-3.csv;processed/iotsim-combined-cycle-tls-4.csv;processed/iotsim-ip-camera-museum-1.csv,processed/iotsim-combined-cycle-10.csv;processed/iotsim-combined-cycle-tls-5.csv,0,0
unseen_source_pair,benign=processed/iotsim-combined-cycle-tls-5.csv|attack=processed/iotsim-ip-camera-museum-1.csv,6562,2109,processed/iotsim-building-monitor-2.csv;processed/iotsim-building-monitor-3.csv;processed/iotsim-city-power-1.csv;processed/iotsim-combined-cycle-10.csv;processed/iotsim-combined-cycle-tls-3.csv;processed/iotsim-combined-cycle-tls-4.csv,processed/iotsim-combined-cycle-tls-5.csv;processed/iotsim-ip-camera-museum-1.csv,0,0
unseen_attack_family_origin,family=File Download|origins=processed/iotsim-combined-cycle-10.csv|benign=processed/iotsim-building-monitor-2.csv,6948,1705,processed/iotsim-building-monitor-3.csv;processed/iotsim-city-power-1.csv;processed/iotsim-combined-cycle-tls-3.csv;processed/iotsim-combined-cycle-tls-4.csv;processed/iotsim-combined-cycle-tls-5.csv;processed/iotsim-ip-camera-museum-1.csv,processed/iotsim-building-monitor-2.csv;processed/iotsim-combined-cycle-10.csv,0,0
unseen_attack_family_origin,family=Ingress Tool Transfer|origins=processed/iotsim-combined-cycle-10.csv|benign=processed/iotsim-building-monitor-3.csv,7724,932,processed/iotsim-building-monitor-2.csv;processed/iotsim-city-power-1.csv;processed/iotsim-combined-cycle-tls-3.csv;processed/iotsim-combined-cycle-tls-4.csv;processed/iotsim-combined-cycle-tls-5.csv;processed/iotsim-ip-camera-museum-1.csv,processed/iotsim-building-monitor-3.csv;processed/iotsim-combined-cycle-10.csv,0,0
unseen_attack_family_origin,family=Merlin C&C Communication|origins=processed/iotsim-ip-camera-museum-1.csv|benign=processed/iotsim-combined-cycle-tls-3.csv,6562,1924,processed/iotsim-building-monitor-2.csv;processed/iotsim-building-monitor-3.csv;processed/iotsim-city-power-1.csv;processed/iotsim-combined-cycle-10.csv;processed/iotsim-combined-cycle-tls-4.csv;processed/iotsim-combined-cycle-tls-5.csv,processed/iotsim-combined-cycle-tls-3.csv;processed/iotsim-ip-camera-museum-1.csv,0,0
unseen_attack_family_origin,family=Merlin ICMP Flooding|origins=processed/iotsim-city-power-1.csv;processed/iotsim-ip-camera-museum-1.csv|benign=processed/iotsim-combined-cycle-tls-4.csv,6425,1937,processed/iotsim-building-monitor-2.csv;processed/iotsim-building-monitor-3.csv;processed/iotsim-combined-cycle-10.csv;processed/iotsim-combined-cycle-tls-3.csv;processed/iotsim-combined-cycle-tls-5.csv,processed/iotsim-city-power-1.csv;processed/iotsim-combined-cycle-tls-4.csv;processed/iotsim-ip-camera-museum-1.csv,0,0
unseen_attack_family_origin,family=Merlin TCP Flooding|origins=processed/iotsim-city-power-1.csv;processed/iotsim-ip-camera-museum-1.csv|benign=processed/iotsim-combined-cycle-tls-5.csv,6425,1954,processed/iotsim-building-monitor-2.csv;processed/iotsim-building-monitor-3.csv;processed/iotsim-combined-cycle-10.csv;processed/iotsim-combined-cycle-tls-3.csv;processed/iotsim-combined-cycle-tls-4.csv,processed/iotsim-city-power-1.csv;processed/iotsim-combined-cycle-tls-5.csv;processed/iotsim-ip-camera-museum-1.csv,0,0
unseen_attack_family_origin,family=Merlin UDP Flooding|origins=processed/iotsim-city-power-1.csv;processed/iotsim-ip-camera-museum-1.csv|benign=processed/iotsim-building-monitor-2.csv,6629,1720,processed/iotsim-building-monitor-3.csv;processed/iotsim-combined-cycle-10.csv;processed/iotsim-combined-cycle-tls-3.csv;processed/iotsim-combined-cycle-tls-4.csv;processed/iotsim-combined-cycle-tls-5.csv,processed/iotsim-building-monitor-2.csv;processed/iotsim-city-power-1.csv;processed/iotsim-ip-camera-museum-1.csv,0,0
unseen_attack_family_origin,family=Mirai C&C Communication|origins=processed/iotsim-ip-camera-museum-1.csv|benign=processed/iotsim-building-monitor-3.csv,7542,923,processed/iotsim-building-monitor-2.csv;processed/iotsim-city-power-1.csv;processed/iotsim-combined-cycle-10.csv;processed/iotsim-combined-cycle-tls-3.csv;processed/iotsim-combined-cycle-tls-4.csv;processed/iotsim-combined-cycle-tls-5.csv,processed/iotsim-building-monitor-3.csv;processed/iotsim-ip-camera-museum-1.csv,0,0
unseen_attack_family_origin,family=Mirai GRE Flooding|origins=processed/iotsim-city-power-1.csv;processed/iotsim-ip-camera-museum-1.csv|benign=processed/iotsim-combined-cycle-tls-3.csv,6425,1954,processed/iotsim-building-monitor-2.csv;processed/iotsim-building-monitor-3.csv;processed/iotsim-combined-cycle-10.csv;processed/iotsim-combined-cycle-tls-4.csv;processed/iotsim-combined-cycle-tls-5.csv,processed/iotsim-city-power-1.csv;processed/iotsim-combined-cycle-tls-3.csv;processed/iotsim-ip-camera-museum-1.csv,0,0
unseen_attack_family_origin,family=Mirai TCP Flooding|origins=processed/iotsim-city-power-1.csv;processed/iotsim-ip-camera-museum-1.csv|benign=processed/iotsim-combined-cycle-tls-4.csv,6425,1954,processed/iotsim-building-monitor-2.csv;processed/iotsim-building-monitor-3.csv;processed/iotsim-combined-cycle-10.csv;processed/iotsim-combined-cycle-tls-3.csv;processed/iotsim-combined-cycle-tls-5.csv,processed/iotsim-city-power-1.csv;processed/iotsim-combined-cycle-tls-4.csv;processed/iotsim-ip-camera-museum-1.csv,0,0
unseen_attack_family_origin,family=Mirai UDP Flooding|origins=processed/iotsim-city-power-1.csv;processed/iotsim-ip-camera-museum-1.csv|benign=processed/iotsim-combined-cycle-tls-5.csv,6425,1954,processed/iotsim-building-monitor-2.csv;processed/iotsim-building-monitor-3.csv;processed/iotsim-combined-cycle-10.csv;processed/iotsim-combined-cycle-tls-3.csv;processed/iotsim-combined-cycle-tls-4.csv,processed/iotsim-city-power-1.csv;processed/iotsim-combined-cycle-tls-5.csv;processed/iotsim-ip-camera-museum-1.csv,0,0
