representation,positive_budget,seed,threshold_policy,auc_attack_vs_ood,ood_alarm,attack_detection,feasible,note,appendix_candidate,paper_role
source_rich,32,46,fixed_id_calib_q99,0.9682272,0.0068,0.9476363636363636,True,reused source_rich v7.2 seed-level result; no retraining; E3/E3-b no-leakage audit passed,False,complementary hard-holdout robustness / auditability asset
source_rich,32,46,guarded_id_calib_and_ood_val_target1pct,0.9682272,0.0068,0.9476363636363636,True,reused source_rich v7.2 seed-level result; no retraining; E3/E3-b no-leakage audit passed,False,complementary hard-holdout robustness / auditability asset
source_rich,64,42,fixed_id_calib_q99,0.9640362909090908,0.013,0.9250909090909092,False,appendix candidate only; reused source_rich v7.2 seed-level result; no retraining; E3/E3-b no-leakage audit passed,True,complementary hard-holdout robustness / auditability asset
source_rich,64,42,guarded_id_calib_and_ood_val_target1pct,0.9640362909090908,0.0111,0.9207272727272728,False,appendix candidate only; reused source_rich v7.2 seed-level result; no retraining; E3/E3-b no-leakage audit passed,True,complementary hard-holdout robustness / auditability asset
source_rich,64,43,fixed_id_calib_q99,0.9943178909090908,0.0098,0.9781818181818182,True,appendix candidate only; reused source_rich v7.2 seed-level result; no retraining; E3/E3-b no-leakage audit passed,True,complementary hard-holdout robustness / auditability asset
source_rich,64,43,guarded_id_calib_and_ood_val_target1pct,0.9943178909090908,0.0079,0.9767272727272728,True,appendix candidate only; reused source_rich v7.2 seed-level result; no retraining; E3/E3-b no-leakage audit passed,True,complementary hard-holdout robustness / auditability asset
source_rich,64,44,fixed_id_calib_q99,0.9974102545454544,0.0218,0.9832727272727272,False,appendix candidate only; reused source_rich v7.2 seed-level result; no retraining; E3/E3-b no-leakage audit passed,True,complementary hard-holdout robustness / auditability asset
source_rich,64,44,guarded_id_calib_and_ood_val_target1pct,0.9974102545454544,0.0142,0.9803636363636364,False,appendix candidate only; reused source_rich v7.2 seed-level result; no retraining; E3/E3-b no-leakage audit passed,True,complementary hard-holdout robustness / auditability asset
source_rich,64,45,fixed_id_calib_q99,0.9845515636363636,0.0032,0.9425454545454546,True,appendix candidate only; reused source_rich v7.2 seed-level result; no retraining; E3/E3-b no-leakage audit passed,True,complementary hard-holdout robustness / auditability asset
source_rich,64,45,guarded_id_calib_and_ood_val_target1pct,0.9845515636363636,0.0032,0.9425454545454546,True,appendix candidate only; reused source_rich v7.2 seed-level result; no retraining; E3/E3-b no-leakage audit passed,True,complementary hard-holdout robustness / auditability asset
source_rich,64,46,fixed_id_calib_q99,0.9781028363636364,0.0042,0.9374545454545454,True,appendix candidate only; reused source_rich v7.2 seed-level result; no retraining; E3/E3-b no-leakage audit passed,True,complementary hard-holdout robustness / auditability asset
source_rich,64,46,guarded_id_calib_and_ood_val_target1pct,0.9781028363636364,0.0041,0.9374545454545454,True,appendix candidate only; reused source_rich v7.2 seed-level result; no retraining; E3/E3-b no-leakage audit passed,True,complementary hard-holdout robustness / auditability asset
