held_value,scope,record_set,records_before,records_removed,records_after,blocked_source_groups,seed,role,phase,rows_before,held_rows_removed,rows_after,held_rows_remaining
combined-cycle,tgn_ssl_and_verifier_source_exclusion,fit_attack,352.0,0.0,352.0,2.0,27,,,,,,
combined-cycle,tgn_ssl_and_verifier_source_exclusion,fit_benign,12000.0,0.0,12000.0,2.0,27,,,,,,
iotsim-ip-camera-street,tgn_ssl_and_support,,,,,,27,support_train,fit,385.0,0.0,385.0,0.0
iotsim-ip-camera-street,benign_ood_fit_and_standardize,,,,,,27,id_calib,fit,4000.0,0.0,4000.0,0.0
iotsim-ip-camera-street,benign_ood_fit_and_standardize,,,,,,27,ood_val,fit,4000.0,0.0,4000.0,0.0
iotsim-ip-camera-street,benign_ood_fit_and_standardize,,,,,,27,ood_stress,fit,4000.0,0.0,4000.0,0.0
iotsim-ip-camera-street,negative_sampling_and_hard_pairs,,,,,,27,support_train,fit,385.0,0.0,385.0,0.0
iotsim-ip-camera-street,negative_sampling_and_hard_pairs,,,,,,27,id_calib,fit,4000.0,0.0,4000.0,0.0
iotsim-ip-camera-street,negative_sampling_and_hard_pairs,,,,,,27,ood_val,fit,4000.0,0.0,4000.0,0.0
iotsim-ip-camera-street,negative_sampling_and_hard_pairs,,,,,,27,ood_stress,fit,4000.0,0.0,4000.0,0.0
iotsim-ip-camera-street,gate_threshold_and_c1_select,,,,,,27,support_val,select,69.0,0.0,69.0,0.0
iotsim-ip-camera-street,gate_threshold_and_c1_select,,,,,,27,id_calib,select,3000.0,0.0,3000.0,0.0
iotsim-ip-camera-street,gate_threshold_and_c1_select,,,,,,27,ood_val,select,3000.0,0.0,3000.0,0.0
iotsim-ip-camera-street,gate_threshold_and_c1_select,,,,,,27,ood_stress,select,3000.0,0.0,3000.0,0.0
iotsim-ip-camera-street,tgn_ssl_and_verifier_source_exclusion,fit_attack,385.0,0.0,385.0,1.0,27,,,,,,
iotsim-ip-camera-street,tgn_ssl_and_verifier_source_exclusion,fit_benign,12000.0,0.0,12000.0,1.0,27,,,,,,
