held_value,bucket,role,phase,rows_before_exclude,rows_after_exclude,held_rows_removed,held_rows_remaining_after_exclude,pass_no_held_leakage,nonheld_rows_in_eval_include,pass_eval_only_held
iotsim-hydraulic-system,eval_include_only,id_calib,select,,0,,,,0,True
iotsim-hydraulic-system,eval_include_only,ood_val,select,,3000,,,,0,True
iotsim-hydraulic-system,eval_include_only,ood_stress,select,,0,,,,0,True
iotsim-hydraulic-system,eval_include_only,support_val,select,,0,,,,0,True
iotsim-hydraulic-system,eval_include_only,same_file_query,select,,0,,,,0,True
iotsim-hydraulic-system,eval_include_only,future_query,select,,0,,,,0,True
iotsim-hydraulic-system,eval_include_only,sealed_final_ood,all,,0,,,,0,True
iotsim-hydraulic-system,eval_include_only,sealed_final_attack,all,,0,,,,0,True
domotic-monitor,fit,support_train,fit,385,385,0,0,True,,
domotic-monitor,fit,id_calib,fit,4000,4000,0,0,True,,
domotic-monitor,fit,ood_val,fit,4000,4000,0,0,True,,
domotic-monitor,fit,ood_stress,fit,4000,4000,0,0,True,,
domotic-monitor,threshold,id_calib,select,3000,3000,0,0,True,,
domotic-monitor,threshold,ood_val,select,3000,3000,0,0,True,,
domotic-monitor,threshold,ood_stress,select,3000,3000,0,0,True,,
domotic-monitor,support_select_not_threshold_benign,support_val,select,69,69,0,0,True,,
domotic-monitor,eval_include_only,id_calib,select,,0,,,,0,True
domotic-monitor,eval_include_only,ood_val,select,,0,,,,0,True
domotic-monitor,eval_include_only,ood_stress,select,,0,,,,0,True
domotic-monitor,eval_include_only,support_val,select,,0,,,,0,True
domotic-monitor,eval_include_only,same_file_query,select,,0,,,,0,True
domotic-monitor,eval_include_only,future_query,select,,3000,,,,0,True
domotic-monitor,eval_include_only,sealed_final_ood,all,,0,,,,0,True
domotic-monitor,eval_include_only,sealed_final_attack,all,,0,,,,0,True
combined-cycle,fit,support_train,fit,385,352,33,0,True,,
combined-cycle,fit,id_calib,fit,4000,4000,0,0,True,,
combined-cycle,fit,ood_val,fit,4000,4000,0,0,True,,
combined-cycle,fit,ood_stress,fit,4000,4000,0,0,True,,
combined-cycle,threshold,id_calib,select,3000,3000,0,0,True,,
combined-cycle,threshold,ood_val,select,3000,3000,0,0,True,,
combined-cycle,threshold,ood_stress,select,3000,3000,0,0,True,,
combined-cycle,support_select_not_threshold_benign,support_val,select,69,63,6,0,True,,
combined-cycle,eval_include_only,id_calib,select,,0,,,,0,True
combined-cycle,eval_include_only,ood_val,select,,0,,,,0,True
combined-cycle,eval_include_only,ood_stress,select,,0,,,,0,True
combined-cycle,eval_include_only,support_val,select,,6,,,,0,True
combined-cycle,eval_include_only,same_file_query,select,,2486,,,,0,True
combined-cycle,eval_include_only,future_query,select,,3000,,,,0,True
combined-cycle,eval_include_only,sealed_final_ood,all,,0,,,,0,True
combined-cycle,eval_include_only,sealed_final_attack,all,,0,,,,0,True
iotsim-ip-camera-street,fit,support_train,fit,385,385,0,0,True,,
iotsim-ip-camera-street,fit,id_calib,fit,4000,4000,0,0,True,,
iotsim-ip-camera-street,fit,ood_val,fit,4000,4000,0,0,True,,
iotsim-ip-camera-street,fit,ood_stress,fit,4000,4000,0,0,True,,
iotsim-ip-camera-street,threshold,id_calib,select,3000,3000,0,0,True,,
iotsim-ip-camera-street,threshold,ood_val,select,3000,3000,0,0,True,,
iotsim-ip-camera-street,threshold,ood_stress,select,3000,3000,0,0,True,,
iotsim-ip-camera-street,support_select_not_threshold_benign,support_val,select,69,69,0,0,True,,
iotsim-ip-camera-street,eval_include_only,id_calib,select,,0,,,,0,True
iotsim-ip-camera-street,eval_include_only,ood_val,select,,0,,,,0,True
iotsim-ip-camera-street,eval_include_only,ood_stress,select,,0,,,,0,True
iotsim-ip-camera-street,eval_include_only,support_val,select,,0,,,,0,True
iotsim-ip-camera-street,eval_include_only,same_file_query,select,,0,,,,0,True
iotsim-ip-camera-street,eval_include_only,future_query,select,,0,,,,0,True
iotsim-ip-camera-street,eval_include_only,sealed_final_ood,all,,3000,,,,0,True
iotsim-ip-camera-street,eval_include_only,sealed_final_attack,all,,0,,,,0,True
