role,frame_phase,m1_phase,held_value,eligible_role_rows,frozen_target_rows,outside_frozen_target_cohort,target_alignment_incomplete,requested_rows,cache_aligned_rows,unmapped_rows,label_for_metric_only,report,protocol_run,seed,extension_fit_select_rows
ood_val,fit,fit,iotsim-stream-consumer,4000,4000,0,0,4000,4000,0,0,False,iotsim-stream-consumer,27,
ood_stress,fit,fit,iotsim-stream-consumer,0,0,0,0,0,0,0,0,False,iotsim-stream-consumer,27,
support_val,select,select,iotsim-stream-consumer,69,69,0,0,69,69,0,1,False,iotsim-stream-consumer,27,
id_calib,select,select,iotsim-stream-consumer,3000,3000,0,0,3000,3000,0,0,False,iotsim-stream-consumer,27,
ood_val,select,select,iotsim-stream-consumer,3000,3000,0,0,3000,3000,0,0,False,iotsim-stream-consumer,27,
ood_stress,select,select,iotsim-stream-consumer,0,0,0,0,0,0,0,0,False,iotsim-stream-consumer,27,
id_calib,select,report,iotsim-stream-consumer,0,0,0,0,0,0,0,0,True,iotsim-stream-consumer,27,
ood_val,select,report,iotsim-stream-consumer,0,0,0,0,0,0,0,0,True,iotsim-stream-consumer,27,
ood_stress,select,report,iotsim-stream-consumer,79950,3000,76950,0,79950,3000,76950,0,True,iotsim-stream-consumer,27,
same_file_query,all,report,iotsim-stream-consumer,0,0,0,0,0,0,0,1,True,iotsim-stream-consumer,27,
future_query,all,report,iotsim-stream-consumer,0,0,0,0,0,0,0,1,True,iotsim-stream-consumer,27,
sealed_final_ood,report_only,report,iotsim-stream-consumer,0,0,0,0,0,0,0,0,True,iotsim-stream-consumer,27,
sealed_final_attack,report_only,report,iotsim-stream-consumer,0,0,0,0,0,0,0,1,True,iotsim-stream-consumer,27,
REPORT_EXTENSION,report_only,report,iotsim-stream-consumer,0,0,0,0,0,0,0,True,True,iotsim-stream-consumer,27,0.0
support_train,fit,fit,iotsim-hydraulic-system,385,385,0,0,385,385,0,1,False,iotsim-hydraulic-system,27,
id_calib,fit,fit,iotsim-hydraulic-system,4000,4000,0,0,4000,4000,0,0,False,iotsim-hydraulic-system,27,
ood_val,fit,fit,iotsim-hydraulic-system,2604,2604,0,0,2604,2604,0,0,False,iotsim-hydraulic-system,27,
ood_stress,fit,fit,iotsim-hydraulic-system,4000,4000,0,0,4000,4000,0,0,False,iotsim-hydraulic-system,27,
support_val,select,select,iotsim-hydraulic-system,69,69,0,0,69,69,0,1,False,iotsim-hydraulic-system,27,
id_calib,select,select,iotsim-hydraulic-system,3000,3000,0,0,3000,3000,0,0,False,iotsim-hydraulic-system,27,
ood_val,select,select,iotsim-hydraulic-system,0,0,0,0,0,0,0,0,False,iotsim-hydraulic-system,27,
ood_stress,select,select,iotsim-hydraulic-system,3000,3000,0,0,3000,3000,0,0,False,iotsim-hydraulic-system,27,
id_calib,select,report,iotsim-hydraulic-system,0,0,0,0,0,0,0,0,True,iotsim-hydraulic-system,27,
ood_val,select,report,iotsim-hydraulic-system,12205,3000,9205,0,12205,3000,9205,0,True,iotsim-hydraulic-system,27,
ood_stress,select,report,iotsim-hydraulic-system,0,0,0,0,0,0,0,0,True,iotsim-hydraulic-system,27,
same_file_query,all,report,iotsim-hydraulic-system,0,0,0,0,0,0,0,1,True,iotsim-hydraulic-system,27,
future_query,all,report,iotsim-hydraulic-system,0,0,0,0,0,0,0,1,True,iotsim-hydraulic-system,27,
sealed_final_ood,report_only,report,iotsim-hydraulic-system,0,0,0,0,0,0,0,0,True,iotsim-hydraulic-system,27,
sealed_final_attack,report_only,report,iotsim-hydraulic-system,0,0,0,0,0,0,0,1,True,iotsim-hydraulic-system,27,
REPORT_EXTENSION,report_only,report,iotsim-hydraulic-system,0,0,0,0,0,0,0,True,True,iotsim-hydraulic-system,27,0.0
support_train,fit,fit,domotic-monitor,385,385,0,0,385,385,0,1,False,domotic-monitor,27,
id_calib,fit,fit,domotic-monitor,4000,4000,0,0,4000,4000,0,0,False,domotic-monitor,27,
ood_val,fit,fit,domotic-monitor,4000,4000,0,0,4000,4000,0,0,False,domotic-monitor,27,
ood_stress,fit,fit,domotic-monitor,4000,4000,0,0,4000,4000,0,0,False,domotic-monitor,27,
support_val,select,select,domotic-monitor,69,69,0,0,69,69,0,1,False,domotic-monitor,27,
id_calib,select,select,domotic-monitor,3000,3000,0,0,3000,3000,0,0,False,domotic-monitor,27,
ood_val,select,select,domotic-monitor,3000,3000,0,0,3000,3000,0,0,False,domotic-monitor,27,
ood_stress,select,select,domotic-monitor,3000,3000,0,0,3000,3000,0,0,False,domotic-monitor,27,
id_calib,select,report,domotic-monitor,0,0,0,0,0,0,0,0,True,domotic-monitor,27,
ood_val,select,report,domotic-monitor,0,0,0,0,0,0,0,0,True,domotic-monitor,27,
ood_stress,select,report,domotic-monitor,0,0,0,0,0,0,0,0,True,domotic-monitor,27,
same_file_query,all,report,domotic-monitor,0,0,0,0,0,0,0,1,True,domotic-monitor,27,
future_query,all,report,domotic-monitor,91812,3000,88812,0,91812,3000,88812,1,True,domotic-monitor,27,
sealed_final_ood,report_only,report,domotic-monitor,0,0,0,0,0,0,0,0,True,domotic-monitor,27,
sealed_final_attack,report_only,report,domotic-monitor,0,0,0,0,0,0,0,1,True,domotic-monitor,27,
REPORT_EXTENSION,report_only,report,domotic-monitor,0,0,0,0,0,0,0,True,True,domotic-monitor,27,0.0
support_train,fit,fit,combined-cycle,352,352,0,0,352,352,0,1,False,combined-cycle,27,
id_calib,fit,fit,combined-cycle,4000,4000,0,0,4000,4000,0,0,False,combined-cycle,27,
ood_val,fit,fit,combined-cycle,4000,4000,0,0,4000,4000,0,0,False,combined-cycle,27,
ood_stress,fit,fit,combined-cycle,4000,4000,0,0,4000,4000,0,0,False,combined-cycle,27,
support_val,select,select,combined-cycle,63,63,0,0,63,63,0,1,False,combined-cycle,27,
id_calib,select,select,combined-cycle,3000,3000,0,0,3000,3000,0,0,False,combined-cycle,27,
ood_val,select,select,combined-cycle,3000,3000,0,0,3000,3000,0,0,False,combined-cycle,27,
ood_stress,select,select,combined-cycle,3000,3000,0,0,3000,3000,0,0,False,combined-cycle,27,
id_calib,select,report,combined-cycle,0,0,0,0,0,0,0,0,True,combined-cycle,27,
ood_val,select,report,combined-cycle,0,0,0,0,0,0,0,0,True,combined-cycle,27,
ood_stress,select,report,combined-cycle,0,0,0,0,0,0,0,0,True,combined-cycle,27,
same_file_query,all,report,combined-cycle,2486,2486,0,0,2486,2486,0,1,True,combined-cycle,27,
future_query,all,report,combined-cycle,112729,3000,109729,0,112729,3000,109729,1,True,combined-cycle,27,
sealed_final_ood,report_only,report,combined-cycle,0,0,0,0,0,0,0,0,True,combined-cycle,27,
sealed_final_attack,report_only,report,combined-cycle,0,0,0,0,0,0,0,1,True,combined-cycle,27,
REPORT_EXTENSION,report_only,report,combined-cycle,0,0,0,0,0,0,0,True,True,combined-cycle,27,0.0
support_train,fit,fit,iotsim-ip-camera-street,385,385,0,0,385,385,0,1,False,iotsim-ip-camera-street,27,
id_calib,fit,fit,iotsim-ip-camera-street,4000,4000,0,0,4000,4000,0,0,False,iotsim-ip-camera-street,27,
ood_val,fit,fit,iotsim-ip-camera-street,4000,4000,0,0,4000,4000,0,0,False,iotsim-ip-camera-street,27,
ood_stress,fit,fit,iotsim-ip-camera-street,4000,4000,0,0,4000,4000,0,0,False,iotsim-ip-camera-street,27,
support_val,select,select,iotsim-ip-camera-street,69,69,0,0,69,69,0,1,False,iotsim-ip-camera-street,27,
id_calib,select,select,iotsim-ip-camera-street,3000,3000,0,0,3000,3000,0,0,False,iotsim-ip-camera-street,27,
ood_val,select,select,iotsim-ip-camera-street,3000,3000,0,0,3000,3000,0,0,False,iotsim-ip-camera-street,27,
ood_stress,select,select,iotsim-ip-camera-street,3000,3000,0,0,3000,3000,0,0,False,iotsim-ip-camera-street,27,
id_calib,select,report,iotsim-ip-camera-street,0,0,0,0,0,0,0,0,True,iotsim-ip-camera-street,27,
ood_val,select,report,iotsim-ip-camera-street,0,0,0,0,0,0,0,0,True,iotsim-ip-camera-street,27,
ood_stress,select,report,iotsim-ip-camera-street,0,0,0,0,0,0,0,0,True,iotsim-ip-camera-street,27,
same_file_query,all,report,iotsim-ip-camera-street,0,0,0,0,0,0,0,1,True,iotsim-ip-camera-street,27,
future_query,all,report,iotsim-ip-camera-street,0,0,0,0,0,0,0,1,True,iotsim-ip-camera-street,27,
sealed_final_ood,report_only,report,iotsim-ip-camera-street,99950,3000,96950,0,99950,3000,96950,0,True,iotsim-ip-camera-street,27,
sealed_final_attack,report_only,report,iotsim-ip-camera-street,0,0,0,0,0,0,0,1,True,iotsim-ip-camera-street,27,
REPORT_EXTENSION,report_only,report,iotsim-ip-camera-street,0,0,0,0,0,0,0,True,True,iotsim-ip-camera-street,27,0.0
