held_value,scope,record_set,records_before,records_removed,records_after,blocked_source_groups,protocol_run,seed,role,phase,rows_before,held_rows_removed,rows_after,held_rows_remaining
domotic-monitor,gate_threshold_and_c1_select,,,,,,domotic-monitor,27,ood_stress,select,3000.0,0.0,3000.0,0.0
domotic-monitor,tgn_ssl_and_verifier_source_exclusion,fit_attack,385.0,0.0,385.0,1.0,domotic-monitor,27,,,,,,
domotic-monitor,tgn_ssl_and_verifier_source_exclusion,fit_benign,12000.0,0.0,12000.0,1.0,domotic-monitor,27,,,,,,
combined-cycle,tgn_ssl_and_support,,,,,,combined-cycle,27,support_train,fit,385.0,33.0,352.0,0.0
combined-cycle,benign_ood_fit_and_standardize,,,,,,combined-cycle,27,id_calib,fit,4000.0,0.0,4000.0,0.0
combined-cycle,benign_ood_fit_and_standardize,,,,,,combined-cycle,27,ood_val,fit,4000.0,0.0,4000.0,0.0
combined-cycle,benign_ood_fit_and_standardize,,,,,,combined-cycle,27,ood_stress,fit,4000.0,0.0,4000.0,0.0
combined-cycle,negative_sampling_and_hard_pairs,,,,,,combined-cycle,27,support_train,fit,385.0,33.0,352.0,0.0
combined-cycle,negative_sampling_and_hard_pairs,,,,,,combined-cycle,27,id_calib,fit,4000.0,0.0,4000.0,0.0
combined-cycle,negative_sampling_and_hard_pairs,,,,,,combined-cycle,27,ood_val,fit,4000.0,0.0,4000.0,0.0
combined-cycle,negative_sampling_and_hard_pairs,,,,,,combined-cycle,27,ood_stress,fit,4000.0,0.0,4000.0,0.0
combined-cycle,gate_threshold_and_c1_select,,,,,,combined-cycle,27,support_val,select,69.0,6.0,63.0,0.0
combined-cycle,gate_threshold_and_c1_select,,,,,,combined-cycle,27,id_calib,select,3000.0,0.0,3000.0,0.0
combined-cycle,gate_threshold_and_c1_select,,,,,,combined-cycle,27,ood_val,select,3000.0,0.0,3000.0,0.0
combined-cycle,gate_threshold_and_c1_select,,,,,,combined-cycle,27,ood_stress,select,3000.0,0.0,3000.0,0.0
combined-cycle,tgn_ssl_and_verifier_source_exclusion,fit_attack,352.0,0.0,352.0,2.0,combined-cycle,27,,,,,,
combined-cycle,tgn_ssl_and_verifier_source_exclusion,fit_benign,12000.0,0.0,12000.0,2.0,combined-cycle,27,,,,,,
iotsim-ip-camera-street,tgn_ssl_and_support,,,,,,iotsim-ip-camera-street,27,support_train,fit,385.0,0.0,385.0,0.0
iotsim-ip-camera-street,benign_ood_fit_and_standardize,,,,,,iotsim-ip-camera-street,27,id_calib,fit,4000.0,0.0,4000.0,0.0
iotsim-ip-camera-street,benign_ood_fit_and_standardize,,,,,,iotsim-ip-camera-street,27,ood_val,fit,4000.0,0.0,4000.0,0.0
iotsim-ip-camera-street,benign_ood_fit_and_standardize,,,,,,iotsim-ip-camera-street,27,ood_stress,fit,4000.0,0.0,4000.0,0.0
iotsim-ip-camera-street,negative_sampling_and_hard_pairs,,,,,,iotsim-ip-camera-street,27,support_train,fit,385.0,0.0,385.0,0.0
iotsim-ip-camera-street,negative_sampling_and_hard_pairs,,,,,,iotsim-ip-camera-street,27,id_calib,fit,4000.0,0.0,4000.0,0.0
iotsim-ip-camera-street,negative_sampling_and_hard_pairs,,,,,,iotsim-ip-camera-street,27,ood_val,fit,4000.0,0.0,4000.0,0.0
iotsim-ip-camera-street,negative_sampling_and_hard_pairs,,,,,,iotsim-ip-camera-street,27,ood_stress,fit,4000.0,0.0,4000.0,0.0
iotsim-ip-camera-street,gate_threshold_and_c1_select,,,,,,iotsim-ip-camera-street,27,support_val,select,69.0,0.0,69.0,0.0
iotsim-ip-camera-street,gate_threshold_and_c1_select,,,,,,iotsim-ip-camera-street,27,id_calib,select,3000.0,0.0,3000.0,0.0
iotsim-ip-camera-street,gate_threshold_and_c1_select,,,,,,iotsim-ip-camera-street,27,ood_val,select,3000.0,0.0,3000.0,0.0
iotsim-ip-camera-street,gate_threshold_and_c1_select,,,,,,iotsim-ip-camera-street,27,ood_stress,select,3000.0,0.0,3000.0,0.0
iotsim-ip-camera-street,tgn_ssl_and_verifier_source_exclusion,fit_attack,385.0,0.0,385.0,1.0,iotsim-ip-camera-street,27,,,,,,
iotsim-ip-camera-street,tgn_ssl_and_verifier_source_exclusion,fit_benign,12000.0,0.0,12000.0,1.0,iotsim-ip-camera-street,27,,,,,,
