role,csv_archive_path,exists_in_manifest,file_name,inferred_device,observed_protocol,total_rows,benign_rows,attack_rows,all_benign,mixed_label,attack_type_values,pcap_counterpart_candidate,pcap_pairing_confidence,timestamp_parse_status,notes,failure_reason
id_benign_train,processed/iotsim-predictive-maintenance-3.csv,true,iotsim-predictive-maintenance-3.csv,predictive-maintenance,mqtt,13726,13726,0,True,False,,raw/benign/iotsim-predictive-maintenance-3_0-0_to_OpenvSwitch-19_3-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
id_benign_train,processed/iotsim-predictive-maintenance-4.csv,true,iotsim-predictive-maintenance-4.csv,predictive-maintenance,mqtt,13726,13726,0,True,False,,raw/benign/iotsim-predictive-maintenance-4_0-0_to_OpenvSwitch-19_4-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
id_benign_train,processed/iotsim-combined-cycle-tls-1.csv,true,iotsim-combined-cycle-tls-1.csv,combined-cycle-tls,coap,1944,1944,0,True,False,,raw/benign/iotsim-combined-cycle-tls-1_0-0_to_OpenvSwitch-14_1-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
id_benign_train,processed/iotsim-combined-cycle-tls-2.csv,true,iotsim-combined-cycle-tls-2.csv,combined-cycle-tls,coap,1944,1944,0,True,False,,raw/benign/iotsim-combined-cycle-tls-2_0-0_to_OpenvSwitch-14_2-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
id_benign_calib,processed/iotsim-cooler-motor-5.csv,true,iotsim-cooler-motor-5.csv,cooler-motor,mqtt,22471,22471,0,True,False,,raw/benign/iotsim-cooler-motor-5_0-0_to_OpenvSwitch-18_5-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
id_benign_calib,processed/iotsim-cooler-motor-6.csv,true,iotsim-cooler-motor-6.csv,cooler-motor,mqtt,22468,22468,0,True,False,,raw/benign/iotsim-cooler-motor-6_0-0_to_OpenvSwitch-18_6-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
id_benign_calib,processed/iotsim-cooler-motor-7.csv,true,iotsim-cooler-motor-7.csv,cooler-motor,mqtt,22475,22475,0,True,False,,raw/benign/iotsim-cooler-motor-7_0-0_to_OpenvSwitch-18_7-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
id_benign_calib,processed/iotsim-cooler-motor-8.csv,true,iotsim-cooler-motor-8.csv,cooler-motor,mqtt,22466,22466,0,True,False,,raw/benign/iotsim-cooler-motor-8_0-0_to_OpenvSwitch-18_8-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
id_benign_calib,processed/iotsim-cooler-motor-9.csv,true,iotsim-cooler-motor-9.csv,cooler-motor,mqtt,22472,22472,0,True,False,,raw/benign/iotsim-cooler-motor-9_0-0_to_OpenvSwitch-18_9-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
id_benign_calib,processed/iotsim-predictive-maintenance-5.csv,true,iotsim-predictive-maintenance-5.csv,predictive-maintenance,mqtt,13710,13710,0,True,False,,raw/benign/iotsim-predictive-maintenance-5_0-0_to_OpenvSwitch-19_5-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
id_benign_calib,processed/iotsim-predictive-maintenance-6.csv,true,iotsim-predictive-maintenance-6.csv,predictive-maintenance,mqtt,13726,13726,0,True,False,,raw/benign/iotsim-predictive-maintenance-6_0-0_to_OpenvSwitch-19_6-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
id_benign_calib,processed/iotsim-predictive-maintenance-7.csv,true,iotsim-predictive-maintenance-7.csv,predictive-maintenance,mqtt,13724,13724,0,True,False,,raw/benign/iotsim-predictive-maintenance-7_0-0_to_OpenvSwitch-19_7-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
id_benign_calib,processed/iotsim-predictive-maintenance-8.csv,true,iotsim-predictive-maintenance-8.csv,predictive-maintenance,mqtt,13721,13721,0,True,False,,raw/benign/iotsim-predictive-maintenance-8_0-0_to_OpenvSwitch-19_8-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
id_benign_calib,processed/iotsim-predictive-maintenance-9.csv,true,iotsim-predictive-maintenance-9.csv,predictive-maintenance,mqtt,13711,13711,0,True,False,,raw/benign/iotsim-predictive-maintenance-9_0-0_to_OpenvSwitch-19_9-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
id_benign_calib,processed/iotsim-combined-cycle-tls-3.csv,true,iotsim-combined-cycle-tls-3.csv,combined-cycle-tls,coap,1944,1944,0,True,False,,raw/benign/iotsim-combined-cycle-tls-3_0-0_to_OpenvSwitch-14_3-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
id_benign_calib,processed/iotsim-combined-cycle-tls-4.csv,true,iotsim-combined-cycle-tls-4.csv,combined-cycle-tls,coap,1944,1944,0,True,False,,raw/benign/iotsim-combined-cycle-tls-4_0-0_to_OpenvSwitch-14_4-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
id_benign_calib,processed/iotsim-combined-cycle-tls-5.csv,true,iotsim-combined-cycle-tls-5.csv,combined-cycle-tls,coap,1944,1944,0,True,False,,raw/benign/iotsim-combined-cycle-tls-5_0-0_to_OpenvSwitch-14_5-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
ood_benign_val,processed/iotsim-hydraulic-system-1.csv,true,iotsim-hydraulic-system-1.csv,hydraulic-system,mqtt,17432,17432,0,True,False,,raw/benign/iotsim-hydraulic-system-15_0-0_to_OpenvSwitch-16_5-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
ood_benign_val,processed/iotsim-hydraulic-system-10.csv,true,iotsim-hydraulic-system-10.csv,hydraulic-system,mqtt,2506,2506,0,True,False,,raw/benign/iotsim-hydraulic-system-10_0-0_to_OpenvSwitch-15_10-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
ood_benign_val,processed/iotsim-hydraulic-system-11.csv,true,iotsim-hydraulic-system-11.csv,hydraulic-system,tls,2466,2466,0,True,False,,raw/benign/iotsim-hydraulic-system-11_0-0_to_OpenvSwitch-16_1-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
ood_benign_val,processed/iotsim-hydraulic-system-12.csv,true,iotsim-hydraulic-system-12.csv,hydraulic-system,tls,2496,2496,0,True,False,,raw/benign/iotsim-hydraulic-system-12_0-0_to_OpenvSwitch-16_2-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
ood_benign_val,processed/iotsim-hydraulic-system-13.csv,true,iotsim-hydraulic-system-13.csv,hydraulic-system,tls,2481,2481,0,True,False,,raw/benign/iotsim-hydraulic-system-13_0-0_to_OpenvSwitch-16_3-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
ood_benign_val,processed/iotsim-hydraulic-system-14.csv,true,iotsim-hydraulic-system-14.csv,hydraulic-system,tls,2481,2481,0,True,False,,raw/benign/iotsim-hydraulic-system-14_0-0_to_OpenvSwitch-16_4-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
ood_benign_val,processed/iotsim-hydraulic-system-15.csv,true,iotsim-hydraulic-system-15.csv,hydraulic-system,tls,2496,2496,0,True,False,,raw/benign/iotsim-hydraulic-system-15_0-0_to_OpenvSwitch-16_5-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
ood_benign_val,processed/iotsim-hydraulic-system-2.csv,true,iotsim-hydraulic-system-2.csv,hydraulic-system,mqtt,2501,2501,0,True,False,,raw/benign/iotsim-hydraulic-system-2_0-0_to_OpenvSwitch-15_2-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
ood_benign_val,processed/iotsim-building-monitor-2.csv,true,iotsim-building-monitor-2.csv,building-monitor,mqtt,1740,1740,0,True,False,,raw/benign/iotsim-building-monitor-2_0-0_to_OpenvSwitch-28_2-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
ood_benign_val,processed/iotsim-building-monitor-3.csv,true,iotsim-building-monitor-3.csv,building-monitor,mqtt,1740,1740,0,True,False,,raw/benign/iotsim-building-monitor-3_0-0_to_OpenvSwitch-28_3-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
ood_benign_stress,processed/iotsim-hydraulic-system-3.csv,true,iotsim-hydraulic-system-3.csv,hydraulic-system,mqtt,2499,2499,0,True,False,,raw/benign/iotsim-hydraulic-system-3_0-0_to_OpenvSwitch-15_3-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
ood_benign_stress,processed/iotsim-hydraulic-system-4.csv,true,iotsim-hydraulic-system-4.csv,hydraulic-system,mqtt,2511,2511,0,True,False,,raw/benign/iotsim-hydraulic-system-4_0-0_to_OpenvSwitch-15_4-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
ood_benign_stress,processed/iotsim-hydraulic-system-5.csv,true,iotsim-hydraulic-system-5.csv,hydraulic-system,mqtt,2503,2503,0,True,False,,raw/benign/iotsim-hydraulic-system-5_0-0_to_OpenvSwitch-15_5-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
ood_benign_stress,processed/iotsim-hydraulic-system-6.csv,true,iotsim-hydraulic-system-6.csv,hydraulic-system,mqtt,2502,2502,0,True,False,,raw/benign/iotsim-hydraulic-system-6_0-0_to_OpenvSwitch-15_6-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
ood_benign_stress,processed/iotsim-hydraulic-system-7.csv,true,iotsim-hydraulic-system-7.csv,hydraulic-system,mqtt,2501,2501,0,True,False,,raw/benign/iotsim-hydraulic-system-7_0-0_to_OpenvSwitch-15_7-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
ood_benign_stress,processed/iotsim-hydraulic-system-8.csv,true,iotsim-hydraulic-system-8.csv,hydraulic-system,mqtt,2522,2522,0,True,False,,raw/benign/iotsim-hydraulic-system-8_0-0_to_OpenvSwitch-15_8-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
ood_benign_stress,processed/iotsim-hydraulic-system-9.csv,true,iotsim-hydraulic-system-9.csv,hydraulic-system,mqtt,2509,2509,0,True,False,,raw/benign/iotsim-hydraulic-system-9_0-0_to_OpenvSwitch-15_9-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
ood_benign_stress,processed/iotsim-stream-consumer-1.csv,true,iotsim-stream-consumer-1.csv,stream-consumer,icmp,465094,465094,0,True,False,,raw/benign/iotsim-stream-consumer-1_0-0_to_OpenvSwitch-30_1-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
ood_benign_stress,processed/iotsim-stream-consumer-2.csv,true,iotsim-stream-consumer-2.csv,stream-consumer,dns,465335,465335,0,True,False,,raw/benign/iotsim-stream-consumer-2_0-0_to_OpenvSwitch-30_2-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
ood_benign_stress,processed/iotsim-domotic-monitor-2.csv,true,iotsim-domotic-monitor-2.csv,domotic-monitor,mqtt,1660,1660,0,True,False,,raw/benign/iotsim-domotic-monitor-2_0-0_to_OpenvSwitch-23_2-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
ood_benign_stress,processed/iotsim-domotic-monitor-3.csv,true,iotsim-domotic-monitor-3.csv,domotic-monitor,mqtt,1668,1668,0,True,False,,raw/benign/iotsim-domotic-monitor-3_0-0_to_OpenvSwitch-23_3-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
ood_benign_stress,processed/iotsim-building-monitor-4.csv,true,iotsim-building-monitor-4.csv,building-monitor,mqtt,1740,1740,0,True,False,,raw/benign/iotsim-building-monitor-4_0-0_to_OpenvSwitch-28_4-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
ood_benign_stress,processed/iotsim-building-monitor-5.csv,true,iotsim-building-monitor-5.csv,building-monitor,mqtt,1740,1740,0,True,False,,raw/benign/iotsim-building-monitor-5_0-0_to_OpenvSwitch-28_5-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
sealed_final_ood,processed/iotsim-ip-camera-museum-2.csv,true,iotsim-ip-camera-museum-2.csv,ip-camera-museum,rtcp,1232612,1232612,0,True,False,,raw/benign/iotsim-ip-camera-museum-2_0-0_to_OpenvSwitch-29_2-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
sealed_final_ood,processed/iotsim-ip-camera-street-2.csv,true,iotsim-ip-camera-street-2.csv,ip-camera-street,rtcp,783243,783243,0,True,False,,raw/benign/iotsim-ip-camera-street-2_0-0_to_OpenvSwitch-24_2-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
attack_support_candidate_pool,processed/iotsim-air-quality-1.csv,true,iotsim-air-quality-1.csv,air-quality,mqtt,55052,7233,46962,False,True,Ingress Tool Transfer|TCP Scan|Telnet Brute Force,raw/benign/iotsim-air-quality-1_0-0_to_OpenvSwitch-25_1-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
attack_support_candidate_pool,processed/iotsim-city-power-1.csv,true,iotsim-city-power-1.csv,city-power,coap,1516431,2320,1513259,False,True,Ingress Tool Transfer|Merlin ICMP Flooding|Merlin TCP Flooding|Merlin UDP Flooding|Mirai GRE Flooding|Mirai TCP Flooding|Mirai UDP Flooding|TCP Scan|Telnet Brute Force,raw/benign/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
dev_future_attack_query,processed/iotsim-ip-camera-museum-1.csv,true,iotsim-ip-camera-museum-1.csv,ip-camera-museum,tls,10447197,4523684,5922657,False,True,Ingress Tool Transfer|Merlin C&C Communication|Merlin ICMP Flooding|Merlin TCP Flooding|Merlin UDP Flooding|Mirai C&C Communication|Mirai GRE Flooding|Mirai TCP Flooding|Mirai UDP Flooding|TCP Scan|Telnet Brute Force,raw/benign/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
dev_future_attack_query,processed/iotsim-building-monitor-1.csv,true,iotsim-building-monitor-1.csv,building-monitor,tls,5550987,6406,5543719,False,True,C&C Communication|File Download|Ingress Tool Transfer|Merlin C&C Communication|Merlin ICMP Flooding|Merlin TCP Flooding|Merlin UDP Flooding|Mirai C&C Communication|Mirai GRE Flooding|Mirai TCP Flooding|Mirai UDP Flooding|Reporting|TCP Scan|Telnet Brute Force,raw/benign/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
dev_future_attack_query,processed/iotsim-domotic-monitor-1.csv,true,iotsim-domotic-monitor-1.csv,domotic-monitor,telnet,2114866,8168,2105832,False,True,C&C Communication|File Download|Ingress Tool Transfer|Merlin ICMP Flooding|Merlin TCP Flooding|Merlin UDP Flooding|Mirai GRE Flooding|Mirai TCP Flooding|Mirai UDP Flooding|Reporting|TCP Scan|Telnet Brute Force,raw/benign/iotsim-domotic-monitor-1_0-0_to_OpenvSwitch-23_1-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
dev_future_attack_query,processed/iotsim-combined-cycle-1.csv,true,iotsim-combined-cycle-1.csv,combined-cycle,coap,5974887,2092,5971118,False,True,C&C Communication|CoAP Amplification|File Download|Ingress Tool Transfer|Merlin C&C Communication|Merlin ICMP Flooding|Merlin TCP Flooding|Merlin UDP Flooding|Mirai C&C Communication|Mirai GRE Flooding|Mirai TCP Flooding|Mirai UDP Flooding|Reporting|TCP Scan|Telnet Brute Force|UDP Scan,raw/benign/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
dev_future_attack_query,processed/iotsim-combined-cycle-10.csv,true,iotsim-combined-cycle-10.csv,combined-cycle,coap,138509,974,136692,False,True,C&C Communication|File Download|Ingress Tool Transfer|Reporting|TCP Scan|Telnet Brute Force,raw/benign/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
sealed_final_attack,processed/iotsim-ip-camera-street-1.csv,true,iotsim-ip-camera-street-1.csv,ip-camera-street,telnet,5469337,3838991,1629489,False,True,C&C Communication|File Download|Ingress Tool Transfer|Merlin ICMP Flooding|Merlin TCP Flooding|Merlin UDP Flooding|Mirai GRE Flooding|Mirai TCP Flooding|Mirai UDP Flooding|Reporting|TCP Scan|Telnet Brute Force,raw/benign/iotsim-ip-camera-street-1_0-0_to_OpenvSwitch-24_1-0.pcap,medium_filename_path_match,missing_or_unparsed,role_contract_only_no_new_extraction,
