feature_index,feature_name,finite_rate,nan_count,inf_count,std,min,max
37,HH_3_weight_0,1.0,0,0,11659.5283203125,2.0,63319.12109375
38,HH_3_mean_0,1.0,0,0,658.0220947265625,42.0,1514.0
39,HH_3_std_0,1.0,0,0,64588.65625,0.0,541692.625
40,HH_3_radius_0_1,1.0,0,0,68202.1953125,0.0,681758.875
41,HH_3_magnitude_0_1,1.0,0,0,643.6982421875,42.0,1680.21484375
42,HH_3_covariance_0_1,1.0,0,0,5400.40869140625,-521712.9375,32207.14453125
43,HH_3_pcc_0_1,1.0,0,0,3698.87255859375,-2257747.25,639407.875
44,HH_1_weight_0,1.0,0,0,11614.8916015625,2.0,63322.84765625
45,HH_1_mean_0,1.0,0,0,655.4891357421875,42.0,1514.0
46,HH_1_std_0,1.0,0,0,64059.36328125,0.0,541234.1875
47,HH_1_radius_0_1,1.0,0,0,67577.6796875,0.0,673095.3125
48,HH_1_magnitude_0_1,1.0,0,0,641.4953002929688,42.0,1788.107177734375
49,HH_1_covariance_0_1,1.0,0,0,5529.56201171875,-558169.5,32177.45703125
50,HH_1_pcc_0_1,1.0,0,0,4924.40380859375,-4737436.5,27453.46484375
51,HH_0.1_weight_0,1.0,0,0,11223.5595703125,2.0,63376.15234375
52,HH_0.1_mean_0,1.0,0,0,652.4273071289062,42.0,1514.0
53,HH_0.1_std_0,1.0,0,0,67573.46875,0.0,532779.6875
54,HH_0.1_radius_0_1,1.0,0,0,72789.484375,0.0,545549.6875
55,HH_0.1_magnitude_0_1,1.0,0,0,637.9656372070312,42.0,1908.1046142578125
56,HH_0.1_covariance_0_1,1.0,0,0,5324.71923828125,-579923.8125,16251.4970703125
57,HH_0.1_pcc_0_1,1.0,0,0,0.28384947776794434,-9.417987823486328,15.995721817016602
58,HH_0.01_weight_0,1.0,0,0,15724.8583984375,2.0,63846.4140625
59,HH_0.01_mean_0,1.0,0,0,654.5403442382812,42.0,1514.0
60,HH_0.01_std_0,1.0,0,0,64281.72265625,0.0,511171.5
61,HH_0.01_radius_0_1,1.0,0,0,71733.5625,0.0,511171.5
62,HH_0.01_magnitude_0_1,1.0,0,0,639.7954711914062,42.0,2006.3936767578125
63,HH_0.01_covariance_0_1,1.0,0,0,5495.52294921875,-615523.6875,13313.6728515625
64,HH_0.01_pcc_0_1,1.0,0,0,0.18480786681175232,-6.901841163635254,3.8891091346740723
65,HH_jit_5_weight,1.0,0,0,497.4516906738281,1.0,7249.2099609375
66,HH_jit_5_mean,1.0,0,0,68.00484466552734,0.0,3833.8681640625
67,HH_jit_5_std,1.0,0,0,31613.1171875,0.0,3674636.0
68,HH_jit_3_weight,1.0,0,0,496.9772644042969,1.0,7249.5361328125
69,HH_jit_3_mean,1.0,0,0,68.00262451171875,0.0,3833.8681640625
70,HH_jit_3_std,1.0,0,0,31620.78515625,0.0,3674636.0
71,HH_jit_1_weight,1.0,0,0,500.4853515625,1.0,7251.38427734375
72,HH_jit_1_mean,1.0,0,0,68.00411224365234,0.0,3833.8681640625
73,HH_jit_1_std,1.0,0,0,31628.54296875,0.0,3674636.0
74,HH_jit_0.1_weight,1.0,0,0,1040.479736328125,1.0,7278.28955078125
75,HH_jit_0.1_mean,1.0,0,0,67.98735809326172,0.0,3833.8681640625
76,HH_jit_0.1_std,1.0,0,0,31632.107421875,0.0,3674636.0
77,HH_jit_0.01_weight,1.0,0,0,7108.96826171875,1.0,23425.94921875
78,HH_jit_0.01_mean,1.0,0,0,67.53500366210938,0.0,3833.8681640625
79,HH_jit_0.01_std,1.0,0,0,31634.724609375,0.0,3674636.0
80,HpHp_5_weight_0,1.0,0,0,5821.794921875,1.0,31623.224609375
81,HpHp_5_mean_0,1.0,0,0,666.510009765625,42.0,1514.0
82,HpHp_5_std_0,1.0,0,0,45409.19140625,0.0,523456.53125
83,HpHp_5_radius_0_1,1.0,0,0,46034.71484375,0.0,523456.53125
84,HpHp_5_magnitude_0_1,1.0,0,0,651.046142578125,42.0,1515.5263671875
85,HpHp_5_covariance_0_1,1.0,0,0,187.35415649414062,-7113.2548828125,11550.36328125
86,HpHp_5_pcc_0_1,1.0,0,0,10153.0,-975386.4375,1579974.25
87,HpHp_3_weight_0,1.0,0,0,5817.7470703125,1.0,31623.560546875
88,HpHp_3_mean_0,1.0,0,0,664.9590454101562,42.0,1514.0
89,HpHp_3_std_0,1.0,0,0,45528.4140625,0.0,513235.8125
90,HpHp_3_radius_0_1,1.0,0,0,46315.40234375,0.0,513235.8125
91,HpHp_3_magnitude_0_1,1.0,0,0,649.5045776367188,42.0,1515.5263671875
92,HpHp_3_covariance_0_1,1.0,0,0,199.85696411132812,-7673.7080078125,11659.01953125
93,HpHp_3_pcc_0_1,1.0,0,0,10681.2314453125,-1576226.5,1682225.875
94,HpHp_1_weight_0,1.0,0,0,5797.6162109375,1.0,31625.423828125
95,HpHp_1_mean_0,1.0,0,0,663.1463623046875,42.0,1514.0
96,HpHp_1_std_0,1.0,0,0,45850.8203125,0.0,523288.0
97,HpHp_1_radius_0_1,1.0,0,0,47029.57421875,0.0,523288.0
98,HpHp_1_magnitude_0_1,1.0,0,0,647.6851806640625,42.0,1515.5263671875
99,HpHp_1_covariance_0_1,1.0,0,0,261.67584228515625,-9645.72265625,11722.095703125
100,HpHp_1_pcc_0_1,1.0,0,0,56.33287048339844,-7077.6826171875,4684.185546875
101,HpHp_0.1_weight_0,1.0,0,0,5617.9521484375,1.0,31652.076171875
102,HpHp_0.1_mean_0,1.0,0,0,660.7766723632812,42.0,1514.0
103,HpHp_0.1_std_0,1.0,0,0,50958.36328125,0.0,521701.71875
104,HpHp_0.1_radius_0_1,1.0,0,0,53731.12890625,0.0,521701.71875
105,HpHp_0.1_magnitude_0_1,1.0,0,0,644.8750610351562,42.0,1514.0
106,HpHp_0.1_covariance_0_1,1.0,0,0,501.68829345703125,-10364.2119140625,11710.8701171875
107,HpHp_0.1_pcc_0_1,1.0,0,0,0.29808759689331055,-4.5129523277282715,3.9610321521759033
108,HpHp_0.01_weight_0,1.0,0,0,7656.35888671875,1.0,31887.09765625
109,HpHp_0.01_mean_0,1.0,0,0,659.8282470703125,42.0,1514.0
110,HpHp_0.01_std_0,1.0,0,0,55585.48046875,0.0,521083.09375
111,HpHp_0.01_radius_0_1,1.0,0,0,60300.48828125,0.0,521083.09375
112,HpHp_0.01_magnitude_0_1,1.0,0,0,643.6636352539062,42.0,1514.0
113,HpHp_0.01_covariance_0_1,1.0,0,0,195.81643676757812,-3782.607177734375,12437.25
114,HpHp_0.01_pcc_0_1,1.0,0,0,0.3026956617832184,-2.592528820037842,3.7754619121551514
