owner,phase,role,label_kind,context_tier,source_group,device_family,attack_family,rows,contexts,cross_rows
B,fit,aux_fit,benign,H3,iotsim-domotic-monitor-3_0-0_to_OpenvSwitch-23_3-0,iotsim-domotic-monitor,benign,142,17,0
B,fit,aux_fit,benign,H3,iotsim-domotic-monitor-5_0-0_to_OpenvSwitch-23_5-0,iotsim-domotic-monitor,benign,140,19,0
B,fit,aux_normal_fit,benign,H1,normal_1.pcap,ton-iot-external,benign,29,24,0
B,fit,aux_normal_fit,benign,H2,normal_1.pcap,ton-iot-external,benign,140,111,0
B,fit,aux_normal_fit,benign,H3,normal_1.pcap,ton-iot-external,benign,2974,2851,0
B,fit,aux_normal_fit,benign,H4,normal_1.pcap,ton-iot-external,benign,14,9,0
B,fit,id_calib,benign,H2,processed/iotsim-combined-cycle-tls-3.csv,iotsim-combined-cycle-tls,benign,14,14,0
B,fit,id_calib,benign,H2,processed/iotsim-combined-cycle-tls-4.csv,iotsim-combined-cycle-tls,benign,18,17,0
B,fit,id_calib,benign,H2,processed/iotsim-combined-cycle-tls-5.csv,iotsim-combined-cycle-tls,benign,17,16,0
B,fit,ood_val,benign,H2,processed/iotsim-building-monitor-2.csv,iotsim-building-monitor,benign,248,59,0
B,fit,ood_val,benign,H2,processed/iotsim-building-monitor-3.csv,iotsim-building-monitor,benign,133,32,0
B,fit,support_train,attack,H1,processed/iotsim-combined-cycle-10.csv,combined-cycle,File Download,3,2,0
B,fit,support_train,attack,H1,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Merlin C&C Communication,27,6,22
B,fit,support_train,attack,H2,processed/iotsim-city-power-1.csv,city-power,Merlin ICMP Flooding,13,9,3
B,fit,support_train,attack,H2,processed/iotsim-city-power-1.csv,city-power,Mirai GRE Flooding,30,6,3
B,fit,support_train,attack,H2,processed/iotsim-city-power-1.csv,city-power,Mirai UDP Flooding,6,1,0
B,fit,support_train,attack,H2,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Merlin ICMP Flooding,30,8,15
B,fit,support_train,attack,H2,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Mirai GRE Flooding,30,8,25
B,select,aux_normal_select,benign,H1,normal_2.pcap,ton-iot-external,benign,62,50,0
B,select,aux_normal_select,benign,H2,normal_2.pcap,ton-iot-external,benign,140,118,0
B,select,aux_normal_select,benign,H3,normal_2.pcap,ton-iot-external,benign,3304,3176,0
B,select,aux_normal_select,benign,H4,normal_2.pcap,ton-iot-external,benign,12,11,0
B,select,aux_select,benign,H2,iotsim-building-monitor-4_0-0_to_OpenvSwitch-28_4-0,iotsim-building-monitor,benign,84,36,0
B,select,aux_select,benign,H2,iotsim-combined-cycle-2_0-0_to_OpenvSwitch-13_2-0,iotsim-combined-cycle,benign,46,46,0
B,select,aux_select,benign,H2,iotsim-combined-cycle-4_0-0_to_OpenvSwitch-13_4-0,iotsim-combined-cycle,benign,46,46,0
B,select,aux_select,benign,H2,iotsim-combined-cycle-tls-2_0-0_to_OpenvSwitch-14_2-0,iotsim-combined-cycle-tls,benign,90,70,0
B,select,aux_select,benign,H2,iotsim-domotic-monitor-4_0-0_to_OpenvSwitch-23_4-0,iotsim-domotic-monitor,benign,88,35,0
B,select,aux_select,benign,H3,iotsim-building-monitor-4_0-0_to_OpenvSwitch-28_4-0,iotsim-building-monitor,benign,138,16,0
B,select,aux_select,benign,H3,iotsim-combined-cycle-2_0-0_to_OpenvSwitch-13_2-0,iotsim-combined-cycle,benign,285,232,0
B,select,aux_select,benign,H3,iotsim-combined-cycle-4_0-0_to_OpenvSwitch-13_4-0,iotsim-combined-cycle,benign,287,234,0
B,select,aux_select,benign,H3,iotsim-combined-cycle-tls-2_0-0_to_OpenvSwitch-14_2-0,iotsim-combined-cycle-tls,benign,92,72,0
B,select,aux_select,benign,H3,iotsim-domotic-monitor-4_0-0_to_OpenvSwitch-23_4-0,iotsim-domotic-monitor,benign,138,15,0
B,select,support_val,attack,H1,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Merlin C&C Communication,5,3,5
B,select,support_val,attack,H2,processed/iotsim-city-power-1.csv,city-power,Merlin ICMP Flooding,1,1,1
B,select,support_val,attack,H2,processed/iotsim-city-power-1.csv,city-power,Mirai GRE Flooding,4,3,2
B,select,support_val,attack,H2,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Merlin ICMP Flooding,7,4,4
B,select,support_val,attack,H2,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,Mirai GRE Flooding,6,4,5
