seed,active_label_budget,label,input_rows,file_count,split_rule,fallback,holdout_file,train_rows,val_rows,pseudo_rows,train_hash,val_hash,pseudo_hash,base_support_hash,base_support_selector,base_support_pool_role,base_support_pool_size,base_support_size,base_selector_scaler_fit_roles,base_distance_metric,base_start_rule,base_uses_final_ood,base_uses_attack_eval,base_selected_indices_sha256,active_confirmed_hash,active_budget,active_candidate_count,active_uncovered_candidate_count,active_support_val_p95_radius,active_selector,active_uses_candidate_labels_for_selection,active_uses_query_labels_for_selection
44,128,medium_attack_support,128,3,leave_one_file_pseudo_query_then_seeded_75_25_train_val,none,processed/iotsim-combined-cycle-10.csv,70,24,34,7a6ac21ba47ff575c6ae657789a10a7cca29c0c6be1ff01a43db6e5091519294,431874c7ba8bdb28835df47eb66cac2c320766617072eedf13c9df196249d91c,6202c8736e9da5ea789dc4c95fc1bee84b52ebc736ccd7a9d089e710825be641,7dddf35a55dc4ba20aad5876d2cb041b09ea6d5292babc7cd5552eb0d1a855c2,old_kcenter128,attack_support,2250,128,attack_support,euclidean_after_selector_local_standard_scaler,closest_to_attack_support_centroid,False,False,7dddf35a55dc4ba20aad5876d2cb041b09ea6d5292babc7cd5552eb0d1a855c2,,,,,,,,
44,128,active_heavy_attack_support,128,2,leave_one_file_pseudo_query_then_seeded_75_25_train_val,none,processed/iotsim-ip-camera-museum-1.csv,50,17,61,f99fa7df558352ad3774fe14f287e53b423cee03a16678705711948356b3a5b7,34971e37cc891d54f2b9260a12e77132746f456fffb9c0f7920d00b9b2cd2454,3824919b510406861d060763f49c83dca3fe0dbad8d0f1d90fb86ccd288e4b59,,,,,,,,,,,,9a1cd10164c1efd1c547f9f9ed62e4adcdb816a32a24a07c5531c15b53e38bff,128,2000,1756,51.36540603637695,coverage_aware_uncovered_first_farthest_first_feature_only,False,False
45,64,medium_attack_support,128,3,leave_one_file_pseudo_query_then_seeded_75_25_train_val,none,processed/iotsim-air-quality-1.csv,75,25,28,318a468d65be2ae15215ed3d8a088676f19b89eead9074bad84017fb1e7b82af,60496313b9910caac67fbe6a404a4eed4f02e09f996629d67f1be7d9873fa5d6,a9adc52ddbd75db5abf8b6e96cb3f31a3c947d3d6ec2fabfb81b3e207181853a,7dddf35a55dc4ba20aad5876d2cb041b09ea6d5292babc7cd5552eb0d1a855c2,old_kcenter128,attack_support,2250,128,attack_support,euclidean_after_selector_local_standard_scaler,closest_to_attack_support_centroid,False,False,7dddf35a55dc4ba20aad5876d2cb041b09ea6d5292babc7cd5552eb0d1a855c2,,,,,,,,
45,64,active_heavy_attack_support,64,2,leave_one_file_pseudo_query_then_seeded_75_25_train_val,none,processed/iotsim-ip-camera-street-1.csv,23,8,33,b405b66380c2cd39a0f62e57f3bf81b3ec659d2bbd4343d3af1e8b442dc729dd,a44257b77a45016b7fb82314f7c86055fc204420bfcaa8a36ad690f472c04bc2,c4fe8b9bfe889f1b9cac664491060a0df4245ed2b0397120bc2ac0b924e943c9,,,,,,,,,,,,d0789cb1e9cb23912abf6a380ac00f19eec2cd02d42c6ed2dceee61abf1389c5,64,2000,1756,10.780342102050781,coverage_aware_uncovered_first_farthest_first_feature_only,False,False
45,128,medium_attack_support,128,3,leave_one_file_pseudo_query_then_seeded_75_25_train_val,none,processed/iotsim-air-quality-1.csv,75,25,28,318a468d65be2ae15215ed3d8a088676f19b89eead9074bad84017fb1e7b82af,60496313b9910caac67fbe6a404a4eed4f02e09f996629d67f1be7d9873fa5d6,a9adc52ddbd75db5abf8b6e96cb3f31a3c947d3d6ec2fabfb81b3e207181853a,7dddf35a55dc4ba20aad5876d2cb041b09ea6d5292babc7cd5552eb0d1a855c2,old_kcenter128,attack_support,2250,128,attack_support,euclidean_after_selector_local_standard_scaler,closest_to_attack_support_centroid,False,False,7dddf35a55dc4ba20aad5876d2cb041b09ea6d5292babc7cd5552eb0d1a855c2,,,,,,,,
45,128,active_heavy_attack_support,128,2,leave_one_file_pseudo_query_then_seeded_75_25_train_val,none,processed/iotsim-ip-camera-street-1.csv,46,16,66,0238816d922609e64fd3edd304cd880e7251f38d53178c203dae6f66652107ef,fd1ec1933a92777a46394828de1b6f25f8fcee70a5df703c1ef7a54cc70dc50b,ad9650a63b7c5fd6e87e2374ba06656365f3d4873f9263a0632e8eadafcd7200,,,,,,,,,,,,b6e888b81923b5cfa061baf58da6611a37cbb52ac3d4d8d4d1b78816ec6a8517,128,2000,1756,10.780342102050781,coverage_aware_uncovered_first_farthest_first_feature_only,False,False
46,64,medium_attack_support,128,3,leave_one_file_pseudo_query_then_seeded_75_25_train_val,none,processed/iotsim-city-power-1.csv,46,16,66,c45f3480b7e5cd5c9209915aa7105dd9b9f760425906e199e432c6b02c16545b,129a053608ce663924b5ee0ba1c92f506a3579fa84a9d254ffd795b95314dcfd,02db849f69b5de5a134ce31dc10d62a5e29ea49cdefba0adaffc57682450d12f,7dddf35a55dc4ba20aad5876d2cb041b09ea6d5292babc7cd5552eb0d1a855c2,old_kcenter128,attack_support,2250,128,attack_support,euclidean_after_selector_local_standard_scaler,closest_to_attack_support_centroid,False,False,7dddf35a55dc4ba20aad5876d2cb041b09ea6d5292babc7cd5552eb0d1a855c2,,,,,,,,
46,64,active_heavy_attack_support,64,2,leave_one_file_pseudo_query_then_seeded_75_25_train_val,none,processed/iotsim-ip-camera-museum-1.csv,21,8,35,ce9e1751632c27ca577ec5024ee9181d4b02db142fc53108f45c5c92eb224a52,f4bbb5567d21c1c0108aa0846be8039ba1b4f79ad8367a0246fe4f5d10efaa3f,c544f1a48e72abf6995a501bacea49ff6b4d0074026485b8f69d7a7a4a6c6a78,,,,,,,,,,,,346afb03a3f9f8ccb4925dc26a907b011c5327e2360f91e8d367757056c00abe,64,2000,1789,7.08621883392334,coverage_aware_uncovered_first_farthest_first_feature_only,False,False
46,128,medium_attack_support,128,3,leave_one_file_pseudo_query_then_seeded_75_25_train_val,none,processed/iotsim-city-power-1.csv,46,16,66,c45f3480b7e5cd5c9209915aa7105dd9b9f760425906e199e432c6b02c16545b,129a053608ce663924b5ee0ba1c92f506a3579fa84a9d254ffd795b95314dcfd,02db849f69b5de5a134ce31dc10d62a5e29ea49cdefba0adaffc57682450d12f,7dddf35a55dc4ba20aad5876d2cb041b09ea6d5292babc7cd5552eb0d1a855c2,old_kcenter128,attack_support,2250,128,attack_support,euclidean_after_selector_local_standard_scaler,closest_to_attack_support_centroid,False,False,7dddf35a55dc4ba20aad5876d2cb041b09ea6d5292babc7cd5552eb0d1a855c2,,,,,,,,
46,128,active_heavy_attack_support,128,2,leave_one_file_pseudo_query_then_seeded_75_25_train_val,none,processed/iotsim-ip-camera-museum-1.csv,48,16,64,c829ada5096c918e62dee0a7c605d42dee665e82757404edad1d0042c43e85f5,bdd4ac89f8b16ab422f9b7af6514767b4321d3231b779ab07748e05de075e5ca,7213e46ec6c4fa12471c4fb56839d2443742d09896803186250b0eb1b23a5d33,,,,,,,,,,,,b1bf3c244eab52357357b8110a0d5f875504bbdbf4ad1318cd7c3bb69bf6606c,128,2000,1789,7.08621883392334,coverage_aware_uncovered_first_farthest_first_feature_only,False,False
